"Number of teachers and students in professional secondary by province(*) by Cities, provincies, Year and Items"

"Cities, provincies";"2001(1) Teacher";"2001(1) Student";"2001(1) Teacher: Public";"2001(1) Student: Public";"2002 (1) Teacher";"2002 (1) Student";"2002 (1) Teacher: Public";"2002 (1) Student: Public";"2003 Teacher";"2003 Student";"2003 Teacher: Public";"2003 Student: Public";"2004 Teacher";"2004 Student";"2004 Teacher: Public";"2004 Student: Public";"2005 Teacher";"2005 Student";"2005 Teacher: Public";"2005 Student: Public";"2006(2)(3) Teacher";"2006(2)(3) Student";"2006(2)(3) Teacher: Public";"2006(2)(3) Student: Public";"2007(3) Teacher";"2007(3) Student";"2007(3) Teacher: Public";"2007(3) Student: Public";"2008 Teacher";"2008 Student";"2008 Teacher: Public";"2008 Student: Public";"2009 Teacher";"2009 Student";"2009 Teacher: Public";"2009 Student: Public";"2010 Teacher";"2010 Student";"2010 Teacher: Public";"2010 Student: Public";"2011 Teacher";"2011 Student";"2011 Teacher: Public";"2011 Student: Public";"2012 Teacher";"2012 Student";"2012 Teacher: Public";"2012 Student: Public";"2013 Teacher";"2013 Student";"2013 Teacher: Public";"2013 Student: Public";"2014 Teacher";"2014 Student";"2014 Teacher: Public";"2014 Student: Public";"2015 Teacher";"2015 Student";"2015 Teacher: Public";"2015 Student: Public"
"WHOLE COUNTRY";9141;186287;..;..;9677;273889;..;..;11121;239915;10017;213101;13937;282090;11540;233361;13699;283817;12127;250635;14540;253602;12427;216822;15407;621115;13178;532758;16808;628807;11867;496696;18002;699700;11349;524312;18085;686184;10216;499271;19956;618969;10839;461137;18344;562623;10223;430904;11515;421705;6131;304638;11020;349651;5790;244124;10200;315000;5130;218832
"Red River Delta";3304;64315;..;..;3953;110751;..;..;4711;85636;3954;72777;5972;113416;4291;85277;5445;100229;4200;78471;5416;90536;3841;67574;5710;217557;4196;191351;6125;227635;4298;197404;6176;237419;3845;202545;5908;219457;3077;174793;5766;183283;3310;143277;5535;177881;3334;138862;3983;130986;2046;96586;3722;106993;1718;74713;3373;104499;1484;68650
"Ha Noi";1211;24290;..;..;1402;46742;..;..;1912;41617;1180;29216;2793;62745;1142;35130;2553;50509;1409;29745;2556;45142;1248;25505;2473;96432;1234;75656;3436;117851;1830;93297;3160;121525;1291;95157;3312;111834;1301;84630;3037;100955;1045;70768;3302;99803;1438;68953;2447;81960;929;53874;2380;66830;790;41574;1982;70845;600;41611
"Ha Tay";325;5341;..;..;342;10000;..;..;438;6278;438;6278;561;8240;561;8170;313;4590;313;4590;356;5537;321;4637;376;18042;326;16071;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Vinh Phuc";169;3035;..;..;239;6369;..;..;227;4207;227;4207;406;6092;406;6092;349;7441;349;7423;368;5769;301;4991;500;10629;433;9851;471;11349;430;10667;363;10720;272;10166;296;8819;219;8121;413;7756;390;6587;130;8037;124;7896;148;6087;144;6067;126;4662;111;4642;129;2566;121;2546
"Bac Ninh";102;2374;..;..;120;3356;..;..;149;3679;149;3679;114;1791;114;1791;123;2334;123;2294;154;1631;54;635;221;5918;121;4262;221;5945;121;3085;816;10678;590;6894;823;18463;222;5183;564;13809;210;6420;677;15283;396;9207;276;8643;212;6665;222;6203;185;4432;256;4565;213;4227
"Quang Ninh";195;3942;..;..;218;5569;..;..;276;5046;276;5046;269;4458;269;4458;332;4201;332;4201;193;3324;193;3324;187;10233;187;10233;156;8195;156;8195;156;9045;156;9045;141;8074;141;8074;136;7316;136;7316;118;7356;118;7356;73;1788;73;1788;107;4101;107;4101;62;3218;28;3000
"Hai Duong";88;2601;..;..;380;7718;..;..;443;4493;443;4493;146;3291;146;3291;227;4401;183;4109;373;4711;333;4530;352;18607;312;18426;428;23485;388;23304;381;21728;364;21646;271;17669;254;17469;363;13084;344;12899;162;7869;147;7869;123;7929;108;7929;108;3336;108;3336;118;2542;118;2542
"Hai Phong";314;6152;..;..;362;11133;..;..;389;7357;389;7357;518;9167;518;9167;467;8608;467;8608;450;6674;450;6674;456;18829;456;18829;434;21260;434;21260;404;18131;347;15976;352;13333;298;12486;296;9687;296;9539;266;8971;266;8809;270;5058;155;3712;161;5309;64;3933;210;5530;91;3530
"Hung Yen";161;4561;..;..;95;3066;..;..;100;1566;75;1108;207;4761;177;4307;232;4978;201;4659;252;5752;252;5752;348;11467;348;11036;522;13134;495;11520;225;11680;216;10111;163;8533;129;7348;144;5395;127;4792;107;5203;107;3596;48;2750;22;2100;52;2000;22;1703;152;1823;32;1235
