"Number of teachers in universities and colleges by professional qualification by Items, Teachers and Years"

"Items";"Teachers";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"TOTAL - Pers.";"Total";32357.0;35941.0;38671.0;39985.0;47613.0;48541.0;53364.0;56120.0;60651.0;69581.0;74573.0;84109.0;87682.0;91633.0;91420.0;93507.0
"TOTAL - Pers.";"Postgraduate";12656.0;15131.0;16708.0;17628.0;21284.0;23861.0;24325.0;26586.0;30283.0;33901.0;38298.0;45512.0;48564.0;54886.0;59979.0;67497.0
"TOTAL - Pers.";"University and college graduate";19321.0;20348.0;21302.0;21845.0;25598.0;24169.0;28460.0;29011.0;29757.0;34795.0;34776.0;36998.0;37716.0;35742.0;29810.0;25711.0
"TOTAL - Pers.";"Other degree";380.0;462.0;661.0;512.0;731.0;511.0;579.0;523.0;611.0;885.0;1499.0;1599.0;1402.0;1005.0;1631.0;299.0
"Public - Pers.";"Total";27891.0;31419.0;33394.0;34914.0;39960.0;41976.0;45631.0;51287.0;54751.0;60316.0;63329.0;70432.0;73886.0;75214.0;74112.0;76061.0
"Public - Pers.";"Postgraduate";10840.0;13035.0;14375.0;15189.0;17318.0;19958.0;20140.0;24105.0;27333.0;29987.0;32956.0;38697.0;40923.0;45600.0;49998.0;56044.0
"Public - Pers.";"University and college graduate";16718.0;17945.0;18425.0;19251.0;22035.0;21529.0;24965.0;26669.0;26866.0;29633.0;29089.0;30702.0;31782.0;28708.0;22909.0;19776.0
"Public - Pers.";"Other degree";333.0;439.0;594.0;474.0;607.0;489.0;526.0;513.0;552.0;696.0;1284.0;1033.0;1181.0;907.0;1205.0;241.0
"Non-public - Pers.";"Total";4466.0;4522.0;5277.0;5071.0;7653.0;6565.0;7733.0;4833.0;5900.0;9265.0;11244.0;13677.0;13796.0;16419.0;17308.0;17446.0
"Non-public - Pers.";"Postgraduate";1816.0;2096.0;2333.0;2439.0;3966.0;3903.0;4185.0;2481.0;2950.0;3914.0;5342.0;6815.0;7641.0;9286.0;9981.0;11453.0
"Non-public - Pers.";"University and college graduate";2603.0;2403.0;2877.0;2594.0;3563.0;2640.0;3495.0;2342.0;2891.0;5162.0;5687.0;6296.0;5934.0;7034.0;6901.0;5935.0
"Non-public - Pers.";"Other degree";47.0;23.0;67.0;38.0;124.0;22.0;53.0;10.0;59.0;189.0;215.0;566.0;221.0;98.0;426.0;58.0
"Index (Previous year = 100) - Total - %";"Total";106.7;111.1;107.6;103.4;119.1;101.9;109.9;105.2;108.1;114.7;107.2;112.8;104.2;104.5;99.8;102.3
"Index (Previous year = 100) - Total - %";"Postgraduate";122.5;119.6;110.4;105.5;120.7;112.1;101.9;109.3;113.9;111.9;113.0;118.8;106.7;113.0;109.3;112.5
"Index (Previous year = 100) - Total - %";"University and college graduate";99.5;105.3;104.7;102.5;117.2;94.4;117.8;101.9;102.6;116.9;99.9;106.4;101.9;94.8;83.4;86.2
"Index (Previous year = 100) - Total - %";"Other degree";66.1;121.6;143.1;77.5;142.8;69.9;113.3;90.3;116.8;144.8;169.4;106.7;87.7;71.7;162.3;18.3
"Index (Previous year = 100) - Public - %";"Total";102.9;112.6;106.3;104.6;114.5;105.0;108.7;112.4;106.8;110.2;105.0;111.2;104.9;101.8;98.5;102.6
"Index (Previous year = 100) - Public - %";"Postgraduate";122.1;120.2;110.3;105.7;114.0;115.2;100.9;119.7;113.4;109.7;109.9;117.4;105.8;111.4;109.6;112.1
"Index (Previous year = 100) - Public - %";"University and college graduate";94.6;107.3;102.7;104.5;114.5;97.7;116.0;106.8;100.7;110.3;98.2;105.5;103.5;90.3;79.8;86.3
"Index (Previous year = 100) - Public - %";"Other degree";61.6;131.8;135.3;79.8;128.1;80.6;107.6;97.5;107.6;126.1;184.5;80.5;114.4;76.8;133.0;20.0
"Index (Previous year = 100) - Non- public - %";"Total";138.4;101.3;116.7;96.1;150.9;85.8;117.8;62.5;122.1;157.0;121.4;121.6;100.9;119.0;105.4;100.8
"Index (Previous year = 100) - Non- public - %";"Postgraduate";124.9;115.4;111.3;104.5;162.6;98.4;107.2;59.3;118.9;132.7;136.5;127.6;112.1;121.5;107.5;114.7
"Index (Previous year = 100) - Non- public - %";"University and college graduate";149.6;92.3;119.7;90.2;137.4;74.1;132.4;67.0;123.4;178.6;110.2;110.7;94.3;118.5;98.1;86.0
"Index (Previous year = 100) - Non- public - %";"Other degree";138.2;48.9;291.3;56.7;326.3;17.7;240.9;18.9;590.0;320.3;113.8;263.3;39.0;44.4;434.7;13.6
