"Number of teachers, students in universities and colleges by province by Cities, provincies, Years and Items"

"Cities, provincies";"2001 (*) Teacher";"2001 (*) Student";"2001 (*) Of which: Public teacher";"2001 (*) Of which: Public student";"2002 (*) Teacher";"2002 (*) Student";"2002 (*) Of which: Public teacher";"2002 (*) Of which: Public student";"2003 Teacher";"2003 Student";"2003 Of which: Public teacher";"2003 Of which: Public student";"2004 Teacher";"2004 Student";"2004 Of which: Public teacher";"2004 Of which: Public student";"2005(**) Teacher";"2005(**) Student";"2005(**) Of which: Public teacher";"2005(**) Of which: Public student";"2006 Teacher";"2006 Student";"2006 Of which: Public teacher";"2006 Of which: Public student";"2007 Teacher";"2007 Student";"2007 Of which: Public teacher";"2007 Of which: Public student";"2008 Teacher";"2008 Student";"2008 Of which: Public teacher";"2008 Of which: Public student";"2009 Teacher";"2009 Student";"2009 Of which: Public teacher";"2009 Of which: Public student";"2010 Teacher";"2010 Student";"2010 Of which: Public teacher";"2010 Of which: Public student";"2011 Teacher";"2011 Student";"2011 Of which: Public teacher";"2011 Of which: Public student";"2012 Teacher";"2012 Student";"2012 Of which: Public teacher";"2012 Of which: Public student";"2013 Teacher";"2013 Student";"2013 Of which: Public teacher";"2013 Of which: Public student";"2014 Teacher";"2014 Student";"2014 Of which: Public teacher";"2014 Of which: Public student";"2015 Teacher";"2015 Student";"2015 Of which: Public teacher";"2015 Of which: Public student"
" WHOLE COUNTRY";31419;873039;..;..;33394;908811;..;..;39985;1131030;34914;993908;47613;1319754;39960;1181994;48541;1404673;41976;1243485;53364;1666239;45631;1456666;61321;1928436;54403;1662455;60651;1675700;54751;1477793;65115;1796174;57545;1547353;74573;2162106;63329;1828185;84181;2208062;70260;1873147;87160;2178622;69093;1855181;90605;2058922;74050;1786866;91420;2363942;74112;2050322;93507;2118500;76061;1847062
"Red River Delta";15005;424311;..;..;15900;439767;..;..;17375;514311;16122;480778;20137;581137;18232;548497;21342;612568;19436;580873;21584;688761;19709;651567;25384;791671;24354;743886;25310;695089;24140;652032;26409;725976;24783;666677;29365;889398;27005;800401;32874;897087;29825;807392;35376;872189;29952;769153;37497;814642;33223;746143;37049;942567;32471;848370;37098;822827;32456;745458
"Ha Noi";11552;368147;..;..;12457;379160;..;..;13412;439958;12656;416406;15257;498928;13912;475735;15727;515723;14367;491216;15568;568925;14207;541199;16476;606207;15936;578771;17065;529211;16451;498309;18083;541671;17220;507869;19982;668227;18499;605132;22652;690276;20664;620389;24599;674112;21655;588577;26435;638234;23672;583339;25696;753068;22696;678355;26890;660963;23646;597441
"Ha Tay";617;11648;..;..;609;11587;..;..;577;10683;577;10683;734;12557;734;12557;1123;15039;1005;13837;1259;20112;1210;17174;1404;29435;1341;24744;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Vinh Phuc";268;6302;..;..;313;6329;..;..;97;791;97;791;98;1337;98;1337;95;1234;95;1234;236;934;236;934;536;17704;536;17704;568;18384;568;18384;646;19576;646;19576;659;20569;659;20569;772;18496;757;18246;815;19407;805;19212;681;15042;669;14825;900;23239;876;22968;780;19881;753;19659
"Bac Ninh";220;3830;..;..;238;4084;..;..;220;5219;220;5219;239;4864;239;4864;282;5403;282;5403;390;6065;340;5815;522;7624;445;6501;632;11676;360;9221;543;14530;374;9277;670;18121;450;10439;740;17268;392;11925;1142;15793;660;12526;1141;13634;476;9250;1234;18638;521;9577;1064;13315;494;7722
"Quang Ninh";177;1643;..;..;161;3092;..;..;188;3078;188;3078;310;3984;310;3984;390;5027;390;5027;501;8048;501;8048;896;8100;896;8100;811;9272;811;9272;870;10277;870;10277;983;12091;983;12091;918;12317;918;12317;979;12085;979;12085;1060;10580;1060;10580;790;9259;790;9259;888;8492;888;8492
"Hai Duong";114;1134;..;..;156;1367;..;..;191;1677;191;1677;310;2798;310;2798;380;4089;380;4089;329;5743;329;5743;761;9677;761;9677;848;13437;848;13437;876;13312;876;13312;1018;24547;962;24537;1291;18359;1238;18284;1318;20566;1115;20495;1383;21370;1345;21253;1344;21386;1333;20841;1505;21456;1423;19437
"Hai Phong";903;18923;..;..;842;19843;..;..;1392;30302;1040;24642;1633;32746;1218;26910;1662;38300;1234;32314;1645;42648;1230;36368;1776;49913;1607;43409;1862;51070;1862;51070;1894;53857;1601;45209;1935;57217;1791;50623;2230;56015;2008;49742;2172;52919;1491;48086;2378;50451;2182;46085;2384;46256;2150;42818;1576;39686;1360;37112
"Hung Yen";213;3520;..;..;258;3404;..;..;446;10699;301;6378;466;10034;321;6423;491;11575;491;11575;475;16539;475;16539;624;22875;521;21397;907;22195;695;17512;963;24067;751;18369;1225;30500;920;23377;1117;26822;888;22146;1202;24944;504;20060;1500;20411;1007;16603;1366;18150;939;15018;1305;16993;890;14319
