"Percentage of graduates compared with total candidates upper secondary by Cities, provincies and Years"

"Cities, provincies";"2001-2002";"2002-2003";"2003-2004";"2004-2005";"2005-2006";"2006-2007";"2007-2008";"2008-2009";"2009-2010";"2010-2011";"2011-2012";"2012-2013";"2013-2014";"2014-2015"
" WHOLE COUNTRY";90;92;92;91;94;80;87;84;93;96;99;98;99;94
"Red River Delta";..;..;..;..;..;89;93;92;98;99;99;98;98;96
"Ha Noi";96;97;97;98;98;95;97;90;95;98;99;97;95;96
"Ha Tay";99;97;100;99;99;74;78;..;..;..;..;..;..;..
"Vinh Phuc";96;96;94;98;98;93;94;84;96;98;100;99;100;97
"Bac Ninh";98;99;98;99;100;91;95;94;99;100;100;99;98;98
"Quang Ninh";95;99;99;99;99;89;97;91;98;98;100;98;99;95
"Hai Duong";99;97;97;100;99;94;78;92;99;99;100;99;100;98
"Hai Phong";93;98;98;97;99;93;98;94;99;98;100;98;100;98
"Hung Yen";98;99;100;99;99;80;96;87;99;100;100;99;100;96
"Thai Binh";99;99;99;97;98;95;94;97;100;100;100;100;100;95
"Ha Nam";96;96;100;99;99;91;98;97;100;100;100;100;100;93
"Nam Dinh";99;99;100;100;100;96;96;98;100;100;100;100;100;98
"Ninh Binh";98;96;99;97;98;85;98;91;99;100;100;100;99;98
"Northern midlands and mountain areas";..;..;..;..;..;66;83;78;93;97;99;96;99;94
"Ha Giang";88;89;63;75;88;58;83;76;96;92;98;94;96;83
"Cao Bang";93;94;85;91;87;47;82;64;90;94;98;97;99;93
"Bac Kan";89;91;86;78;91;39;69;61;69;94;100;98;99;91
"Tuyen Quang";86;88;97;98;96;40;58;81;96;100;99;95;99;94
"Lao Cai";83;89;89;89;96;76;88;81;83;91;98;92;99;94
"Yen Bai";89;93;94;95;97;49;82;73;98;96;99;92;99;94
"Thai Nguyen";92;95;97;96;96;80;73;85;92;93;100;98;99;93
"Lang Son";91;85;86;86;87;76;87;85;94;97;99;96;97;90
"Bac Giang";96;98;98;96;97;86;86;88;98;99;99;97;99;99
"Phu Tho";95;96;98;98;99;70;94;90;100;99;100;98;99;96
"Dien Bien";..;..;81;83;82;92;86;73;69;96;97;94;97;87
"Lai Chau";83;95;95;85;87;65;82;85;92;92;98;94;100;94
"Son La";94;89;91;90;89;49;76;39;92;98;100;93;99;95
"Hoa Binh";91;99;94;99;97;66;74;81;95;97;100;96;99;94
"Northern Central area and Central coastal area";..;..;..;..;..;78;85;82;95;97;99;98;99;92
"Thanh Hoa";99;97;99;99;99;80;85;86;99;99;100;99;100;93
"Nghe An";96;97;100;100;97;68;92;87;98;98;99;97;100;97
"Ha Tinh";99;95;86;89;94;87;77;73;98;99;99;97;99;97
"Quang Binh";90;94;99;97;99;62;94;79;97;99;100;99;99;94
"Quang Tri";90;86;92;92;96;83;81;83;96;94;99;96;99;90
"Thua Thien-Hue";90;90;90;92;89;77;85;86;97;97;100;99;99;95
"Da Nang";84;93;85;90;97;84;88;90;96;97;100;98;98;87
"Quang  Nam";88;96;75;85;86;78;82;84;94;97;99;98;98;89
"Quang  Ngai";86;86;93;91;85;76;79;73;97;99;100;99;98;90
"Binh Dinh";85;88;89;89;95;84;91;88;94;97;98;99;97;91
"Phu Yen";76;89;90;94;87;82;81;65;86;93;94;93;98;85
"Khanh  Hoa";82;83;86;86;94;91;86;82;98;97;100;99;99;90
"Ninh  Thuan";65;80;83;80;88;83;85;69;69;92;100;91;99;85
"Binh Thuan";85;81;75;77;89;84;84;82;80;84;99;99;98;88
"Central Highlands";..;..;..;..;..;71;76;78;84;89;98;97;98;88
"Kon Tum";92;82;85;81;91;73;82;86;97;97;99;98;99;94
"Gia Lai";82;91;85;89;89;69;74;76;83;88;98;97;97;77
"Dak Lak";74;80;88;83;88;63;69;69;78;88;97;96;98;87
"Dak Nong";..;..;89;82;78;64;76;76;78;81;99;97;98;92
"Lam Dong";78;83;91;86;93;88;89;93;93;93;99;99;99;94
"South East";..;..;..;..;..;89;89;87;91;94;99;99;100;96
"Binh Phuoc";81;87;76;67;88;74;82;82;92;92;100;99;99;96
"Tay Ninh";86;93;74;83;89;87;85;73;79;83;95;94;98;92
"Binh Duong";73;90;82;85;88;76;75;78;86;89;99;100;100;95
"Dong Nai";94;94;90;88;94;84;85;80;89;94;100;99;100;94
"Ba Ria - Vung Tau";92;92;93;84;93;81;82;85;93;97;99;99;99;96
"Ho Chi Minh city";86;88;93;90;96;97;96;95;94;96;98;99;100;97
"Mekong River Delta";..;..;..;..;..;81;84;75;82;91;98;99;99;94
"Long An";76;84;80;80;89;90;88;86;87;89;97;98;98;92
"Tien Giang";71;94;89;81;92;90;88;87;86;89;96;98;99;96
"Ben Tre";64;90;81;80;86;87;89;80;72;84;98;99;100;97
"Tra Vinh";78;90;77;80;91;83;87;83;78;91;98;99;100;97
"Vinh Long";80;82;72;70;83;80;87;81;83;87;98;99;99;96
"Dong Thap";84;85;85;67;92;79;83;63;81;95;100;100;100;92
"An Giang";90;77;85;72;78;81;90;75;80;89;99;99;100;96
"Kien  Giang";81;87;80;78;85;74;76;59;74;97;100;99;99;91
"Can Tho";73;79;81;66;95;87;90;77;86;98;100;100;100;98
"Hau Giang";..;..;79;74;89;74;77;62;89;98;100;100;100;96
"Soc Trang";75;87;80;72;75;67;73;64;75;91;99;99;100;95
"Bac Lieu";85;71;75;77;79;59;74;73;85;95;99;99;99;89
"Ca Mau";83;76;71;68;80;78;85;82;90;93;99;99;98;85
