"Professional secondary education by Items, Secondary education and Year"

"Items";"Secondary education";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Pre. 2015"
"Number";"Schools";..;..;..;..;..;253.0;252.0;245.0;268.0;285.0;284.0;269.0;275.0;282.0;282.0;290.0;294.0;294.0;295.0;313.0;303.0
"Number";"Schools - public";266.0;239.0;239.0;247.0;246.0;246.0;241.0;231.0;238.0;239.0;227.0;205.0;203.0;203.0;198.0;199.0;197.0;174.0;174.0;185.0;175.0
"Number";"Schools - Non-public";..;..;..;..;..;7.0;11.0;14.0;30.0;46.0;57.0;64.0;72.0;79.0;84.0;91.0;97.0;120.0;121.0;128.0;128.0
"Number";"Teachers(*) (Thous.pers.)";..;..;..;..;..;10.1;9.3;10.3;11.1;13.9;14.2;14.5;14.7;16.8;18.0;18.1;20.0;18.3;11.5;10.9;10.2
"Number";"Teachers by public (Thous.pers.)";9.4;9.3;9.8;10.0;9.6;10.0;9.2;9.7;10.0;11.5;11.3;10.6;10.8;11.9;11.3;10.2;10.8;10.2;6.1;5.7;5.1
"Number";"Teachers by non-public (Thous.pers.)";..;..;..;..;..;0.1;0.1;0.6;1.1;2.4;2.9;3.9;3.9;4.9;6.7;7.9;9.2;8.1;5.4;5.2;5.1
"Number";"Teachers by Male (Thous.pers.)";..;..;..;..;..;..;..;..;..;..;8.0;..;8.2;9.9;10.5;10.6;10.7;9.8;6.5;5.5;5.4
"Number";"Teachers by Female (Thous.pers.)";..;..;..;..;..;..;..;..;..;..;6.2;..;6.5;6.9;7.5;7.5;9.3;8.5;5.0;5.4;4.8
"Number";"Students (Thous.pers.)";..;..;..;..;..;255.4;271.2;389.3;360.4;466.5;500.3;515.7;614.5;628.8;699.7;686.2;623.1;562.6;421.7;349.7;315.0
"Number";"Students by Public (Thous.pers.)";..;..;..;..;..;..;..;..;..;..;..;..;..;496.7;524.3;499.3;456.7;430.9;304.6;242.9;218.8
"Number";"Students by Non-public (Thous.pers.)";..;..;..;..;..;..;..;..;..;..;..;..;..;132.1;175.4;186.9;166.4;131.7;117.1;106.8;96.2
"Number";"Students by Male (Thous.pers.)";..;..;..;..;..;..;..;..;..;..;230.6;..;272.8;290.7;324.3;318.0;260.5;235.2;182.5;144.9;128.3
"Number";"Students by Female (Thous.pers.)";..;..;..;..;..;..;..;..;..;..;269.7;..;341.7;338.1;375.4;368.2;362.6;327.4;239.2;204.8;186.7
"Number";"Graduates (Thous. pers)";56.3;59.3;68.3;52.4;49.1;72.3;76.9;119.4;115.8;138.8;180.4;163.5;199.7;196.9;212.6;239.9;216.1;176.2;179.6;155.6;153.8
"Number";"Graduates - Public (Thous.pers.)";..;..;..;..;..;..;..;..;..;..;..;..;..;167.5;178.2;195.7;162.2;104.7;125.3;109.9;98.5
"Number";"Graduates - Non-public (Thous.pers.)";..;..;..;..;..;..;..;..;..;..;..;..;..;29.4;34.4;44.2;53.9;71.5;51.3;45.7;55.3
"Index (Previous year = 100) - %";"Schools";..;..;..;..;..;..;99.6;97.2;109.4;106.3;99.6;94.7;102.2;102.5;100.0;102.8;101.4;100.3;100.3;106.1;96.8
"Index (Previous year = 100) - %";"Schools - public";100.0;89.8;100.0;103.3;99.6;100.0;98.0;95.9;103.0;100.4;95.4;90.3;99.0;100.0;97.5;100.5;99.0;102.5;100.0;106.3;94.6
"Index (Previous year = 100) - %";"Schools - Non-public";..;..;..;..;..;..;157.1;127.3;214.3;153.3;121.3;112.3;112.5;109.7;106.3;108.3;106.6;95.9;100.8;105.8;100.0
"Index (Previous year = 100) - %";"Teachers(*) (Thous.pers.)";..;..;..;..;..;..;92.0;109.9;108.5;125.3;102.1;102.2;101.1;114.3;107.1;100.5;110.3;91.9;62.8;94.8;93.5
"Index (Previous year = 100) - %";"Teachers by public (Thous.pers.)";97.9;98.9;105.4;102.0;96.0;103.9;91.9;105.4;103.5;115.2;97.8;93.9;101.9;110.2;95.6;90.0;105.7;94.9;60.0;92.3;90.7
"Index (Previous year = 100) - %";"Teachers by non-public (Thous.pers.)";..;..;..;..;..;..;100.0;382.6;193.7;217.1;122.6;132.7;100.0;125.6;134.6;118.3;116.8;88.4;66.3;97.6;96.5
"Index (Previous year = 100) - %";"Teachers by Male (Thous.pers.)";..;..;..;..;..;..;..;..;..;..;103.9;..;97.6;120.7;106.1;100.6;100.9;91.3;66.5;84.3;99.5
"Index (Previous year = 100) - %";"Teachers by Female (Thous.pers.)";..;..;..;..;..;..;..;..;..;..;100.0;..;106.6;106.2;108.7;100.6;124.0;91.7;58.8;108.4;87.5
"Index (Previous year = 100) - %";"Students (Thous.pers.)";..;..;..;..;..;130.3;106.2;143.6;92.6;129.4;107.2;103.1;119.2;102.3;111.3;98.1;90.8;90.3;75.0;82.9;90.1
"Index (Previous year = 100) - %";"Students by Public (Thous.pers.)";..;..;..;..;..;..;..;..;..;..;107.4;..;..;..;105.6;95.2;91.5;94.4;70.7;79.7;90.1
"Index (Previous year = 100) - %";"Students by Non-public (Thous.pers.)";..;..;..;..;..;..;..;..;..;..;106.1;..;..;..;132.8;106.6;89.0;79.1;88.9;91.1;90.2
"Index (Previous year = 100) - %";"Students by Male (Thous.pers.)";..;..;..;..;..;..;..;..;..;..;94.6;..;120.7;106.6;111.6;98.1;81.9;90.3;77.6;79.4;88.5
"Index (Previous year = 100) - %";"Students by Female (Thous.pers.)";..;..;..;..;..;..;..;..;..;..;105.1;..;118.0;98.9;111.0;98.1;98.5;90.3;73.1;85.6;91.2
"Index (Previous year = 100) - %";"Graduates (Thous. pers)";114.9;105.3;115.2;76.7;93.7;147.2;106.4;155.3;97.0;119.8;130.0;121.1;118.0;98.6;108.0;112.8;90.1;81.5;101.9;86.6;98.9
"Index (Previous year = 100) - %";"Graduates - Public (Thous.pers.)";..;..;..;..;..;..;..;..;..;..;124.4;..;121.2;100.7;106.4;109.8;82.9;64.5;119.7;87.7;89.6
"Index (Previous year = 100) - %";"Graduates - Non-public (Thous.pers.)";..;..;..;..;..;..;..;..;..;..;169.8;..;127.1;88.3;117.0;128.5;121.9;132.7;71.7;89.1;121.1
