"University and college education by Items, University and college and Years"

"Items";"University and college";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Number";"Schools (School)";..;..;..;..;..;178.0;191.0;202.0;214.0;230.0;277.0;322.0;369.0;393.0;403.0;414.0;419.0;421.0;428.0;436.0;445.0
"Number";"Schools - Public (School)";109.0;96.0;110.0;123.0;131.0;148.0;168.0;179.0;187.0;201.0;243.0;275.0;305.0;322.0;326.0;334.0;337.0;340.0;343.0;347.0;357.0
"Number";"Schools - Non-public (School)";..;..;..;..;..;30.0;23.0;23.0;27.0;29.0;34.0;47.0;64.0;71.0;77.0;80.0;82.0;81.0;85.0;89.0;88.0
"Number";"Teachers (Thous. pers.)";..;..;..;..;..;32.3;35.9;38.7;40.0;47.6;48.6;53.4;56.1;60.7;69.6;74.6;84.1;87.7;91.6;91.4;93.5
"Number";"Teachers by Public";22.8;23.5;24.1;26.1;27.1;27.9;31.4;33.4;34.9;40.0;42.0;45.7;51.3;54.8;60.3;63.3;70.4;73.9;75.2;74.1;76.1
"Number";"Teachers by Non-public";..;..;..;..;..;4.5;4.5;5.3;5.1;7.6;6.6;7.7;4.8;5.9;9.3;11.3;13.7;13.8;16.4;17.3;17.4
"Number";"Teachers by Male";..;..;..;..;..;..;..;..;..;..;28.1;..;30.8;32.4;36.8;39.2;43.0;44.9;46.7;42.3;43.3
"Number";"Teachers by Female";..;..;..;..;..;..;..;..;..;..;20.5;..;25.3;28.3;32.8;35.4;41.1;42.8;44.9;49.1;50.2
"Number";"Students (Thous. students)";..;..;..;..;..;899.5;974.1;1020.7;1131.0;1319.8;1387.1;1666.2;1603.5;1719.5;1956.2;2162.1;2208.1;2178.6;2061.6;2363.9;2118.5
"Number";"Students - Public (Thous.students)";297.9;509.3;662.8;682.3;734.9;795.6;873.0;908.8;993.9;1182.0;1226.7;1456.7;1414.7;1501.3;1656.4;1828.2;1873.1;1855.2;1792.0;2050.3;1847.1
"Number";"Students - Non-public (Thous.students)";..;..;..;..;..;103.9;101.1;111.9;137.1;137.8;160.4;209.5;188.8;218.2;299.8;333.9;335.0;323.4;269.6;313.6;271.4
"Number";"Students by Male";..;..;..;..;..;..;..;..;..;..;714.5;..;817.3;872.6;990.5;1082.6;1105.6;1090.8;1015.8;1116.4;1033.9
"Number";"Students by Female";..;..;..;..;..;..;..;..;..;..;672.6;..;786.2;846.9;965.7;1079.5;1102.5;1087.8;1045.8;1247.5;1084.6
"Number";"Graduates (Thous. students)";..;..;..;..;..;162.5;168.9;166.8;165.7;195.6;210.9;232.5;234.0;222.7;246.6;318.4;398.2;425.2;406.3;441.8;353.6
"Number";"Graduates - Public (Thous. students)";58.5;78.5;74.1;103.4;113.6;149.9;157.5;152.6;152.6;180.8;195.0;216.5;215.2;208.7;223.9;278.3;334.5;357.2;350.6;377.9;308.7
"Number";"Graduates - Non-Public (Thous. students)";..;..;..;..;..;12.6;11.4;14.2;13.1;14.8;15.9;16.0;18.8;14.0;22.7;40.1;63.7;68.0;55.7;63.9;44.9
"Index (Previous year = 100) - %";"Schools (School)";..;..;..;..;..;..;107.3;105.8;105.9;107.5;120.4;116.2;114.6;106.5;102.5;102.7;101.2;100.5;101.7;101.9;102.1
