"Average dwelling area per capita by residence, by region and by income quintile by Iterms and Year"

"Iterms";"2004";"2006";"2008";"2010";"2012";"2014"
"WHOLE COUNTRY";13.5;14.7;16.3;17.9;19.4;21.4
"Urban";15.8;16.9;18.7;20.7;21.5;24.0
"Rural";12.8;13.9;15.4;16.7;18.4;20.2
"Red River Delta";..;..;16.6;19.4;21.0;23.2
"Northern midlands and mountain areas";..;..;15.7;16.6;17.9;19.3
"North Central area and Central coastal area";..;..;15.3;17.0;18.7;20.6
"Central Highlands";..;..;14.1;15.1;16.8;18.5
"South East";..;..;18.3;18.9;20.2;22.7
"Mekong River Delta";..;..;16.8;17.9;19.2;21.4
"Income quintile - Quintile 1";10.0;10.6;11.8;12.3;13.7;14.8
"Income quintile - Quintile 2";11.5;12.3;13.7;14.7;16.5;17.9
"Income quintile - Quintile 3";12.9;13.9;15.4;16.7;18.4;20.6
"Income quintile - Quintile 4";14.6;15.9;17.7;19.8;21.0;23.0
"Income quintile - Quintile 5";18.8;20.8;23.1;25.8;27.3;30.6
