"Average dwelling area per capita in 2014 by type of house and by province by Cities, provincies and Type of house"

"Cities, provincies";"Total";"Permanent house";"Semi-Permanent house";"Less-temporary house";"Simple permanent house"
" WHOLE COUNTRY";21.4;23.6;20.2;14.9;14.3
"Red River Delta";23.2;23.7;17.1;11.9;8.2
"Ha Noi";25.1;25.6;18.9;8.6;8.5
"Vinh Phuc";23.3;23.6;19.5;6.7;..
"Bac Ninh";25.0;25.4;17.9;..;..
"Quang Ninh";24.1;25.3;11.9;13.4;6.1
"Hai Duong";22.5;22.8;16.2;..;..
"Hai Phong";18.5;19.7;13.5;8.5;..
"Hung Yen";22.2;21.9;26.9;..;4.7
"Thai Binh";24.1;24.1;16.9;..;32.0
"Ha Nam";22.4;22.7;16.1;9.4;15.0
"Nam Dinh";20.8;21.1;14.6;..;9.5
"Ninh Binh";21.0;21.1;15.0;..;..
"Northern midlands and mountain areas";19.3;22.7;17.1;14.6;14.4
"Ha Giang";18.4;31.8;17.9;15.5;14.3
"Cao Bang";20.9;22.5;21.0;17.0;14.0
"Bac Kan";21.0;25.7;20.9;17.3;14.0
"Tuyen Quang";20.1;24.2;19.6;14.4;16.6
"Lao Cai";19.5;31.5;17.8;13.8;14.5
"Yen Bai";18.3;26.8;17.4;15.9;14.3
"Thai Nguyen";23.1;24.2;21.0;18.0;17.6
"Lang Son";20.1;20.7;20.4;17.4;16.3
"Bac Giang";20.8;22.0;16.4;13.6;5.2
"Phu Tho";22.3;23.8;20.6;18.2;16.5
"Dien Bien";13.8;20.6;12.5;10.6;10.1
"Lai Chau";13.0;19.9;11.8;10.3;9.7
"Son La";14.9;17.5;13.9;12.0;9.3
"Hoa Binh";16.9;19.0;14.4;12.7;10.5
"Northern Central area and Central coastal area";20.6;22.0;18.7;12.3;12.3
"Thanh Hoa";18.2;19.4;15.5;10.9;11.7
"Nghe An";20.4;21.4;18.5;16.0;12.9
"Ha Tinh";22.7;23.4;20.7;14.6;20.0
"Quang Binh";21.8;22.6;18.1;13.5;0.0
"Quang Tri";17.9;21.0;13.9;6.6;6.5
"Thua Thien-Hue";19.5;21.7;17.3;5.7;8.2
"Da Nang";27.7;34.5;22.5;13.3;..
"Quang  Nam";19.7;20.6;18.9;15.8;12.4
"Quang  Ngai";21.5;22.1;20.4;9.4;7.8
"Binh Dinh";24.2;25.8;21.8;18.1;21.7
"Phu Yen";20.6;21.8;16.6;15.0;7.2
"Khanh  Hoa";19.3;21.4;17.6;8.9;13.4
"Ninh  Thuan";17.0;18.4;17.0;8.7;7.3
"Binh Thuan";19.8;23.7;19.1;13.7;14.0
"Central Highlands";18.5;19.1;18.9;12.5;13.1
"Kon Tum";15.4;13.6;16.6;10.9;10.2
"Gia Lai";17.0;17.3;17.6;12.2;9.7
"Dak Lak";18.9;18.3;19.2;12.5;20.7
"Dak Nong";18.3;17.1;20.0;13.2;8.0
"Lam Dong";20.5;27.7;20.1;12.1;8.6
"South East";22.7;30.7;20.9;15.9;15.1
"Binh Phuoc";22.6;29.2;22.7;15.3;12.9
"Tay Ninh";25.8;30.9;26.7;17.2;13.0
"Binh Duong";23.3;32.0;22.3;7.7;17.0
"Dong Nai";21.9;33.3;21.0;19.7;15.1
"Ba Ria - Vung Tau";25.0;40.3;22.8;11.3;12.6
"Ho Chi Minh city";22.1;29.7;19.0;16.3;29.6
"Mekong River Delta";21.4;29.7;22.4;15.9;14.9
"Long An";24.5;30.7;24.4;17.4;17.0
"Tien Giang";27.3;39.4;26.7;17.9;15.2
"Ben Tre";26.1;31.3;26.9;20.1;18.1
"Tra Vinh";23.2;31.6;25.8;18.0;17.5
"Vinh Long";23.9;28.1;24.5;17.6;17.0
"Dong Thap";19.0;24.0;19.9;15.0;12.1
"An Giang";17.4;25.4;18.1;13.0;10.4
"Kien  Giang";17.6;31.5;18.8;15.5;13.8
"Can Tho";20.2;28.2;20.6;14.6;14.6
"Hau Giang";19.7;28.0;21.4;16.0;14.8
"Soc Trang";20.9;29.8;22.4;16.8;16.6
"Bac Lieu";18.5;20.9;19.7;16.4;15.1
"Ca Mau";19.7;26.7;21.4;17.1;14.5
