"Average monthly consumption of some main goods per capita by goods by Iterms and Year"

"Iterms";"2002";"2004";"2006";"2008";"2010";"2012";"2014"
"Rice (Kg)";12.0;12.0;11.4;11.0;9.7;9.6;9.0
"Other foods (in rice equivalence) (Kg)";1.4;1.0;1.0;0.9;1.1;1.0;1.0
"Meat of all kinds (Kg)";1.3;1.4;1.5;1.4;1.8;1.8;1.9
"Grease, oil (Kg)";0.2;0.3;0.3;0.3;0.3;0.3;0.3
"Shrimp, fish (Kg)";1.1;1.4;1.5;1.4;1.4;1.5;1.4
"Egg (Piece)";2.2;2.4;2.5;2.9;3.6;3.6;3.7
"Tofu (Kg)";0.4;0.4;0.4;0.4;0.5;0.5;0.5
"Sugar, molasses, milk, cake, candy, candied fruits (Kg)";0.4;0.5;0.5;0.5;0.6;0.5;0.6
"Fish sauce and dipping sauce (Litre)";0.4;0.4;0.4;0.3;0.3;0.3;0.3
"Tea, coffee (Kg)";0.1;0.1;0.1;0.1;0.1;0.1;0.1
"Wine, beer (Litre)";0.6;0.7;0.7;0.7;0.9;0.9;0.9
"Other drink (Litre)";0.2;0.2;0.3;0.6;0.7;0.6;1.2
"Bean of all kinds (Kg)";0.1;0.1;0.1;0.1;0.1;0.1;0.1
"Peanut, sesame seed (Kg)";0.1;0.1;0.1;0.1;0.1;0.1;0.1
"Vegetable (Kg)";2.4;2.5;2.4;2.3;2.3;2.1;1.9
"Fruit (Kg)";0.8;0.9;0.9;0.9;1.0;0.9;0.9
