"Average monthly consumption of some main goods per capita by income quintile by Iterms, Year and Income quintile"

"Iterms";"2010 General average";"2010 Quintile 1";"2010 Quintile 2";"2010 Quintile 3";"2010 Quintile 4";"2010 Quintile 5";"2012 General average";"2012 Quintile 1";"2012 Quintile 2";"2012 Quintile 3";"2012 Quintile 4";"2012 Quintile 5";"2014 General average";"2014 Quintile 1";"2014 Quintile 2";"2014 Quintile 3";"2014 Quintile 4";"2014 Quintile 5"
"Rice (Kg)";9.7;10.9;10.6;9.9;9.1;7.8;9.6;10.8;10.4;9.8;9.0;8.3;9.0;10.2;9.7;9.0;8.4;7.8
"Other foods (in rice equivalence) (Kg)";1.1;0.9;0.9;1.0;1.2;1.3;1.0;0.9;0.9;1.0;1.0;1.2;1.0;0.8;0.8;0.9;1.0;1.2
"Meat of all kinds (Kg)";1.8;1.0;1.5;1.8;2.1;2.6;1.8;1.1;1.5;1.9;2.2;2.6;1.9;1.2;1.6;1.9;2.2;2.5
"Grease, oil (Kg)";0.3;0.3;0.3;0.3;0.4;0.4;0.3;0.3;0.3;0.3;0.3;0.4;0.3;0.3;0.3;0.3;0.4;0.4
"Shrimp, fish (Kg)";1.4;1.1;1.4;1.5;1.5;1.5;1.5;1.2;1.6;1.6;1.5;1.6;1.4;1.2;1.5;1.4;1.4;1.6
"Egg (Piece)";3.6;2.3;3.1;3.8;4.2;4.8;3.6;2.4;3.2;3.7;4.1;4.4;3.7;2.6;3.5;3.7;4.0;4.6
"Tofu (Kg)";0.5;0.4;0.5;0.5;0.6;0.6;0.5;0.4;0.4;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.5;0.5
"Sugar, molasses, milk, cake, candy, candied fruits (Kg)";0.6;0.3;0.5;0.6;0.6;0.8;0.5;0.3;0.5;0.5;0.6;0.7;0.6;0.4;0.5;0.6;0.6;0.7
"Fish sauce and dipping sauce (Litre)";0.3;0.3;0.3;0.3;0.3;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
"Tea, coffee (Kg)";0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
"Wine, beer (Litre)";0.9;0.6;0.7;0.9;1.1;1.5;0.9;0.6;0.7;0.8;1.0;1.3;0.9;0.6;0.7;0.9;1.0;1.2
"Other drink (Litre)";0.7;0.1;0.3;0.6;0.9;1.8;0.6;0.2;0.4;0.6;0.6;1.3;1.2;0.4;1.0;1.4;1.3;2.0
"Bean of all kinds (Kg)";0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.0;0.1;0.1;0.1;0.1
"Peanut, sesame seed (Kg)";0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.0;0.1;0.1;0.1;0.1;0.1;0.0;0.1;0.1;0.1;0.1
"Vegetable (Kg)";2.3;1.7;2.1;2.3;2.5;2.8;2.1;1.5;2.0;2.2;2.3;2.5;1.9;1.3;1.8;1.9;2.1;2.4
"Fruit (Kg)";1.0;0.6;0.7;0.9;1.1;1.6;0.9;0.6;0.7;0.9;1.0;1.4;0.9;0.5;0.7;0.8;1.0;1.3
