"Average monthly consumption of some main goods per capita by residence by Iterms, Year and Residence"

"Iterms";"2010 Total";"2010 Urban";"2010 Rural";"2012 Total";"2012 Urban";"2012 Rural";"2014 Total";"2014 Urban";"2014 Rural"
"Rice (Kg)";9.7;7.5;10.6;9.6;7.7;10.5;9.0;7.3;9.8
"Other foods (in rice equivalence) (Kg)";1.1;1.2;1.0;1.0;1.0;1.0;1.0;1.0;0.9
"Meat of all kinds (Kg)";1.8;2.1;1.7;1.8;2.0;1.7;1.9;2.0;1.8
"Grease, oil (Kg)";0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
"Shrimp, fish (Kg)";1.4;1.4;1.4;1.5;1.5;1.5;1.4;1.4;1.4
"Egg (Piece)";3.6;4.2;3.4;3.6;4.0;3.4;3.7;4.0;3.5
"Tofu (Kg)";0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5
"Sugar, molasses, milk, cake, candy, candied fruits (Kg)";0.6;0.6;0.5;0.5;0.6;0.5;0.6;0.6;0.5
"Fish sauce and dipping sauce (Litre)";0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
"Tea, coffee (Kg)";0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
"Wine, beer (Litre)";0.9;1.0;0.9;0.9;0.9;0.9;0.9;0.9;0.9
"Other drink (Litre)";0.7;1.5;0.4;0.6;1.0;0.4;1.2;1.9;0.9
"Bean of all kinds (Kg)";0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
"Peanut, sesame seed (Kg)";0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.0;0.1
"Vegetable (Kg)";2.3;2.5;2.2;2.1;2.2;2.0;1.9;2.1;1.8
"Fruit (Kg)";1.0;1.3;0.9;0.9;1.2;0.8;0.9;1.1;0.8
