"Difference between the highest income quintile and the lowest income quintile on monthly average income per capita at current prices by province by Cities, provincies, Year and Difference"

"Cities, provincies";"2010 Monthly average income per capita (Thous. dongs) - The lowest income quintile";"2010 Monthly average income per capita (Thous. dongs)The highest income quintile";"2010 The highest income quintile compared with the lowest income quintile (Time)";"2012 Monthly average income per capita (Thous. dongs) - The lowest income quintile";"2012 Monthly average income per capita (Thous. dongs)The highest income quintile";"2012 The highest income quintile compared with the lowest income quintile (Time)";"2014 Monthly average income per capita (Thous. dongs) - The lowest income quintile";"2014 Monthly average income per capita (Thous. dongs)The highest income quintile";"2014 The highest income quintile compared with the lowest income quintile (Time)"
" WHOLE COUNTRY";369.0;3410.0;9.2;512.0;4784.0;9.4;660.0;6413.0;9.7
"Red River Delta";468.0;3744.0;8.0;700.0;5384.0;7.7;1007.0;7858.0;7.8
"Ha Noi";542.0;4834.0;8.9;804.0;6829.0;8.5;1224.0;10368.0;8.5
"Vinh Phuc";419.0;2659.0;6.3;629.0;4060.0;6.5;794.0;5122.0;6.5
"Bac Ninh";534.0;3899.0;7.3;805.0;5831.0;7.2;1255.0;8160.0;6.5
"Quang Ninh";471.0;3812.0;8.1;689.0;5483.0;8.0;816.0;6507.0;8.0
"Hai Duong";441.0;2634.0;6.0;701.0;4207.0;6.0;992.0;5959.0;6.0
"Hai Phong";510.0;4069.0;8.0;759.0;5862.0;7.7;1319.0;10165.0;7.7
"Hung Yen";420.0;2490.0;5.9;648.0;3589.0;5.5;799.0;4435.0;5.5
"Thai Binh";409.0;2384.0;5.8;614.0;3491.0;5.7;888.0;5273.0;5.9
"Ha Nam";418.0;2456.0;5.9;587.0;3449.0;5.9;740.0;4499.0;6.1
"Nam Dinh";459.0;2635.0;5.7;621.0;3800.0;6.1;1059.0;6462.0;6.1
"Ninh Binh";373.0;2621.0;7.0;551.0;3747.0;6.8;724.0;4907.0;6.8
"Northern midlands and mountain areas";282.0;2137.0;7.6;377.0;2943.0;7.8;468.0;3806.0;8.1
"Ha Giang";259.0;1413.0;5.5;349.0;2043.0;5.9;468.0;2751.0;5.9
"Cao Bang";225.0;2013.0;9.0;304.0;2761.0;9.1;351.0;3202.0;9.1
"Bac Kan";255.0;1898.0;7.5;358.0;2750.0;7.7;359.0;2786.0;7.8
"Tuyen Quang";293.0;1910.0;6.5;371.0;2543.0;6.8;506.0;3452.0;6.8
"Lao Cai";280.0;2117.0;7.6;346.0;2687.0;7.8;474.0;3706.0;7.8
"Yen Bai";279.0;1904.0;6.8;366.0;2603.0;7.1;438.0;3201.0;7.3
"Thai Nguyen";357.0;2668.0;7.5;499.0;3865.0;7.7;636.0;4924.0;7.7
"Lang Son";305.0;2128.0;7.0;409.0;2853.0;7.0;480.0;3340.0;7.0
"Bac Giang";403.0;2338.0;5.8;502.0;3135.0;6.2;708.0;4515.0;6.4
"Phu Tho";381.0;2605.0;6.8;488.0;3379.0;6.9;629.0;4365.0;6.9
"Dien Bien";215.0;1444.0;6.7;310.0;2143.0;6.9;444.0;3093.0;7.0
"Lai Chau";216.0;1484.0;6.9;273.0;1928.0;7.1;359.0;2581.0;7.2
"Son La";258.0;1750.0;6.8;351.0;2465.0;7.0;431.0;3055.0;7.1
"Hoa Binh";265.0;1916.0;7.2;378.0;2686.0;7.1;479.0;3465.0;7.2
"Northern Central area and Central coastal area";317.0;2283.0;7.2;443.0;3355.0;7.6;561.0;4400.0;7.8
"Thanh Hoa";295.0;1773.0;6.0;416.0;2580.0;6.2;533.0;3385.0;6.3
"Nghe An";260.0;1955.0;7.5;383.0;3099.0;8.1;428.0;3528.0;8.2
"Ha Tinh";278.0;1921.0;6.9;418.0;2862.0;6.9;554.0;3851.0;6.9
"Quang Binh";308.0;2143.0;7.0;423.0;3174.0;7.5;517.0;3977.0;7.7
"Quang Tri";320.0;2162.0;6.8;410.0;2863.0;7.0;493.0;3500.0;7.1
"Thua Thien-Hue";328.0;2232.0;6.8;586.0;3837.0;6.5;714.0;4678.0;6.6
