"Difference between the highest income quintile and the lowest income quintile on monthly average income per capita at current prices by residence, by sex of household head, and by region by Iterms, Year and Difference"

"Iterms";"2010 Monthly average income per capita (Thous. dongs) - The lowest income quintile";"2010 Monthly average income per capita (Thous. dongs)The highest income quintile";"2010 The highest income quintile compared with the lowest income quintile (Time)";"2012 Monthly average income per capita (Thous. dongs) - The lowest income quintile";"2012 Monthly average income per capita (Thous. dongs)The highest income quintile";"2012 The highest income quintile compared with the lowest income quintile (Time)";"2014 Monthly average income per capita (Thous. dongs) - The lowest income quintile";"2014 Monthly average income per capita (Thous. dongs)The highest income quintile";"2014 The highest income quintile compared with the lowest income quintile (Time)"
"WHOLE COUNTRY";369.0;3410.0;9.2;512.0;4784.0;9.4;660.0;6413.0;9.7
"Urban";633.0;4983.0;7.9;952.0;6794.0;7.1;1267.0;9421.0;7.4
"Rural";330.0;2462.0;7.5;450.0;3615.0;8.0;565.0;4641.0;8.2
"Male";359.0;3243.0;9.0;494.0;4638.0;9.4;638.0;6095.0;9.5
"Female";415.0;3923.0;9.5;592.0;5243.0;8.9;753.0;7442.0;9.9
"Red River Delta";468.0;3744.0;8.0;700.0;5384.0;7.7;1007.0;7858.0;7.8
"Northern midlands and mountain areas";282.0;2137.0;7.6;377.0;2943.0;7.8;468.0;3806.0;8.1
"North Central area and Central coastal area";317.0;2283.0;7.2;443.0;3355.0;7.6;561.0;4400.0;7.8
"Central Highlands";305.0;2526.0;8.3;421.0;3626.0;8.6;510.0;4574.0;9.0
"South East";720.0;5573.0;7.7;1054.0;7361.0;7.0;1397.0;9979.0;7.1
"Mekong River Delta";395.0;2908.0;7.4;545.0;4214.0;7.7;728.0;5420.0;7.4
