"Disposing solid waste and waste water in 2015 of industrial zones(*) by Region, Types of indusstrial zones and Number and rate"

"Region";"Types of indusstrial zones";"Total industrial zones (Zone)";"Number of industrial zones disposing in accordance with corresponding defined criteria (Zone)";"Rate of industrial zones disposing in accordance with corresponding defined criteria (%)"
"Whole country";"TOTAL";371.0;235.0;..
"Whole country";"Industrial zones";324.0;221.0;68.2
"Whole country";"Export proccessing zone";4.0;4.0;100.0
"Whole country";"Economic zones";39.0;8.0;20.5
"Whole country";"High-tech zones";4.0;2.0;50.0
"Red River Delta";"TOTAL";..;..;..
"Red River Delta";"Industrial zones";71.0;52.0;73.2
"Red River Delta";"Export proccessing zone";5.0;..;..
"Red River Delta";"Economic zones";1.0;1.0;100.0
"Red River Delta";"High-tech zones";..;..;..
"Northern midlands and mountain areas";"TOTAL";..;..;..
"Northern midlands and mountain areas";"Industrial zones";33.0;20.0;60.6
"Northern midlands and mountain areas";"Export proccessing zone";8.0;1.0;12.5
"Northern midlands and mountain areas";"Economic zones";..;..;..
"Northern midlands and mountain areas";"High-tech zones";..;..;..
"North Central and Central coastal areas";"TOTAL";..;..;..
"North Central and Central coastal areas";"Industrial zones";60.0;35.0;58.3
"North Central and Central coastal areas";"Export proccessing zone";15.0;6.0;40.0
"North Central and Central coastal areas";"Economic zones";1.0;..;..
"North Central and Central coastal areas";"High-tech zones";..;..;..
"Central Highlands";"TOTAL";..;..;..
"Central Highlands";"Industrial zones";19.0;5.0;26.3
"Central Highlands";"Export proccessing zone";2.0;..;..
"Central Highlands";"Economic zones";..;..;..
"Central Highlands";"High-tech zones";..;..;..
"South East";"TOTAL";..;..;..
"South East";"Industrial zones";92.0;77.0;83.7
"South East";"Export proccessing zone";4.0;4.0;100.0
"South East";"Economic zones";3.0;1.0;33.3
"South East";"High-tech zones";2.0;1.0;50.0
"Mekong River Delta";"TOTAL";..;..;..
"Mekong River Delta";"Industrial zones";49.0;32.0;65.3
"Mekong River Delta";"Export proccessing zone";..;..;..
"Mekong River Delta";"Economic zones";6.0;..;..
"Mekong River Delta";"High-tech zones";..;..;..
