"General poverty rate by residence and by region by Residence and by region and Year"

"Residence and by region";"1998";"2002";"2004";"2006";"2008";"2010";"2011";"2012";"2013";"2014";"2015"
"WHOLE COUNTRY";37.4;28.9;18.1;15.5;13.4;14.2;12.6;11.1;9.8;8.4;7.0
"Urban";9.0;6.6;8.6;7.7;6.7;6.9;5.1;4.3;3.7;3.0;2.5
"Rural";44.9;35.6;21.2;18.0;16.1;17.4;15.9;14.1;12.7;10.8;9.2
"Red River Delta";30.7;21.5;12.7;10.0;8.6;8.3;7.1;6.0;4.9;4.0;3.2
"Northern midlands and mountain areas";64.5;47.9;29.4;27.5;25.1;29.4;26.7;23.8;21.9;18.4;16.0
"North Central area and Central coastal area";42.5;35.7;25.3;22.2;19.2;20.4;18.5;16.1;14.0;11.8;9.8
"Central Highlands";52.4;51.8;29.2;24.0;21.0;22.2;20.3;17.8;16.2;13.8;11.3
"South East";7.6;8.2;4.6;3.1;2.5;2.3;1.7;1.3;1.1;1.0;0.7
"Mekong River Delta";36.9;23.4;15.3;13.0;11.4;12.6;11.6;10.1;9.2;7.9;6.5
