"Justice by Iterms and Year"

"Iterms";"2011";"2012";"2013";"2014";"Sơ bộ 2015"
"Number of instituted cases (Case)";71665;74134;76220;68863;72864
"Number of instituted people (Person)";114194;120401;122439;110213;110442
"Of which: Female (Person) - instituted people";8405;10136;9596;12175;12387
"Number of procecuted cases (Case)";60473;66870;67592;59788;16107
"Number of procecuted people (Person)";106687;120253;121141;108031;107135
"Of which: Female (Person) - procecuted people";..;11879;11628;11672;11735
"Number of sentenced cases (Case)";..;..;67779;66676;61067
"Number of guilty people (Person)";..;..;119889;119257;107071
"Of which: Female (Person) - guilty people";..;..;7338;6779;5656
"The number of people receiving legal aid (Person)";..;..;..;129164;..
"Lawyers per 10000 inhabitants (Person)";..;..;..;1;..
