"Monthly average income per capita at current prices by income quintile and by province by Cities, provincies, Year and Income quintile"

"Cities, provincies";"2010 General average";"2010 Quintile 1";"2010 Quintile 2";"2010 Quintile 3";"2010 Quintile 4";"2010 Quintile 5";"2012 General average";"2012 Quintile 1";"2012 Quintile 2";"2012 Quintile 3";"2012 Quintile 4";"2012 Quintile 5";"2014 General average";"2014 Quintile 1";"2014 Quintile 2";"2014 Quintile 3";"2014 Quintile 4";"2014 Quintile 5"
" WHOLE COUNTRY";1387;369;669;1000;1490;3410;2000;512;984;1500;2222;4784;2637;660;1314;1972;2830;6413
"Red River Delta";1580;468;823;1174;1697;3744;2351;700;1285;1819;2566;5384;3265;1007;1756;2389;3315;7858
"Ha Noi";2013;542;981;1470;2239;4834;2945;804;1560;2271;3255;6829;4113;1224;2048;2864;4046;10368
"Vinh Phuc";1232;419;684;995;1395;2659;1867;629;1092;1526;2018;4060;2378;794;1391;1902;2672;5122
"Bac Ninh";1646;534;918;1231;1637;3899;2502;805;1424;1901;2526;5831;3512;1255;2045;2710;3375;8160
"Quang Ninh";1787;471;975;1522;2152;3812;2557;689;1383;2171;3039;5483;3053;816;1873;2606;3450;6507
"Hai Duong";1306;441;811;1125;1512;2634;2047;701;1261;1747;2310;4207;2755;992;1681;2216;2919;5959
"Hai Phong";1694;510;865;1219;1806;4069;2526;759;1508;1943;2545;5862;3923;1319;2118;2643;3331;10165
"Hung Yen";1199;420;740;1006;1328;2490;1803;648;1163;1564;2048;3589;2192;799;1406;1846;2462;4435
"Thai Binh";1129;409;683;930;1239;2384;1729;614;1072;1501;1969;3491;2469;888;1522;1992;2658;5273
"Ha Nam";1150;418;691;938;1243;2456;1754;587;1094;1551;2067;3449;2198;740;1327;1859;2543;4499
"Nam Dinh";1237;459;732;1019;1340;2635;1791;621;1066;1478;1986;3800;2816;1059;1686;2176;2689;6462
"Ninh Binh";1202;373;672;969;1375;2621;1696;551;944;1313;1897;3747;2215;724;1226;1756;2444;4907
"Northern midlands and mountain areas";905;282;449;654;1002;2137;1258;377;569;913;1490;2943;1613;468;719;1159;1919;3806
"Ha Giang";610;259;347;452;583;1413;850;349;440;574;833;2043;1121;468;564;713;1100;2751
"Cao Bang";749;225;337;459;705;2013;1054;304;458;659;1083;2761;1252;351;534;778;1384;3202
"Bac Kan";776;255;389;536;800;1898;1142;358;564;826;1217;2750;1216;359;619;881;1428;2786
"Tuyen Quang";887;293;478;729;1027;1910;1162;371;590;926;1375;2543;1571;506;771;1189;1934;3452
"Lao Cai";819;280;409;537;751;2117;1085;346;477;658;1255;2687;1468;474;593;868;1687;3706
"Yen Bai";844;279;435;660;938;1904;1114;366;545;763;1289;2603;1386;438;682;1030;1571;3201
"Thai Nguyen";1149;357;571;839;1298;2668;1747;499;945;1398;2017;3865;2238;636;1181;1821;2615;4924
"Lang Son";929;305;482;678;1046;2128;1212;409;567;794;1428;2853;1437;480;707;1018;1633;3340
"Bac Giang";1103;403;628;902;1245;2338;1568;502;950;1356;1894;3135;2174;708;1302;1830;2504;4515
"Phu Tho";1126;381;594;842;1210;2605;1579;488;854;1318;1850;3379;1954;629;1036;1541;2193;4365
"Dien Bien";611;215;319;424;650;1444;819;310;406;525;707;2143;1200;444;533;671;1235;3093
"Lai Chau";567;216;289;360;484;1484;758;273;417;532;633;1928;987;359;502;621;859;2581
"Son La";802;258;428;634;935;1750;1020;351;492;697;1090;2465;1178;431;574;722;1095;3055
"Hoa Binh";829;265;425;614;924;1916;1219;378;626;978;1433;2686;1598;479;875;1267;1892;3465
"Northern Central area and Central coastal area";1018;317;553;789;1149;2283;1505;443;805;1194;1729;3355;1982;561;1077;1593;2283;4400
"Thanh Hoa";840;295;474;676;980;1773;1207;416;652;965;1419;2580;1635;533;937;1351;1964;3385
