"Monthly average income per capita at current prices by income source and by province by Cities, provincies, Year and Income source"

"Cities, provincies";"2010 Total";"2010 Salary & wage";"2010 Agriculture, forestry & fishery";"2010 Non-agriculture, forestry & fishery";"2010 Others";"2012 Total";"2012 Salary & wage";"2012 Agriculture, forestry & fishery";"2012 Non-agriculture, forestry & fishery";"2012 Others";"2014 Total";"2014 Salary & wage";"2014 Agriculture, forestry & fishery";"2014 Non-agriculture, forestry & fishery";"2014 Others"
" WHOLE COUNTRY";1387;622;279;328;158;2000;923;397;442;238;2637;1253;458;591;335
"Red River Delta";1580;798;189;392;201;2351;1216;275;556;304;3265;1733;327;738;467
"Ha Noi";2013;1165;109;467;273;2945;1741;169;657;378;4113;2537;226;767;583
"Vinh Phuc";1232;519;256;317;140;1867;784;373;517;193;2378;1089;342;645;302
"Bac Ninh";1646;560;190;707;189;2502;875;256;1089;281;3512;1178;299;1641;394
"Quang Ninh";1787;895;176;533;183;2557;1367;224;626;340;3053;1580;308;795;370
"Hai Duong";1306;600;258;286;163;2047;996;377;415;259;2755;1289;433;651;382
"Hai Phong";1694;958;115;418;204;2526;1278;197;590;461;3923;2002;314;862;745
"Hung Yen";1199;522;261;275;141;1803;785;412;445;161;2192;998;429;492;273
"Thai Binh";1129;518;251;216;143;1729;878;368;299;184;2469;1214;384;476;395
"Ha Nam";1150;470;264;248;168;1754;710;374;440;230;2198;917;389;544;348
"Nam Dinh";1237;477;286;322;153;1791;769;379;423;220;2816;1280;446;718;372
"Ninh Binh";1202;498;264;280;160;1696;762;355;289;290;2215;1092;437;386;300
"Northern midlands and mountain areas";905;359;314;146;86;1258;536;406;197;119;1613;707;471;283;152
"Ha Giang";610;193;317;61;38;850;274;440;76;60;1121;367;507;157;90
"Cao Bang";749;312;293;83;61;1054;453;402;112;87;1252;590;403;112;147
"Bac Kan";776;266;311;135;65;1142;313;481;290;58;1216;410;500;220;86
"Tuyen Quang";887;348;344;125;70;1162;472;410;194;86;1571;683;498;243;147
"Lao Cai";819;345;324;105;45;1085;527;311;183;64;1468;644;411;345;68
