"Monthly average income per capita at current prices by residence and by region by Residence and region and Year"

"Residence and region";"1999";"2002";"2004";"2006";"2008";"2010";"2012";"2014"
"WHOLE COUNTRY";295;356;484;636;995;1387;2000;2637
"Urban";517;622;815;1058;1605;2130;2989;3964
"Rural";225;275;378;506;762;1070;1579;2038
"Red River Delta";282;358;498;666;1065;1580;2351;3265
"Northern midlands and mountain areas";199;237;327;442;657;905;1258;1613
"North Central area and Central coastal area";229;268;361;476;728;1018;1505;1982
"Central Highlands";345;244;390;522;795;1088;1643;2008
"South East";571;667;893;1146;1773;2304;3173;4125
"Mekong River Delta";342;371;471;628;940;1247;1797;2327
