"Monthly average income per capita in 2014 at current prices by income quintile,  by residence, by sex of household head and by region by Iterms, Year and Income quintile"

"Iterms";"2010 General average";"2010 Quintile 1";"2010 Quintile 2";"2010 Quintile 3";"2010 Quintile 4";"2010 Quintile 5";"2012 General average";"2012 Quintile 1";"2012 Quintile 2";"2012 Quintile 3";"2012 Quintile 4";"2012 Quintile 5";"2014 General average";"2014 Quintile 1";"2014 Quintile 2";"2014 Quintile 3";"2014 Quintile 4";"2014 Quintile 5"
"WHOLE COUNTRY";1387;369;669;1000;1490;3410;2000;512;984;1500;2222;4784;2637;660;1314;1972;2830;6413
"Urban";2130;633;1153;1611;2268;4983;2989;952;1672;2333;3198;6794;3964;1267;2179;2922;4034;9421
"Rural";1070;330;568;821;1175;2462;1579;450;818;1228;1789;3615;2038;565;1082;1611;2295;4641
"Male";1321;359;643;953;1411;3243;1930;494;944;1442;2133;4638;2525;638;1268;1901;2725;6095
"Female";1618;415;784;1196;1771;3923;2247;592;1147;1726;2530;5243;3027;753;1499;2240;3197;7442
"Red River Delta";1580;468;823;1174;1697;3744;2351;700;1285;1819;2566;5384;3265;1007;1756;2389;3315;7858
"Northern midlands and mountain areas";905;282;449;654;1002;2137;1258;377;569;913;1490;2943;1613;468;719;1159;1919;3806
"North Central area and Central coastal area";1018;317;553;789;1149;2283;1505;443;805;1194;1729;3355;1982;561;1077;1593;2283;4400
"Central Highlands";1088;305;534;799;1276;2526;1643;421;796;1334;2040;3626;2008;510;963;1590;2404;4574
"South East";2304;720;1205;1684;2341;5573;3173;1054;1724;2406;3320;7361;4125;1397;2273;2991;3972;9979
"Mekong River Delta";1247;395;661;937;1336;2908;1797;545;944;1349;1933;4214;2327;728;1264;1767;2454;5420
