"Number of health establishments by management level(*) by Items, Year and Management level"

"Items";"Year";"Total";"Ministry of Health";"Provincial departments of health";"Under others"
"Total";"2005";13243;30;12372;841
"Total";"2006";13232;31;12420;781
"Total";"2007";13438;37;12626;775
"Total";"2008";13460;41;12670;749
"Total";"2009";13450;44;12654;752
"Total";"2010";13467;47;12667;753
"Total";"2011";13506;46;12679;781
"Total";"2012";13523;46;12691;786
"Total";"2013";13562;46;12735;781
"Total";"2014";13611;46;12785;780
"Total";"Prel. 2015";13617;46;12791;780
"Hospital only";"2005";878;26;822;30
"Hospital only";"2006";903;27;847;29
"Hospital only";"2007";956;32;902;22
"Hospital only";"2008";974;36;915;23
"Hospital only";"2009";1002;39;940;23
"Hospital only";"2010";1030;42;966;22
"Hospital only";"2011";1040;43;971;26
"Hospital only";"2012";1042;43;973;26
"Hospital only";"2013";1069;43;1000;26
"Hospital only";"2014";1063;43;994;26
"Hospital only";"Prel. 2015";1071;43;1002;26
