"Number of health establishments under provincial departments of health by province(*) by Cities, provincies, Year and Health establishments"

"Cities, provincies";"2005 Total";"2005 Hospital";"2005 Regional polyclinic";"2005 Sanatorium and rehabilitation hospital";"2005 Medical service unit";"2006 Total";"2006 Hospital";"2006 Regional polyclinic";"2006 Sanatorium and rehabilitation hospital";"2006 Medical service unit";"2007 Total";"2007 Hospital";"2007 Regional polyclinic";"2007 Sanatorium and rehabilitation hospital";"2007 Medical service unit";"2008 Total";"2008 Hospital";"2008 Regional polyclinic";"2008 Sanatorium and rehabilitation hospital";"2008 Medical service unit";"2009 Total";"2009 Hospital";"2009 Regional polyclinic";"2009 Sanatorium and rehabilitation hospital";"2009 Medical service unit";"2010 Total";"2010 Hospital";"2010 Regional polyclinic";"2010 Sanatorium and rehabilitation hospital";"2010 Medical service unit";"2011 Total";"2011 Hospital";"2011 Regional polyclinic";"2011 Sanatorium and rehabilitation hospital";"2011 Medical service unit";"2012 Total";"2012 Hospital";"2012 Regional polyclinic";"2012 Sanatorium and rehabilitation hospital";"2012 Medical service unit";"2013 Total";"2013 Hospital";"2013 Regional polyclinic";"2013 Sanatorium and rehabilitation hospital";"2013 Medical service unit";"2014 Total";"2014 Hospital";"2014 Regional polyclinic";"2014 Sanatorium and rehabilitation hospital";"2014 Medical service unit";"2015 Total";"2015 Hospital";"2015 Regional polyclinic";"2015 Sanatorium and rehabilitation hospital";"2015 Medical service unit"
" WHOLE COUNTRY";12372;822;855;34;10613;12420;847;822;32;10672;12626;902;803;31;10851;12670;915;770;32;10917;12654;940;670;33;10979;12667;966;609;33;11028;12679;971;600;31;11047;12407;963;621;35;10757;12735;1000;616;33;11055;12785;994;618;34;11110;12791;1002;613;34;11113
"Red River Delta";2756;173;128;9;2435;2748;177;119;8;2433;2758;184;117;8;2439;2763;191;103;8;2450;2755;203;80;8;2453;2750;210;68;8;2453;2752;212;68;7;2454;2489;210;89;8;2170;2778;214;90;8;2455;2787;211;94;9;2462;2784;209;94;9;2462
"Ha Noi";280;18;25;..;232;277;18;23;..;232;281;19;26;..;232;665;36;46;..;577;651;41;29;..;575;650;40;29;..;575;650;40;29;..;575;673;41;49;..;577;675;41;51;..;577;686;40;55;1;584;686;40;55;1;584
"Ha Tay";360;16;19;..;324;356;16;17;..;322;356;16;17;..;322;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Vinh Phuc";175;9;13;1;152;175;9;13;1;152;177;9;13;1;154;158;9;11;1;137;160;10;11;1;138;161;14;8;1;138;162;14;8;1;139;162;14;8;1;139;163;15;8;1;139;162;14;8;1;139;162;14;8;1;139
"Bac Ninh";146;11;7;1;126;146;11;7;1;126;146;11;7;1;126;146;11;7;1;126;146;11;7;1;126;139;11;..;1;126;139;11;..;1;126;140;12;..;1;126;140;12;..;1;126;140;12;..;1;126;141;13;..;1;126
"Quang Ninh";212;18;8;1;184;214;19;8;1;184;215;19;8;1;186;217;21;8;1;186;219;21;10;1;186;217;19;10;1;186;216;19;10;..;186;218;19;11;1;186;217;19;10;1;186;218;20;10;1;186;216;19;10;1;186
"Hai Duong";288;17;6;1;263;288;17;6;1;263;287;17;5;1;263;287;17;5;1;263;293;21;5;1;265;293;21;5;1;265;293;21;5;1;265;291;19;5;1;265;292;20;5;1;265;292;20;5;1;265;292;20;5;1;265
"Hai Phong";266;22;25;1;218;261;22;20;1;218;259;22;16;1;220;255;24;6;1;224;251;24;2;1;224;251;24;2;1;224;251;24;2;1;224;251;23;2;1;224;251;24;2;1;224;251;24;2;1;224;251;24;2;1;224
"Hung Yen";175;13;..;1;161;177;16;..;..;161;177;16;..;..;161;178;16;..;..;162;178;16;..;..;162;178;16;..;..;162;179;17;..;..;162;179;17;..;..;162;179;17;..;..;162;179;17;..;..;162;179;17;..;..;162
"Thai Binh";300;13;..;1;285;299;12;..;1;285;303;16;..;1;285;305;18;..;1;285;307;19;..;1;286;309;21;..;1;286;310;22;..;1;286;24;22;..;1;..;310;22;..;1;286;308;20;..;1;286;307;19;..;1;286
"Ha Nam";136;10;9;..;116;136;10;9;..;116;138;12;9;..;116;133;12;4;..;116;132;11;4;..;116;131;12;2;..;116;131;12;2;..;116;131;12;2;..;116;131;12;2;..;116;131;12;2;..;116;130;11;2;..;116
"Nam Dinh";250;16;4;1;229;251;17;4;1;229;251;17;4;1;229;251;17;4;1;229;248;18;..;1;229;248;18;..;1;229;248;18;..;1;229;248;18;..;1;229;248;18;..;1;229;249;19;..;1;229;249;19;..;1;229
"Ninh Binh";168;10;12;1;145;168;10;12;1;145;168;10;12;1;145;168;10;12;1;145;170;11;12;1;146;173;14;12;1;146;173;14;12;1;146;172;13;12;1;146;172;14;12;1;145;171;13;12;1;145;171;13;12;1;145
"Northern midlands and mountain areas";2923;171;268;7;2470;2911;171;264;7;2463;2945;179;258;6;2496;2953;180;256;6;2505;2923;182;230;7;2498;2941;192;220;7;2516;2944;193;221;7;2517;2940;187;218;8;2524;2955;195;218;8;2531;2970;197;215;8;2548;2968;201;209;8;2548
"Ha Giang";207;11;21;..;175;208;12;21;..;175;209;13;21;..;175;208;13;20;..;175;208;13;20;..;175;210;15;20;..;175;211;15;20;..;176;211;14;19;1;177;211;14;19;1;177;212;15;19;1;177;212;15;19;1;177
"Cao Bang";225;16;20;..;189;227;16;22;..;189;233;16;23;..;194;238;16;23;..;199;235;16;20;..;199;235;16;20;..;199;235;16;20;..;199;235;16;20;..;199;236;17;20;..;199;234;17;18;..;199;233;17;17;..;199
"Bac Kan";140;6;12;..;122;139;6;11;..;122;140;7;11;..;122;140;8;10;..;122;140;8;10;..;122;133;9;2;..;122;133;9;2;..;122;133;9;2;..;122;133;9;2;..;122;133;9;2;..;122;132;9;1;..;122
"Tuyen Quang";171;11;14;1;145;169;11;13;1;144;166;12;13;1;140;166;12;13;1;140;166;12;13;1;140;167;12;13;1;141;167;12;13;1;141;166;12;12;1;141;168;14;12;1;141;168;14;12;1;141;167;14;11;1;141
"Lao Cai";213;12;35;1;165;213;12;36;1;164;212;12;36;..;164;212;12;36;..;164;213;12;36;1;164;214;13;36;1;164;214;13;36;1;164;213;12;36;1;164;213;12;36;1;164;213;12;36;1;164;213;12;36;1;164
"Yen Bai";216;11;26;..;178;216;11;26;..;178;211;12;20;..;178;210;12;19;..;178;210;12;19;..;178;214;14;19;..;180;214;14;19;..;180;213;14;19;..;180;213;14;19;..;180;215;15;20;..;180;214;15;19;..;180
"Thai Nguyen";207;15;13;1;175;207;15;13;1;175;212;15;13;1;180;212;15;13;1;180;212;15;13;1;180;212;15;13;1;180;213;15;13;1;181;209;13;13;1;181;210;14;13;1;181;209;14;13;1;180;211;18;11;1;180
"Lang Son";264;13;24;1;226;264;13;24;1;226;265;14;24;1;226;265;14;24;1;226;265;14;24;1;226;262;14;21;1;226;264;14;24;1;225;264;13;24;1;226;266;14;25;1;226;266;14;25;1;226;266;14;25;1;226
"Bac Giang";268;15;22;1;229;268;15;23;1;229;268;15;24;1;228;269;15;24;1;229;250;16;4;1;229;251;16;4;1;230;250;16;3;1;230;249;15;3;1;230;250;16;3;1;230;250;16;3;1;230;250;16;3;1;230
"Phu Tho";299;18;7;1;273;292;16;2;1;273;296;17;4;1;274;297;17;4;1;275;296;16;4;1;275;293;17;..;1;275;295;17;..;1;277;294;16;..;1;277;294;16;..;1;277;294;16;..;1;277;294;16;..;1;277
"Dien Bien";115;8;18;..;88;118;9;20;..;88;136;10;19;..;106;135;10;18;..;106;141;10;18;..;112;143;12;18;..;112;143;12;18;..;112;144;13;18;..;112;144;14;17;..;112;161;14;17;..;130;161;14;17;..;130
"Lai Chau";109;8;11;..;90;108;7;11;..;90;108;7;7;..;94;112;7;7;..;98;107;9;8;..;90;122;10;14;..;98;122;10;14;..;98;128;10;15;..;103;134;11;15;..;108;134;11;15;..;108;134;11;15;..;108
"Son La";234;14;17;1;201;237;15;19;1;201;237;15;19;1;201;243;15;23;1;203;239;15;19;1;203;241;15;18;1;206;240;16;18;1;204;238;16;16;1;204;238;16;16;1;204;236;16;14;1;204;236;16;14;1;204
"Hoa Binh";255;13;28;..;214;245;13;23;..;209;252;14;24;..;214;246;14;22;..;210;241;14;22;..;205;244;14;22;..;208;243;14;21;..;208;243;14;21;..;208;245;14;21;..;210;245;14;21;..;210;245;14;21;..;210
"Northern Central area and Central coastal area";3219;194;216;10;2790;3231;203;198;10;2812;3284;210;186;10;2870;3282;213;169;10;2882;3275;222;142;10;2894;3290;224;141;11;2908;3286;225;132;11;2912;3283;230;127;10;2910;3277;237;118;10;2906;3280;237;113;10;2914;3281;240;110;10;2914
"Thanh Hoa";686;32;29;1;623;684;33;26;1;623;694;35;23;1;634;685;35;14;1;634;687;36;13;1;636;688;36;13;1;637;687;36;12;1;637;687;36;12;1;637;687;36;12;1;637;687;37;12;1;637;687;37;12;1;637
