"Number of libraries under local management by province by Cities, provincies, Year and Items"

"Cities, provincies";"2004 Number of libraries (Unit)";"2004 Number of books in library (Thous. copies)";"2005 Number of libraries (Unit)";"2005 Number of books in library (Thous. copies)";"2006 Number of libraries (Unit)";"2006 Number of books in library (Thous. copies)";"2007 Number of libraries (Unit)";"2007 Number of books in library (Thous. copies)";"2008 Number of libraries (Unit)";"2008 Number of books in library (Thous. copies)";"2009 Number of libraries (Unit)";"2009 Number of books in library (Thous. copies)";"2010 Number of libraries (Unit)";"2010 Number of books in library (Thous. copies)";"2012 Number of libraries (Unit)";"2012 Number of books in library (Thous. copies)";"2013 Number of libraries (Unit)";"2013 Number of books in library (Thous. copies)";"2014 Number of libraries (Unit)";"2014 Number of books in library (Thous. copies)";"2015 Number of libraries (Unit)";"2015 Number of books in library (Thous. copies)"
" WHOLE COUNTRY";669.0;17092.7;674.0;18051.7;678.0;18298.7;685.0;19363.5;706.0;20169.3;713.0;20604.3;716.0;21188.0;2584.0;18095.0;2612.0;18128.0;731.0;18932.0;733.0;23648.9
"Red River Delta";131.0;2472.8;133.0;2459.6;133.0;2664.4;135.0;2638.9;137.0;2592.2;138.0;2638.3;137.0;2669.0;479.0;3743.0;527.0;3470.0;133.0;5154.0;134.0;6050.5
"Ha Noi";11.0;386.0;13.0;420.0;13.0;430.0;15.0;445.0;32.0;557.0;32.0;565.0;30.0;579.0;142.0;845.0;170.0;845.0;30.0;2850.0;31.0;3401.8
"Ha Tay";15.0;269.0;15.0;263.0;15.0;273.6;15.0;181.6;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Vinh Phuc";6.0;117.0;6.0;93.0;6.0;100.0;7.0;108.5;7.0;112.0;7.0;127.1;7.0;138.0;8.0;250.0;12.0;191.0;9.0;265.0;9.0;264.3
"Bac Ninh";8.0;145.0;8.0;151.0;8.0;165.0;8.0;167.0;8.0;167.9;8.0;168.5;8.0;169.0;93.0;152.0;93.0;135.0;8.0;..;8.0;134.8
"Quang Ninh";14.0;274.2;14.0;264.0;14.0;266.0;14.0;330.7;14.0;257.6;14.0;257.6;15.0;192.0;15.0;660.0;14.0;660.0;14.0;411.0;14.0;843.7
"Hai Duong";14.0;120.0;14.0;118.0;14.0;222.0;14.0;192.0;14.0;156.0;14.0;168.0;14.0;171.0;60.0;347.0;69.0;315.0;13.0;334.0;13.0;15.4
"Hai Phong";16.0;314.2;16.0;329.0;16.0;333.9;16.0;351.3;16.0;365.5;16.0;433.1;16.0;459.0;48.0;484.0;47.0;383.0;13.0;392.0;13.0;391.0
"Hung Yen";11.0;102.0;11.0;82.0;11.0;92.8;11.0;136.0;11.0;147.0;11.0;148.0;11.0;149.0;16.0;172.0;16.0;143.0;11.0;150.0;11.0;192.3
"Thai Binh";10.0;278.0;10.0;275.6;10.0;243.9;9.0;179.6;9.0;163.0;9.0;173.2;9.0;189.0;47.0;304.0;51.0;293.0;9.0;255.0;9.0;299.9
"Ha Nam";7.0;115.4;7.0;126.0;7.0;127.6;7.0;124.8;7.0;231.3;7.0;139.9;7.0;136.0;19.0;133.0;19.0;142.0;7.0;146.0;7.0;143.6
"Nam Dinh";11.0;220.0;11.0;205.0;11.0;209.6;11.0;214.1;11.0;218.7;11.0;235.3;11.0;238.0;11.0;323.0;12.0;211.0;11.0;191.0;11.0;215.1
"Ninh Binh";8.0;132.0;8.0;133.0;8.0;200.0;8.0;208.3;8.0;216.3;9.0;222.5;9.0;249.0;20.0;71.0;24.0;153.0;8.0;160.0;8.0;148.6
"Northern midlands and mountain areas";140.0;1878.7;138.0;2181.2;142.0;2003.9;143.0;2155.2;147.0;2185.6;149.0;2559.3;151.0;2795.0;538.0;2349.0;542.0;2765.0;147.0;3109.0;150.0;3225.1
"Ha Giang";12.0;91.3;12.0;151.8;12.0;120.1;12.0;134.6;12.0;134.6;12.0;165.4;12.0;171.0;22.0;195.0;23.0;204.0;12.0;214.0;12.0;219.1
"Cao Bang";13.0;99.6;13.0;127.0;13.0;85.0;13.0;90.9;13.0;94.0;13.0;111.4;13.0;131.0;15.0;..;18.0;58.0;13.0;654.0;13.0;285.4
"Bac Kan";7.0;52.6;7.0;53.0;7.0;50.1;7.0;55.6;8.0;58.5;8.0;59.0;8.0;55.0;8.0;118.0;13.0;101.0;9.0;107.0;10.0;216.7
"Tuyen Quang";6.0;232.8;6.0;243.0;6.0;249.5;6.0;259.5;6.0;269.7;6.0;279.4;6.0;287.0;14.0;306.0;7.0;319.0;6.0;307.0;7.0;188.2
"Lao Cai";10.0;58.8;9.0;126.0;9.0;92.8;10.0;80.1;10.0;86.0;10.0;170.7;10.0;182.0;10.0;216.0;10.0;229.0;10.0;203.0;10.0;233.2
"Yen Bai";10.0;165.0;10.0;171.4;11.0;192.6;11.0;142.4;11.0;108.2;11.0;234.1;11.0;220.0;16.0;281.0;15.0;305.0;10.0;271.0;10.0;251.0
"Thai Nguyen";10.0;85.0;9.0;120.0;9.0;205.0;9.0;220.0;10.0;196.3;10.0;198.5;10.0;200.0;10.0;157.0;13.0;140.0;10.0;185.0;10.0;206.7
"Lang Son";12.0;128.0;12.0;181.0;12.0;198.0;12.0;212.0;12.0;242.3;12.0;253.6;12.0;253.0;22.0;262.0;18.0;212.0;12.0;192.0;12.0;266.4
"Bac Giang";11.0;260.0;11.0;236.0;12.0;160.0;12.0;250.0;12.0;270.0;12.0;285.6;12.0;386.0;63.0;..;65.0;255.0;11.0;..;11.0;268.3
"Phu Tho";13.0;131.0;13.0;164.0;13.0;170.0;13.0;169.0;15.0;171.2;15.0;171.3;14.0;339.0;291.0;412.0;285.0;373.0;14.0;395.0;14.0;434.0
"Dien Bien";8.0;278.0;8.0;339.0;8.0;189.5;8.0;174.0;8.0;182.6;8.0;196.1;10.0;144.0;10.0;..;11.0;172.0;11.0;176.0;11.0;297.9
"Lai Chau";5.0;57.7;6.0;58.0;7.0;38.9;7.0;59.5;7.0;56.7;8.0;58.3;9.0;66.0;10.0;..;12.0;88.0;6.0;95.0;7.0;93.5
"Son La";11.0;88.9;11.0;105.0;12.0;132.4;12.0;162.6;12.0;165.5;12.0;203.8;12.0;224.0;11.0;266.0;12.0;199.0;12.0;182.0;12.0;100.9
"Hoa Binh";12.0;150.0;11.0;106.0;11.0;120.0;11.0;145.0;11.0;150.0;12.0;172.1;12.0;138.0;36.0;135.0;40.0;110.0;11.0;129.0;11.0;163.8
"Northern Central area and Central coastal area";162.0;4596.1;162.0;4956.7;161.0;5209.0;160.0;5909.0;168.0;6354.3;172.0;6285.8;172.0;6879.0;558.0;4915.0;540.0;4035.0;183.0;3935.0;183.0;5514.9
"Thanh Hoa";28.0;813.0;28.0;843.0;28.0;858.0;28.0;1208.0;28.0;1255.0;28.0;1115.0;28.0;1122.0;164.0;1375.0;148.0;645.0;28.0;785.0;28.0;1070.0
"Nghe An";20.0;1300.0;20.0;1500.0;20.0;1575.0;20.0;1850.0;23.0;2000.0;23.0;2125.0;23.0;2375.0;21.0;530.0;25.0;474.0;20.0;250.0;21.0;262.6
"Ha Tinh";11.0;200.0;11.0;200.0;10.0;200.0;10.0;201.0;11.0;290.0;11.0;300.0;11.0;312.0;13.0;295.0;15.0;383.0;13.0;321.0;13.0;326.9
"Quang Binh";9.0;181.1;9.0;181.0;9.0;225.0;9.0;177.0;9.0;228.0;9.0;190.0;8.0;98.0;8.0;72.0;11.0;48.0;9.0;156.0;9.0;143.3
"Quang Tri";9.0;111.5;10.0;120.5;10.0;85.1;10.0;88.4;10.0;91.6;10.0;93.3;10.0;271.0;60.0;168.0;60.0;90.0;10.0;101.0;9.0;261.1
