"Number of medical staff under provincial departments of health by province by Cities, provincies, Year and Medical staff"

"Cities, provincies";"2002 Doctor";"2002 Physician";"2002 Nurse";"2002 Midwife";"2003 Doctor";"2003 Physician";"2003 Nurse";"2003 Midwife";"2004 Doctor";"2004 Physician";"2004 Nurse";"2004 Midwife";"2005 Doctor";"2005 Physician";"2005 Nurse";"2005 Midwife";"2006 Doctor";"2006 Physician";"2006 Nurse";"2006 Midwife";"2007 Doctor";"2007 Physician";"2007 Nurse";"2007 Midwife";"2008 Doctor";"2008 Physician";"2008 Nurse";"2008 Midwife";"2009 Doctor";"2009 Physician";"2009 Nurse";"2009 Midwife";"2010 Doctor";"2010 Physician";"2010 Nurse";"2010 Midwife";"2011 Doctor";"2011 Physician";"2011 Nurse";"2011 Midwife";"2012 Doctor";"2012 Physician";"2012 Nurse";"2012 Midwife";"2013 Doctor";"2013 Physician";"2013 Nurse";"2013 Midwife";"2014 Doctor";"2014 Physician";"2014 Nurse";"2014 Midwife";"2015 Doctor";"2015 Physician";"2015 Nurse";"2015 Midwife"
" WHOLE COUNTRY";35547;48439;37964;14682;37780;46766;39627;15536;40224;47334;41002;16782;41193;47847;43131;17392;41986;47129;46909;18320;42993;47168;51112;20087;44671;48191;54598;22122;48065;50203;60447;24191;49033;50588;68527;25522;50400;52525;74362;26610;57523;56886;86572;28559;52575;55292;84533;27496;55823;56423;88230;27617;57805;56544;88940;27624
"Red River Delta";9023;9339;8920;2806;9112;9152;9017;2980;9775;8987;9520;2975;10107;8846;10038;3045;10569;8684;11265;3249;10460;8440;12136;3541;10472;8391;13222;3822;10851;8982;14283;4236;11345;9205;14769;4440;11479;9726;15434;4629;13334;10799;18111;5196;11885;9910;17566;4879;12409;10012;18567;4737;12778;10004;18689;4705
"Ha Noi";1600;645;1628;402;1584;639;1546;495;1610;569;1722;410;1654;622;1922;423;1685;629;2141;472;1705;617;2207;485;2641;2089;3288;883;2819;2416;3750;1076;2974;2584;3970;1173;2900;2584;3970;1173;3174;2769;4146;1180;3335;2682;4422;1232;3502;2832;5187;1243;3530;2823;5187;1223
"Ha Tay";925;1749;602;330;942;1645;639;313;1213;1636;637;322;1046;1657;722;361;1046;1657;722;361;986;1578;837;393;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Vinh Phuc";347;666;369;112;365;656;387;122;428;705;468;124;458;684;499;125;534;695;590;152;542;721;808;162;571;707;910;193;594;748;1024;228;578;708;1006;230;700;773;1252;255;711;982;1243;257;738;834;1266;254;747;641;1390;258;797;650;1341;255
"Bac Ninh";462;661;338;86;497;686;342;97;475;687;451;122;469;681;463;138;554;675;503;152;611;665;522;222;628;742;565;248;653;760;582;260;706;800;610;322;720;805;637;322;795;751;979;295;703;721;906;288;823;697;803;261;867;720;881;277
"Quang Ninh";638;591;765;174;663;553;784;184;700;526;859;177;709;530;867;175;703;543;1042;196;708;532;1082;200;708;532;1082;200;710;535;1110;270;770;612;1152;279;771;613;1155;281;748;742;1256;294;941;752;1277;343;941;669;1139;252;941;828;1139;332
"Hai Duong";663;956;755;296;688;933;753;303;689;950;798;313;729;946;806;330;775;867;1019;376;785;842;1087;407;815;852;1287;486;818;859;1295;486;839;887;1340;513;864;980;1606;538;941;1044;1640;651;930;1087;1703;711;1058;1100;1818;620;1084;1077;1806;604
"Hai Phong";1128;839;1458;400;1180;849;1393;437;1197;816;1515;447;1173;818;1525;453;1359;780;1919;547;1359;780;1919;547;1349;711;1989;563;1347;726;2009;550;1403;689;2111;545;1416;644;2188;542;2044;873;2833;601;1471;750;2711;580;1448;738;2739;624;1507;712;2739;580
"Hung Yen";395;646;474;183;404;612;440;196;405;585;458;218;456;544;496;213;457;591;373;128;535;516;572;218;547;528;629;229;549;528;638;240;562;551;673;271;582;603;801;285;775;673;1185;353;614;652;1087;332;650;657;1133;353;712;668;1163;361
"Thai Binh";1020;838;659;242;1013;885;778;242;1301;882;645;244;1282;760;712;218;1332;760;712;182;1372;709;802;250;1330;754;931;349;1400;827;983;385;1474;825;979;397;1522;993;1023;513;1774;917;1153;780;1179;603;1084;424;1319;853;1230;420;1319;749;1141;362
"Ha Nam";472;429;496;125;482;396;504;129;485;398;507;132;531;423;529;136;486;392;558;163;448;372;637;156;462;382;611;139;484;396;773;174;493;383;763;170;492;387;770;173;624;493;1165;214;483;409;904;187;479;361;840;174;483;369;843;177
"Nam Dinh";980;667;1005;322;892;672;1037;318;882;665;1048;333;1038;615;1009;335;1070;593;1131;365;812;592;1095;359;798;561;1275;355;844;647;1404;388;955;640;1378;377;984;805;1128;371;1083;948;1364;365;1014;892;1253;363;987;904;1331;369;985;897;1343;365
