"Number of patient beds under provincial departments of health by province (*) by Cities, provincies, Year and Health establishments"

"Cities, provincies";"2002 Total";"2002 Hospital";"2002 Regional polyclinic";"2002 Sanatorium and rehabilitation hospital";"2002 Medical service unit";"2003 Total";"2003 Hospital";"2003 Regional polyclinic";"2003 Sanatorium and rehabilitation hospital";"2003 Medical service unit";"2004 Total";"2004 Hospital";"2004 Regional polyclinic";"2004 Sanatorium and rehabilitation hospital";"2004 Medical service unit";"2005 Total";"2005 Hospital";"2005 Regional polyclinic";"2005 Sanatorium and rehabilitation hospital";"2005 Medical service unit";"2006 Total";"2006 Hospital";"2006 Regional polyclinic";"2006 Sanatorium and rehabilitation hospital";"2006 Medical service unit";"2007 Total";"2007 Hospital";"2007 Regional polyclinic";"2007 Sanatorium and rehabilitation hospital";"2007 Medical service unit";"2008 Total";"2008 Hospital";"2008 Regional polyclinic";"2008 Sanatorium and rehabilitation hospital";"2008 Medical service unit";"2009 Total";"2009 Hospital";"2009 Regional polyclinic";"2009 Sanatorium and rehabilitation hospital";"2009 Medical service unit";"2010 Total";"2010 Hospital";"2010 Regional polyclinic";"2010 Sanatorium and rehabilitation hospital";"2010 Medical service unit";"2011 Total";"2011 Hospital";"2011 Regional polyclinic";"2011 Sanatorium and rehabilitation hospital";"2011 Medical service unit";"2012 Total";"2012 Hospital";"2012 Regional polyclinic";"2012 Sanatorium and rehabilitation hospital";"2012 Medical service unit";"2013 Total";"2013 Hospital";"2013 Regional polyclinic";"2013 Sanatorium and rehabilitation hospital";"2013 Medical service unit";"2014 Total";"2014 Hospital";"2014 Regional polyclinic";"2014 Sanatorium and rehabilitation hospital";"2014 Medical service unit";"2015 Total";"2015 Hospital";"2015 Regional polyclinic";"2015 Sanatorium and rehabilitation hospital";"2015 Medical service unit"
" WHOLE COUNTRY";158873;97928;8707;2491;47853;160134;101696;8806;2595;45105;166257;108584;8549;2629;46495;170276;111286;8717;2748;45786;176792;117355;8739;2754;46094;188130;127553;8663;2813;47305;195494;134683;8175;2998;47979;206323;144843;7604;3192;49405;221633;159573;7225;3266;50294;229928;167619;6934;3192;50632;237190;174230;7081;3686;50739;245014;181313;7007;3410;51815;255807;190694;7813;3797;52143;266395;201228;6943;4065;52824
"Red River Delta";35620;22435;1137;670;10638;36159;23004;1002;720;10693;37329;24397;1043;740;10399;37712;24771;1060;780;10411;38609;25746;1051;730;10417;40509;27601;1043;740;10460;41503;28628;905;785;10483;44558;30850;656;770;11617;48441;34930;463;840;11523;49935;36497;464;770;11469;52251;38590;609;870;11469;54531;40222;524;905;12197;56262;41793;557;1035;12252;57093;42697;557;912;12427
"Ha Noi";4259;3380;35;..;704;4269;3390;35;..;704;4337;3691;35;..;471;4365;3851;45;..;389;4374;3921;51;..;357;4448;4006;83;..;314;9270;6750;230;..;2065;10066;7505;36;..;2300;11536;8975;36;..;2300;11586;9025;36;..;2300;12953;10325;65;..;2310;13933;10680;80;..;2890;14149;10793;102;130;2899;14336;10980;102;130;2899
"Ha Tay";4065;2160;120;..;1615;4170;2280;95;..;1625;4184;2365;105;..;1544;4280;2380;105;..;1625;4300;2380;140;..;1610;4560;2640;140;..;1610;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Vinh Phuc";1821;950;70;100;701;1821;950;70;100;701;2066;1115;150;100;701;2066;1115;150;100;701;2287;1275;150;100;762;2583;1480;185;100;818;2520;1580;170;120;650;3490;1830;170;120;1370;3810;2265;35;140;1370;3860;2300;40;150;1370;3890;2248;122;150;1370;4020;2460;40;150;1370;4020;2460;40;150;1370;4090;2530;40;150;1370
"Bac Ninh";1744;1010;29;50;615;1887;1133;24;60;630;1885;1110;35;60;630;1935;1150;35;70;630;2030;1235;35;70;630;2135;1330;35;80;630;2165;1350;35;80;630;2175;1350;35;90;630;2300;1510;..;90;630;2436;1646;..;90;630;2590;1800;..;90;630;2720;1910;..;110;630;3096;2286;..;110;630;3369;2330;..;147;797
"Quang Ninh";2592;1890;83;50;549;2679;1960;83;50;566;2729;2010;83;50;566;2856;2140;80;50;566;2856;2140;80;50;566;3006;2290;80;50;566;3161;2445;80;50;566;3216;2475;105;50;566;2886;2200;112;80;474;3831;3275;113;..;423;4581;3920;138;80;423;4712;3920;140;80;552;4912;4120;140;80;552;4812;4120;140;..;552
"Hai Duong";3532;2150;80;50;1052;3547;2150;95;50;1052;3727;2310;95;70;1052;3805;2360;95;100;1050;3892;2445;95;100;1052;4227;2795;80;100;1052;4367;2935;80;100;1052;4637;3235;80;110;1052;4725;3315;80;110;1060;4926;3521;75;110;1060;4753;3319;84;130;1060;5103;3764;84;145;1060;5094;3764;75;145;1060;5065;3735;75;145;1060
"Hai Phong";4940;3470;270;120;1080;4920;3480;240;120;1080;5044;3594;240;120;1090;5150;3690;250;120;1090;5240;3830;200;120;1090;5430;4050;160;120;1100;5500;4200;60;120;1120;5570;4310;20;120;1120;5915;4655;20;120;1120;5915;4655;20;120;1120;6145;4885;20;120;1120;6175;4935;..;120;1120;6195;4935;20;120;1120;6625;5365;20;120;1120
"Hung Yen";2115;1270;10;30;805;2121;1276;10;30;805;2135;1300;..;30;805;2185;1350;..;30;805;2205;1400;..;..;805;2375;1550;..;..;825;2520;1680;..;..;840;2685;1875;..;..;810;2760;1950;..;..;810;3255;2445;..;..;810;3190;2380;..;..;810;3290;2480;..;..;810;3290;2480;..;..;810;3350;2540;..;..;810
