"Number of people infected with HIV/AIDS and number of AIDS deaths by province by Cities, provincies and Items"

"Cities, provincies";"HIV infected people new case in 2011";"AIDS patients new case in 2011";"HIV infected people alive accumulation as of Dec. 31, 2011";"AIDS patients alive  accumulation as of Dec. 31, 2011";"Number of AIDS deathsin 2011";"HIV infected people new case in 2012";"AIDS patients new case in 2012";"HIV infected people alive accumulation as of Dec. 31, 2012";"AIDS patients alive  accumulation as of Dec. 31, 2012";"Number of AIDS deathsin 2012";"HIV infected people new case in 2013";"AIDS patients new case in 2013";"HIV infected people alive accumulation as of Dec. 31, 2013";"AIDS patients alive  accumulation as of Dec. 31, 2013";"Number of AIDS deathsin 2013";"HIV infected people new case in 2014";"AIDS patients new case in 2014";"HIV infected people alive accumulation as of Dec. 31, 2014";"AIDS patients alive  accumulation as of Dec. 31, 2014";"Number of AIDS deathsin 2014";"HIV infected people new case in 2015";"AIDS patients new case in 2015";"HIV infected people alive accumulation as of Dec. 31, 2015";"AIDS patients alive  accumulation as of Dec. 31, 2015";"Number of AIDS deathsin 2015"
" WHOLE COUNTRY";14113;6429;197072;48717;2413;14127;6734;210703;61669;2149;12559;6074;217285;67013;2296;11680;6183;226964;71433;2146;10195;6130;227154;85194;2130
"Red River Delta";2621;1222;47012;9311;502;2276;921;49290;13117;326;2043;808;50878;14642;302;2076;1188;52595;15709;504;..;..;..;..;..
"Ha Noi";915;352;18108;3490;122;751;212;19987;5199;67;758;17;20757;5078;8;676;278;21316;5239;117;842;686;18441;8684;61
"Vinh Phuc";114;57;946;247;27;142;88;974;426;31;159;121;1098;424;42;151;91;1208;474;41;154;136;1204;674;42
"Bac Ninh";98;15;1588;186;17;102;4;1719;208;2;94;6;1809;210;4;73;21;1856;205;26;81;13;1949;296;14
"Quang Ninh";158;151;3660;719;99;92;109;3687;883;73;146;174;5023;1832;69;226;325;5230;2376;164;251;260;5494;2743;81
"Hai Duong";231;48;3846;423;3;261;67;3941;983;23;93;81;3129;1122;43;138;97;3248;1200;19;100;107;3368;1299;22
"Hai Phong";249;221;6930;2388;79;206;66;7027;2601;33;101;32;7098;2603;30;201;26;7282;2612;17;118;8;7478;2646;12
"Hung Yen";122;69;1196;112;37;91;40;1248;83;18;74;49;1013;358;25;91;54;1082;390;22;44;62;756;431;11
"Thai Binh";278;114;3666;571;22;195;73;3619;589;17;118;58;3716;633;12;114;57;3817;677;13;71;49;3155;686;12
"Ha Nam";53;59;1148;246;55;74;68;1188;306;21;56;55;887;356;26;62;25;933;365;16;40;25;1129;616;11
"Nam Dinh";163;112;3259;708;40;216;142;3577;1067;37;206;128;3794;1184;23;160;100;3936;1266;18;165;126;3979;1565;12
"Ninh Binh";240;24;2665;221;1;146;52;2323;772;4;238;87;2554;842;20;184;114;2687;905;51;67;48;2426;924;17
"Northern midlands and mountain areas";3916;1017;37609;6373;506;3243;1429;38823;9868;724;2967;1082;39007;10890;702;2766;1155;41134;11406;639;2361;1432;36562;16042;768
"Ha Giang";78;55;1218;382;24;24;18;1243;437;7;55;36;1163;495;7;45;15;1194;496;14;36;35;1132;482;27
"Cao Bang";79;44;2015;590;15;63;38;2076;658;15;44;31;2106;502;26;40;32;2121;509;25;57;38;1294;624;13
"Bac Kan";149;112;1214;235;42;93;58;1335;392;19;71;39;1381;400;25;55;69;1396;429;40;55;105;868;574;52
"Tuyen Quang";52;21;789;132;3;56;60;727;303;26;69;42;794;329;20;110;79;871;375;33;60;83;1277;751;21
"Lao Cai";188;122;1427;277;65;281;129;1713;427;49;247;114;1927;492;56;227;185;2103;626;51;188;242;1724;821;44
"Yen Bai";267;17;3280;573;6;328;28;3959;489;11;294;52;3278;935;5;325;9;3593;934;10;281;14;3864;919;17
"Thai Nguyen";678;37;7093;707;32;479;188;6957;1753;41;386;126;7309;2268;40;236;210;7502;2435;43;105;179;6045;2991;43
"Lang Son";93;44;1263;360;35;69;20;1619;437;21;48;23;1639;406;24;50;17;1660;394;29;69;41;881;711;21
"Bac Giang";169;45;1721;550;14;156;17;2080;786;14;73;6;2147;573;1;100;21;2234;581;13;92;51;1752;794;11
"Phu Tho";326;61;2560;242;61;213;20;2501;368;12;316;48;2783;377;38;320;29;3081;384;22;240;41;2635;530;37
"Dien Bien";890;115;4775;940;80;671;165;5204;1329;318;428;182;4493;1754;282;309;59;4584;1595;218;377;102;4417;2085;243
"Lai Chau";237;176;1032;213;75;272;101;1776;308;49;332;91;1837;292;88;372;192;2128;403;81;304;222;1925;710;134
"Son La";601;30;8013;628;0;452;500;6362;1541;117;538;261;6838;1510;62;509;204;7326;1693;21;388;208;7793;3474;40
"Hoa Binh";109;138;1209;544;54;86;87;1271;640;25;66;31;1312;557;28;68;34;1341;552;39;109;71;955;576;65
"Northern Central area and Central coastal area";1760;870;17711;4558;252;1565;848;18195;5721;214;1405;804;19827;6522;183;1112;881;20748;7212;191;1241;907;16325;8109;244
"Thanh Hoa";502;386;4943;1596;88;335;330;5050;2318;58;297;306;5297;2574;50;223;310;5493;2857;27;215;267;5192;3284;31
"Nghe An";485;176;5307;1145;42;556;165;5545;1508;51;527;118;6182;1653;4;382;197;6521;1807;43;506;291;4840;2081;106
"Ha Tinh";50;12;674;88;4;72;11;749;86;..;45;15;792;100;2;59;25;847;121;4;68;45;634;242;5
"Quang Binh";32;4;234;29;1;54;27;272;55;8;20;17;289;69;3;22;19;306;83;5;20;22;180;106;7
"Quang Tri";28;14;218;97;3;21;2;247;98;6;6;3;175;72;2;10;2;183;72;2;10;4;177;63;4
"Thua Thien-Hue";50;17;728;248;8;38;28;663;135;13;42;24;696;152;12;36;10;726;156;6;34;5;301;112;4
"Da Nang";50;29;619;146;13;65;42;675;195;14;42;19;709;206;8;38;31;742;232;5;58;24;688;284;4
"Quang  Nam";102;18;675;89;3;65;20;625;97;11;48;2;661;87;12;45;19;693;93;13;45;10;472;84;13
"Quang  Ngai";45;13;650;88;5;48;9;596;105;..;53;38;644;139;10;47;39;679;166;12;53;46;424;223;13
"Binh Dinh";33;10;419;134;1;58;31;449;139;3;42;19;499;163;1;38;28;528;182;9;22;14;282;214;9
"Phu Yen";20;5;236;117;3;13;9;169;51;..;18;5;186;55;1;14;3;200;58;0;20;1;200;58;..
"Khanh  Hoa";192;119;1678;466;59;127;117;1800;578;40;157;146;2253;823;53;93;119;2294;890;52;93;118;1676;816;28
"Ninh  Thuan";43;16;305;41;7;16;11;305;60;5;16;13;318;69;5;24;16;338;81;4;17;24;249;109;6
"Binh Thuan";128;51;1025;274;15;97;46;1050;296;5;92;79;1126;360;20;81;63;1198;414;9;80;36;1010;433;14
"Central Highlands";303;128;3170;552;53;422;127;4012;746;38;374;143;4398;940;51;350;108;4713;1013;35;194;93;3798;1019;49
"Kon Tum";28;10;178;19;8;32;31;226;49;3;20;33;222;58;24;29;6;249;62;2;32;23;263;82;7
"Gia Lai";51;32;386;105;18;71;22;678;127;14;92;40;778;125;8;54;28;820;141;12;36;17;682;145;14
"Dak Lak";62;44;1380;251;16;148;50;1526;392;9;90;50;1610;440;8;105;56;1706;487;9;37;30;1683;539;5
"Dak Nong";40;30;319;86;8;55;18;439;86;4;45;11;499;224;3;44;16;534;231;9;29;7;566;230;8
"Lam Dong";122;12;907;91;3;116;6;1143;92;8;127;9;1289;93;8;118;2;1404;92;3;60;16;604;23;15
"South East";2973;2022;61453;20820;698;3930;2305;67259;23549;444;3164;1879;70321;24658;497;2770;1219;72821;25607;270;2387;931;64982;25528;314
"Binh Phuoc";100;52;1423;341;13;126;65;1591;404;13;86;56;1665;449;12;85;46;1740;485;10;88;62;1590;577;17
"Tay Ninh";230;231;1985;682;68;320;259;2186;924;68;292;245;2418;1009;77;251;223;2606;1169;63;271;281;2658;1600;55
"Binh Duong";108;71;2455;691;18;69;31;2718;895;5;82;57;2779;824;26;106;51;2847;837;38;45;17;3017;861;17
"Dong Nai";250;123;4926;623;42;445;165;5400;817;29;414;126;5799;713;43;371;97;6156;796;14;224;64;5651;1268;8
"Ba Ria - Vung Tau";342;75;4157;657;76;249;56;4433;693;43;212;61;4618;688;44;198;71;4767;710;49;109;56;2505;1449;37
"Ho Chi Minh city";1943;1470;46507;17826;481;2721;1729;50931;19816;286;2078;1334;53042;20975;295;1759;731;54705;21610;96;1650;451;49561;19773;180
"Mekong River Delta";2540;1170;30117;7103;402;2671;1104;32608;8544;403;2606;1358;32854;9361;561;2606;1632;34953;10486;507;2079;1247;31391;13932;460
"Long An";168;60;1896;694;3;231;79;2229;824;28;211;48;1999;775;27;187;39;2170;798;16;66;3;1986;709;10
"Tien Giang";158;98;1375;210;53;147;75;1428;376;43;144;87;1299;482;46;166;76;1428;521;37;189;37;1638;563;17
"Ben Tre";162;82;1461;368;38;155;86;1516;401;37;133;71;1584;422;43;150;97;1703;488;31;143;83;1377;564;33
"Tra Vinh";76;51;893;223;19;111;74;1032;290;11;100;72;889;346;20;105;76;975;403;19;99;86;1035;469;19
"Vinh Long";104;112;1713;492;29;77;43;2033;568;15;130;65;2150;601;16;113;65;2255;658;8;78;38;1906;708;18
"Dong Thap";312;117;3776;912;42;263;75;4118;1134;25;336;389;4283;1244;172;325;210;4560;1406;48;220;160;3832;1468;48
"An Giang";267;277;4450;1638;103;303;263;4867;1959;114;236;159;5046;2047;84;297;242;5240;2186;103;344;288;5746;3475;85
"Kien  Giang";415;79;3714;764;21;319;62;3975;835;16;297;128;3214;1112;55;277;203;3435;1259;56;221;150;3491;1561;55
"Can Tho";253;56;3645;658;4;422;83;4483;888;28;339;91;4828;968;14;336;320;5082;1206;82;217;189;3471;2369;47
"Hau Giang";120;44;957;201;25;73;38;1053;153;27;73;36;1092;167;17;61;77;1119;210;34;80;51;791;361;27
"Soc Trang";146;46;2483;385;22;158;36;1827;270;15;153;34;1963;281;26;192;42;2128;296;27;147;25;2123;321;28
"Bac Lieu";196;78;2090;212;33;208;108;2128;438;38;169;87;2281;507;32;136;76;2396;562;21;104;80;1669;737;47
"Ca Mau";163;70;1664;346;10;204;82;1919;408;6;285;91;2226;409;9;261;109;2462;493;25;171;57;2326;627;26
"Unidentified";..;..;..;..;..;..;20;..;516;124;..;..;..;..;..;..;..;..;..;..;..;..;24717;..;..
