"Number of pharmaceutical staffs under provincial departments of health by province(*) by Cities, provincies, Year and Pharmaceutical staffs"

"Cities, provincies";"2002 Pharmacists of high degree";"2002 Pharmacists of middle degree";"2002 Assistant pharmacists";"2003 Pharmacists of high degree";"2003 Pharmacists of middle degree";"2003 Assistant pharmacists";"2004 Pharmacists of high degree";"2004 Pharmacists of middle degree";"2004 Assistant pharmacists";"2005 Pharmacists of high degree";"2005 Pharmacists of middle degree";"2005 Assistant pharmacists";"2006 Pharmacists of high degree";"2006 Pharmacists of middle degree";"2006 Assistant pharmacists";"2007 Pharmacists of high degree";"2007 Pharmacists of middle degree";"2007 Assistant pharmacists";"2008 Pharmacists of high degree";"2008 Pharmacists of middle degree";"2008 Assistant pharmacists";"2009 Pharmacists of high degree";"2009 Pharmacists of middle degree";"2009 Assistant pharmacists";"2010 Pharmacists of high degree";"2010 Pharmacists of middle degree";"2010 Assistant pharmacists";"2011 Pharmacists of high degree";"2011 Pharmacists of middle degree";"2011 Assistant pharmacists";"2012(**) Pharmacists of high degree";"2012(**) Pharmacists of middle degree";"2012(**) Assistant pharmacists";"2013 Pharmacists of high degree";"2013 Pharmacists of middle degree";"2013 Assistant pharmacists";"2014 Pharmacists of high degree";"2014 Pharmacists of middle degree";"2014 Assistant pharmacists";"2015 Pharmacists of high degree";"2015 Pharmacists of middle degree";"2015 Assistant pharmacists"
" WHOLE COUNTRY";4105;8264;8651;3573;8906;8525;3517;8405;6984;3436;8850;7191;3221;10085;6965;3251;11116;6564;3408;12704;6735;3451;14573;6137;3619;16602;5325;3752;19257;4725;5585;29275;7442;3613;19259;1641;4504;20806;1754;4883;20828;1699
"Red River Delta";1154;1730;2484;1173;1801;2696;1045;1439;2114;915;1480;2200;959;1629;2132;1007;1767;2307;1062;2063;2397;1058;1971;2179;1026;2616;1936;1099;2950;1833;1456;6481;3224;761;2732;306;992;3526;554;1015;3588;523
"Ha Noi";239;200;249;347;204;259;334;195;242;232;207;226;227;215;232;205;231;256;269;415;288;268;415;288;268;415;288;272;415;305;310;432;375;180;539;89;253;879;53;262;879;48
"Ha Tay";117;171;241;84;187;277;67;70;40;49;81;31;49;81;31;69;101;28;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Vinh Phuc";64;88;176;64;82;170;26;42;47;29;48;44;27;60;52;31;60;56;35;75;40;37;105;39;37;121;33;52;156;35;83;506;155;41;149;29;43;127;27;77;141;26
"Bac Ninh";53;50;50;33;60;57;32;54;21;36;71;17;40;74;38;47;71;44;52;77;56;69;86;61;74;90;63;73;108;65;82;486;90;48;108;6;50;119;7;59;112;5
"Quang Ninh";57;127;132;56;133;127;33;51;29;31;60;27;27;72;23;31;80;26;42;121;26;48;76;21;49;103;32;53;106;35;63;170;..;59;124;8;59;121;8;84;199;4
"Hai Duong";122;303;218;112;292;205;107;292;200;104;312;217;105;333;234;107;339;220;103;380;276;109;389;266;113;398;266;101;367;246;95;365;259;148;219;26;178;378;70;172;331;55
"Hai Phong";116;175;291;116;178;307;98;165;338;98;170;336;125;185;300;125;185;300;134;187;306;83;125;329;81;135;314;82;208;195;256;678;254;57;273;52;108;261;52;63;298;40
"Hung Yen";42;72;45;36;51;39;27;49;20;27;48;15;21;42;13;25;49;13;30;58;17;25;63;21;25;71;16;32;99;4;27;209;9;42;194;7;59;190;7;58;194;7
"Thai Binh";98;251;458;96;271;500;107;271;466;90;226;455;118;228;452;144;240;469;167;283;494;199;285;514;220;588;535;266;663;580;175;1047;818;60;401;17;65;430;16;44;373;12
"Ha Nam";73;84;124;61;80;124;70;85;172;74;89;281;60;105;286;63;111;288;70;116;282;73;109;213;25;109;11;24;114;9;34;351;160;23;177;12;28;138;10;44;156;13
"Nam Dinh";123;136;324;124;180;427;109;122;471;103;114;470;117;178;394;118;228;538;121;252;546;106;202;368;97;451;329;104;560;310;220;1551;508;53;351;22;99;630;276;100;631;278
"Ninh Binh";50;73;176;44;83;204;35;43;68;42;54;81;43;56;77;42;72;69;39;99;66;41;116;59;37;135;49;40;154;49;111;686;596;50;197;38;50;253;28;52;274;35
"Northern midlands and mountain areas";487;977;1304;478;1099;1284;441;1056;823;423;1062;856;363;1237;740;403;1469;847;395;1691;759;455;2054;715;488;2388;658;489;2714;575;..;..;..;571;2960;283;696;3057;246;772;2935;204
"Ha Giang";30;39;60;31;59;66;33;66;79;34;65;79;31;48;22;24;43;40;31;62;21;34;68;33;33;212;43;19;161;16;62;353;84;41;212;10;53;201;8;66;212;6
"Cao Bang";25;31;58;25;33;40;25;58;40;38;94;91;23;84;57;50;111;69;23;95;33;28;101;19;26;104;30;26;130;19;24;131;17;25;118;17;31;121;14;31;115;13
"Bac Kan";10;30;38;8;32;29;10;27;7;7;27;..;9;34;6;10;43;2;16;82;19;18;89;32;23;47;5;23;50;4;48;120;33;31;49;5;36;52;4;39;46;3
"Tuyen Quang";26;46;20;26;37;17;24;43;15;23;45;16;24;46;10;31;52;12;28;49;9;30;54;9;34;54;5;43;67;5;39;71;7;40;74;4;47;73;5;47;73;3
