"Percentage of household using electricity by province by Cities, provincies and Year"

"Cities, provincies";"2002";"2004";"2006";"2008";"2010";"2012";"2014"
" WHOLE COUNTRY";86.5;93.4;96.0;97.6;97.2;97.6;98.3
"Ha Noi";99.8;99.7;..;99.7;99.9;100.0;99.9
"Ha Tay";99.1;99.7;..;..;..;..;..
"Vinh Phuc";97.7;99.4;99.9;100.0;99.6;100.0;100.0
"Bac Ninh";99.9;99.6;100.0;99.9;100.0;99.9;100.0
"Quang Ninh";85.6;98.8;95.8;97.7;99.2;100.0;99.9
"Hai Duong";99.6;99.5;99.7;99.9;99.2;99.9;99.7
"Hai Phong";99.6;99.7;99.9;100.0;99.9;99.9;99.8
"Hung Yen";99.0;99.1;98.8;99.7;99.6;99.7;99.9
"Thai Binh";99.6;99.7;99.6;99.8;100.0;99.9;100.0
"Ha Nam";99.2;99.0;99.2;99.7;99.8;100.0;99.9
"Nam Dinh";99.2;99.2;99.4;99.6;99.6;99.9;99.8
"Ninh Binh";97.8;99.7;99.7;99.6;99.9;100.0;100.0
"Ha Giang";34.6;68.3;78.7;86.4;81.8;78.3;77.7
"Cao Bang";55.1;72.7;80.3;76.0;80.2;81.7;82.3
"Bac Kan";56.1;87.7;94.4;95.3;87.7;90.2;88.4
"Tuyen Quang";70.6;96.4;97.5;99.4;88.5;97.0;96.1
"Lao Cai";52.0;70.7;77.7;79.6;85.6;91.2;89.2
"Yen Bai";75.5;88.3;91.9;83.7;90.8;91.7;93.2
"Thai Nguyen";90.4;98.6;97.4;98.5;99.9;99.9;100.0
"Lang Son";77.9;89.3;90.1;91.0;92.2;86.3;89.0
"Bac Giang";97.6;100.0;98.8;99.5;99.5;99.2;100.0
"Phu Tho";82.4;90.9;98.1;99.7;97.5;97.4;99.0
"Dien Bien";22.7;60.8;63.0;71.5;76.1;75.5;84.5
"Lai Chau";..;36.4;50.8;53.1;69.4;55.8;72.6
"Son La";43.9;74.2;81.9;79.3;79.0;73.8;90.2
"Hoa Binh";71.5;84.3;93.5;99.1;99.3;99.6;97.1
"Thanh Hoa";91.1;98.0;97.6;99.1;97.2;98.2;97.1
"Nghe An";93.1;94.8;96.8;98.0;93.0;92.6;97.0
"Ha Tinh";98.2;98.4;98.9;99.5;99.9;99.9;100.0
"Quang Binh";93.6;98.4;98.2;99.9;99.7;99.5;100.0
"Quang Tri";89.3;96.3;98.5;99.5;98.0;95.7;99.1
"Thua Thien-Hue";96.5;97.8;97.7;99.2;99.6;99.3;98.8
"Da Nang";99.7;99.1;99.5;100.0;100.0;100.0;99.8
"Quang  Nam";90.1;95.8;97.6;99.1;94.3;95.6;100.0
"Quang  Ngai";81.5;94.8;96.3;97.4;95.2;98.1;95.2
"Binh Dinh";96.6;99.0;99.2;99.0;99.7;99.7;99.5
"Phu Yen";91.0;97.7;99.5;99.5;99.8;99.3;99.8
"Khanh  Hoa";97.3;98.6;98.9;99.4;99.0;99.7;99.9
"Ninh  Thuan";98.1;93.5;97.4;98.7;98.6;99.0;98.8
"Binh Thuan";89.2;95.4;98.0;98.8;97.2;97.4;96.7
"Kon Tum";67.5;89.0;94.8;99.3;96.8;99.8;98.8
"Gia Lai";65.7;86.7;94.8;98.3;99.5;99.3;99.3
"Dak Lak";69.2;87.1;95.0;94.7;94.1;95.0;96.5
"Dak Nong";..;85.9;90.9;96.0;95.1;96.5;99.3
"Lam Dong";77.5;88.5;93.6;97.9;98.6;98.5;98.9
"Binh Phuoc";62.1;80.5;92.0;97.5;94.6;96.3;98.4
"Tay Ninh";85.6;95.5;96.4;98.3;98.6;99.7;99.9
"Binh Duong";95.1;97.0;98.7;99.7;99.2;99.9;99.6
"Dong Nai";85.9;93.5;94.0;94.8;97.8;98.3;98.3
"Ba Ria - Vung Tau";95.7;99.2;99.8;99.9;99.0;99.9;99.7
"Ho Chi Minh city";98.9;99.3;99.5;99.9;99.8;99.9;99.6
"Long An";88.0;94.4;94.7;98.8;99.2;99.3;99.6
"Tien Giang";93.3;97.8;99.1;99.8;99.9;100.0;100.0
"Ben Tre";73.9;84.5;92.8;96.9;97.7;98.9;99.8
"Tra Vinh";47.5;71.3;91.3;97.9;93.5;95.3;97.5
"Vinh Long";79.8;94.1;97.0;98.3;98.1;99.4;99.2
"Dong Thap";69.4;85.1;93.1;98.2;98.9;99.1;99.4
"An Giang";83.4;87.1;91.9;94.9;93.2;96.1;99.3
"Kien  Giang";63.6;81.4;91.6;94.0;90.0;92.5;95.7
"Can Tho";76.1;86.9;93.6;98.0;99.7;99.7;99.6
"Hau Giang";..;82.5;93.8;98.5;98.6;98.9;99.8
"Soc Trang";64.6;81.0;89.7;95.8;94.1;96.2;98.3
"Bac Lieu";58.7;82.0;92.1;98.8;97.7;99.7;99.8
"Ca Mau";58.6;71.6;84.0;92.3;97.8;99.0;99.7
