"Percentage of households having durable goods by residence, by region and by income quintile by Iterms and Year"

"Iterms";"2002";"2004";"2006";"2008";"2010";"2012";"2014"
"WHOLE COUNTRY";96.9;98.5;99.0;99.0;98.4;99.4;99.7
"Urban";98.9;99.5;99.8;99.6;99.2;99.8;99.9
"Rural";96.2;98.2;98.7;98.7;98.1;99.3;99.6
"Red River Delta";..;..;..;99.5;99.2;99.7;100.0
"Northern midlands and mountain areas";..;..;..;97.2;96.7;98.4;99.0
"North Central area and Central coastal area";..;..;..;98.6;97.8;99.5;99.6
"Central Highlands";..;..;..;98.3;98.2;98.4;98.9
"South East";..;..;..;99.5;99.6;99.9;100.0
"Mekong River Delta";..;..;..;99.6;98.3;99.7;99.9
"Income quintile - Quintile 1";90.9;94.5;96.1;96.6;93.9;97.8;98.7
"Income quintile - Quintile 2";96.3;98.9;99.1;99.0;98.7;99.7;99.9
"Income quintile - Quintile 3";97.9;99.3;99.5;99.5;99.6;99.8;99.9
"Income quintile - Quintile 4";98.8;99.6;99.9;99.7;99.6;99.8;99.9
"Income quintile - Quintile 5";99.4;99.8;99.9;99.8;99.8;99.9;100.0
