"Percentage of households in 2014 having house by type of house and by province by Cities, provincies and Type of house"

"Cities, provincies";"Total";"Permanent house";"Semi-Permanent house";"Less-temporary house";"Simple permanent house"
" WHOLE COUNTRY";100.0;50.5;40.3;5.7;3.5
"Red River Delta";100.0;93.0;6.7;0.2;0.1
"Ha Noi";100.0;92.7;7.2;0.1;0.0
"Vinh Phuc";100.0;91.9;8.0;0.1;..
"Bac Ninh";100.0;93.2;6.8;..;..
"Quang Ninh";100.0;91.4;5.8;2.4;0.4
"Hai Duong";100.0;95.5;4.5;..;..
"Hai Phong";100.0;80.1;19.6;0.3;..
"Hung Yen";100.0;92.0;7.9;..;0.1
"Thai Binh";100.0;98.4;1.5;..;0.1
"Ha Nam";100.0;96.3;3.2;0.3;0.2
"Nam Dinh";100.0;95.8;3.9;..;0.3
"Ninh Binh";100.0;97.2;2.8;..;..
"Northern midlands and mountain areas";100.0;50.2;30.8;11.8;7.2
"Ha Giang";100.0;17.1;34.9;29.7;18.3
"Cao Bang";100.0;45.6;41.4;7.4;5.6
"Bac Kan";100.0;29.8;42.2;19.4;8.6
"Tuyen Quang";100.0;43.6;22.9;15.9;17.6
"Lao Cai";100.0;26.1;38.4;29.1;6.4
"Yen Bai";100.0;17.9;44.3;22.1;15.7
"Thai Nguyen";100.0;72.5;18.6;4.6;4.3
"Lang Son";100.0;54.5;29.1;12.2;4.2
"Bac Giang";100.0;82.0;12.9;4.8;0.3
"Phu Tho";100.0;61.4;27.7;3.8;7.1
"Dien Bien";100.0;23.5;59.4;9.2;7.9
"Lai Chau";100.0;21.4;49.4;20.5;8.7
"Son La";100.0;39.9;41.3;13.8;5.0
"Hoa Binh";100.0;59.1;31.0;6.6;3.3
"Northern Central area and Central coastal area";100.0;67.3;28.3;2.5;1.9
"Thanh Hoa";100.0;80.7;11.4;5.7;2.2
"Nghe An";100.0;85.2;6.9;2.8;5.1
"Ha Tinh";100.0;84.9;8.3;4.5;2.3
"Quang Binh";100.0;85.1;12.7;2.2;..
"Quang Tri";100.0;63.4;32.0;2.2;2.4
"Thua Thien-Hue";100.0;52.9;45.3;0.7;1.1
"Da Nang";100.0;45.5;54.3;0.2;..
"Quang  Nam";100.0;52.2;44.6;2.2;1.0
"Quang  Ngai";100.0;74.7;24.0;0.7;0.6
"Binh Dinh";100.0;63.2;36.2;0.4;0.2
"Phu Yen";100.0;79.0;19.4;0.2;1.4
"Khanh  Hoa";100.0;47.4;50.8;1.0;0.8
"Ninh  Thuan";100.0;19.2;76.0;2.9;1.9
"Binh Thuan";100.0;17.7;80.5;1.0;0.8
"Central Highlands";100.0;17.3;75.6;5.9;1.2
"Kon Tum";100.0;26.8;67.4;1.5;4.3
"Gia Lai";100.0;10.8;79.5;8.4;1.3
"Dak Lak";100.0;21.9;74.9;2.2;1.0
"Dak Nong";100.0;19.6;64.9;14.8;0.7
"Lam Dong";100.0;13.1;79.9;6.3;0.7
"South East";100.0;19.3;77.9;1.6;1.2
"Binh Phuoc";100.0;12.3;75.7;8.3;3.7
"Tay Ninh";100.0;7.9;81.8;4.0;6.3
"Binh Duong";100.0;11.7;86.5;1.2;0.6
"Dong Nai";100.0;9.3;86.5;2.2;2.0
"Ba Ria - Vung Tau";100.0;12.8;85.5;1.0;0.7
"Ho Chi Minh city";100.0;27.9;71.3;0.5;0.3
"Mekong River Delta";100.0;9.4;64.2;16.2;10.2
"Long An";100.0;17.3;68.6;6.1;8.0
"Tien Giang";100.0;14.3;72.1;10.4;3.2
"Ben Tre";100.0;11.3;70.5;10.9;7.3
"Tra Vinh";100.0;4.1;58.0;22.6;15.3
"Vinh Long";100.0;9.4;74.7;10.8;5.1
"Dong Thap";100.0;11.3;62.9;19.3;6.5
"An Giang";100.0;12.5;56.3;25.9;5.3
"Kien  Giang";100.0;4.1;53.4;17.9;24.6
"Can Tho";100.0;7.1;74.8;11.9;6.2
"Hau Giang";100.0;3.1;64.8;14.0;18.1
"Soc Trang";100.0;5.0;60.2;20.6;14.2
"Bac Lieu";100.0;5.3;60.6;18.2;15.9
"Ca Mau";100.0;4.7;56.8;22.3;16.2
