"Percentage of households in 2014 having house by type of house, by residence, by region and by income quintile by Iterms and Type of house"

"Iterms";"Total";"Permanent house";"Semi-Permanent house";"Less-temporary house";"Simple permanent house"
"WHOLE COUNTRY";100.0;50.5;40.3;5.7;3.5
"Urban";100.0;48.1;48.6;2.2;1.1
"Rural";100.0;51.7;36.5;7.2;4.6
"Red River Delta";100.0;93.0;6.7;0.2;0.1
"Northern midlands and mountain areas";100.0;50.2;30.8;11.8;7.2
"North Central area and Central coastal area";100.0;67.3;28.3;2.5;1.9
"Central Highlands";100.0;17.3;75.6;5.9;1.2
"South East";100.0;19.3;77.9;1.6;1.2
"Mekong River Delta";100.0;9.4;64.2;16.2;10.2
"Income quintile - Quintile 1";100.0;42.3;34.7;13.5;9.5
"Income quintile - Quintile 2";100.0;49.8;38.0;7.9;4.3
"Income quintile - Quintile 3";100.0;52.1;41.1;4.3;2.5
"Income quintile - Quintile 4";100.0;52.2;44.1;2.4;1.3
"Income quintile - Quintile 5";100.0;55.2;42.9;1.3;0.6
