"Poverty rate by province by Cities, provincies and Year"

"Cities, provincies";"2006";"2008";"2010";"2012";"2013";"2014";"2015"
" WHOLE COUNTRY";15.5;13.4;14.2;11.1;9.8;8.4;7.0
"Red River Delta";10.0;8.6;8.3;6.0;4.9;4.0;3.2
"Ha Noi";3.0;6.6;5.3;3.6;2.9;2.3;1.8
"Ha Tay";12.4;..;..;..;..;..;..
"Vinh Phuc";12.6;11.3;10.4;7.3;6.0;4.9;3.7
"Bac Ninh";8.6;7.5;7.0;4.5;3.6;2.6;2.1
"Quang Ninh";7.9;6.4;8.0;5.2;4.3;4.1;4.0
"Hai Duong";12.7;10.1;10.8;7.7;6.2;4.7;3.5
"Hai Phong";7.8;6.3;6.5;5.1;4.5;3.8;2.9
"Hung Yen";11.5;10.3;11.1;7.7;6.3;4.7;3.5
"Thai Binh";11.0;9.8;10.7;8.0;6.9;5.6;4.6
"Ha Nam";12.8;11.6;12.0;9.1;7.9;6.6;5.5
"Nam Dinh";12.0;10.6;10.0;7.1;6.0;4.7;3.8
"Ninh Binh";14.3;13.0;12.2;9.3;8.1;6.6;5.5
"Northern midlands and mountain areas";27.5;25.1;29.4;23.8;21.9;18.4;16.0
"Ha Giang";41.5;37.6;50.0;38.5;33.8;28.2;24.2
"Cao Bang";38.0;35.6;38.1;32.9;30.6;27.0;24.4
"Bac Kan";39.2;36.8;32.1;24.3;21.2;19.0;17.1
"Tuyen Quang";22.4;20.6;28.8;24.9;23.9;18.6;14.7
"Lao Cai";35.6;33.2;40.0;32.9;29.7;25.3;21.4
"Yen Bai";22.1;20.4;26.5;24.0;23.5;21.4;19.7
"Thai Nguyen";18.6;16.5;19.0;15.1;13.3;11.1;9.1
"Lang Son";21.0;19.3;27.5;22.5;20.4;18.0;16.2
"Bac Giang";19.3;17.5;19.2;14.1;12.1;9.8;7.9
"Phu Tho";18.8;16.7;19.2;14.1;12.0;9.7;8.0
"Dien Bien";42.9;39.3;50.8;42.3;38.6;33.0;29.1
"Lai Chau";58.2;53.7;50.2;43.5;40.6;35.3;31.5
"Son La";39.0;36.3;37.9;32.0;29.4;25.5;22.6
"Hoa Binh";32.5;28.6;30.8;24.5;21.8;18.3;15.7
"Northern Central area and Central coastal area";22.2;19.2;20.4;16.1;14.0;11.8;9.8
"Thanh Hoa";27.5;24.9;25.4;19.9;17.5;14.5;12.0
"Nghe An";26.0;22.5;24.8;19.8;17.4;14.4;12.3
"Ha Tinh";31.5;26.5;26.1;20.7;18.5;15.6;13.3
"Quang Binh";26.5;21.9;25.2;19.6;17.3;14.5;12.5
"Quang Tri";28.5;25.9;25.1;18.6;16.1;13.1;10.7
"Thua Thien-Hue";16.4;13.7;12.8;8.9;7.4;6.0;4.7
"Da Nang";4.0;3.5;5.1;2.5;1.6;1.2;0.8
"Quang  Nam";22.8;19.6;24.0;18.2;15.8;13.0;10.6
"Quang  Ngai";22.5;19.5;22.8;17.6;15.4;12.9;11.0
"Binh Dinh";16.0;14.2;16.0;13.6;12.5;10.7;9.1
"Phu Yen";18.5;16.3;19.0;16.3;15.3;12.5;9.3
"Khanh  Hoa";11.0;9.1;9.5;8.0;7.3;6.2;5.0
"Ninh  Thuan";22.3;19.3;19.0;14.0;12.2;9.9;8.2
"Binh Thuan";11.0;9.2;10.1;7.7;6.6;5.3;3.8
"Central Highlands";24.0;21.0;22.2;17.8;16.2;13.8;11.3
"Kon Tum";31.2;26.7;31.9;24.6;22.1;19.0;16.5
"Gia Lai";26.7;23.7;25.9;22.4;20.8;18.1;15.7
"Dak Lak";24.3;21.3;21.9;17.3;15.3;12.6;10.0
"Dak Nong";26.5;23.3;28.3;23.3;21.6;18.4;15.7
"Lam Dong";18.3;15.8;13.1;10.4;9.3;7.8;6.0
"South East";3.1;2.5;2.3;1.3;1.1;1.0;0.7
"Binh Phuoc";10.5;9.1;9.4;7.8;7.0;6.7;6.0
"Tay Ninh";7.0;6.0;6.0;4.4;3.7;2.9;2.1
"Binh Duong";0.5;0.4;0.5;0.1;0.1;0.0;0.0
"Dong Nai";5.0;4.3;3.7;2.3;1.8;1.2;0.8
"Ba Ria - Vung Tau";7.0;6.3;6.8;3.4;2.2;1.3;0.7
"Ho Chi Minh city";0.5;0.3;0.3;0.1;0.0;0.0;0.0
"Mekong River Delta";13.0;11.4;12.6;10.1;9.2;7.9;6.5
"Long An";8.7;7.7;7.5;6.3;6.0;5.4;5.0
"Tien Giang";13.2;10.6;10.6;9.0;8.3;7.1;6.3
"Ben Tre";16.2;14.2;15.4;12.9;11.9;10.2;8.6
"Tra Vinh";21.8;19.0;23.2;18.3;16.4;13.9;12.0
"Vinh Long";11.0;9.8;9.5;8.0;7.4;6.3;5.4
"Dong Thap";12.1;10.6;14.4;11.6;10.2;8.6;7.2
"An Giang";9.7;8.5;9.2;7.1;6.2;5.0;3.9
"Kien  Giang";10.8;9.3;9.3;6.6;5.6;4.5;3.6
"Can Tho";7.5;7.0;7.2;5.9;5.3;4.5;3.1
"Hau Giang";15.0;13.3;17.3;15.0;14.0;12.4;9.9
"Soc Trang";19.5;17.9;22.1;19.0;17.7;15.6;12.0
"Bac Lieu";15.7;13.9;13.3;11.5;10.7;9.5;8.4
"Ca Mau";14.0;12.7;12.3;7.8;6.6;5.7;4.7
