"Some key social indicators by Social indicators and Year"

"Social indicators";"2006";"2008";"2010";"2012";"2013";"2014";"Prel. 2015"
"Human Development Index (HDI)";..;..;0.6;0.7;0.7;0.7;0.7
"Patient bed per 10000 inhabitants (Bed)(*)";..;..;22.0;24.9;25.0;26.3;27.1
"Doctor  per 10000 inhabitants (Pers.)";..;..;7.1;7.3;7.6;7.9;8.0
"Poverty rate (%)(**)";15.5;13.4;14.2;11.1;9.8;8.4;7.0
"Monthly average income per capita at current prices (Thous. dongs)";636.0;995.0;1387.0;2000.0;..;2637.0;..
"Index of income inequality distribution (GINI index)";0.4;0.4;0.4;0.4;..;0.4;..
"Monthly average expenditure per capita at current prices (Thous. dongs)";511.0;792.0;1211.0;1603.0;..;1888.0;..
"Percentage of household having hygienic water (%)";89.1;92.1;90.5;91.0;..;93.0;..
"Percentage of household using toilet (%)";59.1;65.0;75.7;77.4;..;83.6;..
"Percentage of household using electricity (%)";96.0;97.6;97.2;97.6;..;98.3;..
"Percentage of households having durable goods (%)";99.0;99.0;98.4;99.4;..;99.7;..
"Average dwelling area per capita (m2)";14.7;16.3;17.9;19.4;..;21.4;..
