"Index of Industrial production by industrial activity* by Industrial activity and Year"

"Industrial activity";"2012";"2013";"2014";"2015"
"TOTAL";105.8;105.9;107.6;109.8
"Mining and quarrying";105.0;99.4;102.4;107.1
"Mining of coal and lignite";91.1;98.3;100.0;103.6
"Extraction of crude petroleum and natural gas";110.2;99.5;102.5;108.0
"Processing and preserving of fruit and vegetables";87.5;95.8;113.6;106.0
"Manufacturing";105.5;107.6;108.7;110.5
"Manufacture of food products";107.9;106.0;104.8;107.8
"Manufacture of beverages";111.3;109.2;109.5;107.0
"Manufacture of tobacco products";100.7;106.2;87.4;103.8
"Manufacture of textiles";104.2;121.0;119.7;114.0
"Manufacture of wearing apparel";107.5;110.9;112.2;104.6
"Manufacture of leather and related products";107.8;118.7;122.0;117.0
"Manufacture of paper and paper products";115.2;120.0;115.5;111.7
"Manufacture of chemicals and chemical products";110.0;107.9;104.4;104.9
"Manufacture of pharmaceuticals, medicinal chemical and botanical products";106.0;111.2;101.8;103.4
"Manufacture of rubber and plastics products";110.4;109.5;103.6;111.5
"Manufacture of other non-metallic mineral products";94.9;104.6;108.8;112.0
"Manufacture of basic metals";106.4;98.2;109.9;112.1
"Manufacture of fabricated metal products (except machinery and equipment)";107.9;117.0;113.3;103.0
"Manufacture of computer, electronic and optical products";114.4;102.2;135.2;135.1
"Manufacture of electrical equipment";103.2;110.7;102.6;110.2
"Manufacture of motor vehicles; trailers and semi-trailers";108.9;113.9;123.1;127.0
"Manufacture of other transport equipment";91.7;98.3;101.2;104.2
"Manufacture of furniture";118.9;96.0;103.5;107.4
"Electricity, gas, steam and air conditioning supply";111.5;108.4;112.5;111.4
"Water supply; sewerage, waste management and remediation activities";108.2;109.5;106.3;106.9
"Water collection, treatment and supply";108.5;109.5;107.3;106.6
"Waste collection, treatment and disposal activities; materials recovery";107.6;109.5;104.2;107.5
