"Index of Industrial production by province by Cities, provincies and Year"

"Cities, provincies";"2012";"2013";"2014";"2015"
" WHOLE COUNTRY";105.8;105.9;107.6;109.8
"Red River Delta";..;..;..;..
"Ha Noi";105.0;104.5;104.2;108.3
"Vinh Phuc";97.0;114.0;97.1;101.6
"Bac Ninh";175.0;149.2;87.5;112.0
"Quang Ninh";92.0;102.3;104.7;105.2
"Hai Duong";99.0;108.1;114.6;110.6
"Hai Phong";103.9;106.5;112.9;116.6
"Hung Yen";108.9;107.2;107.5;108.7
"Thai Binh";106.5;114.1;101.8;108.3
"Ha Nam";130.7;110.9;111.9;124.8
"Nam Dinh";116.4;116.1;110.6;110.3
"Ninh Binh";111.6;111.4;117.4;112.3
"Northern midlands and mountain areas";..;..;..;..
"Ha Giang";118.6;105.4;99.5;101.2
"Cao Bang";99.1;110.4;110.9;43.3
"Bac Kan";74.9;96.8;91.5;100.8
"Tuyen Quang";120.8;105.5;105.2;99.9
"Lao Cai";104.0;124.0;105.2;112.1
"Yen Bai";114.5;112.3;104.8;103.7
"Thai  Nguyen";106.7;102.1;322.8;176.0
"Lang Son";96.1;103.0;105.2;111.6
"Bac Giang";122.9;118.7;114.7;116.8
"Phu Tho";97.5;106.0;106.2;116.6
"Dien Bien";105.4;107.0;102.6;108.1
"Lai Chau";101.2;95.4;115.7;100.2
"Son La";117.0;171.0;106.2;102.7
"Hoa Binh";128.7;112.8;101.1;103.3
"Northern Central area and Central coastal area";..;..;..;..
"Thanh Hoa";107.9;108.2;106.9;109.8
"Nghe An";109.7;106.0;110.0;109.0
"Ha Tinh";107.0;113.1;119.1;120.3
"Quang Binh";108.5;108.7;106.6;109.3
"Quang Tri";113.0;109.2;104.8;113.6
"Thua Thien-Hue";112.6;108.1;111.2;109.4
"Da Nang";106.0;110.5;111.0;113.1
"Quang  Nam";118.2;109.6;105.3;135.0
"Quang  Ngai";107.7;116.6;86.9;108.6
"Binh Dinh";106.8;107.0;105.7;108.5
"Phu Yen";113.4;106.2;107.3;109.3
"Khanh  Hoa";106.8;104.5;103.1;106.8
"Ninh  Thuan";110.9;112.1;125.2;109.1
"Binh Thuan";107.8;114.9;98.0;113.3
"Central Highlands";..;..;..;..
"Kon Tum";115.3;113.4;105.4;105.2
"Gia Lai";121.0;108.1;106.1;99.1
"Dak Lak";110.5;100.3;103.8;98.7
"Dak Nong";109.4;105.1;107.2;107.0
"Lam Dong";126.0;129.0;116.5;105.5
"South East";..;..;..;..
"Binh Phuoc";114.7;112.1;111.2;106.8
"Tay Ninh";121.4;119.2;115.5;114.1
"Binh  Duong";110.4;111.7;107.2;109.3
"Dong Nai";107.4;107.6;107.6;107.7
"Ba Ria - Vung Tau";99.5;95.1;103.9;100.9
"Ho Chi Minh city";105.0;106.3;106.8;107.2
"Mekong River Delta";..;..;..;..
"Long An";114.6;113.8;111.6;112.8
"Tien Giang";118.9;112.1;108.1;115.2
"Ben Tre";114.8;111.9;102.7;108.5
"Tra Vinh";116.2;106.3;110.4;112.6
"Vinh Long";102.1;112.0;109.8;111.6
"Dong Thap";105.2;106.8;108.9;109.8
"An Giang";106.6;105.1;102.6;105.0
"Kien  Giang";105.8;108.9;106.2;108.6
"Can Tho";104.6;107.7;108.2;107.3
"Hau Giang";135.4;104.5;95.0;106.2
"Soc Trang";102.0;104.7;125.4;103.5
"Bac Lieu";103.8;105.3;105.2;114.1
"Ca Mau";109.9;112.4;109.1;100.8
