"Index of industrial shipment of manufacturing by industrial activity by Industrial activity and Year"

"Industrial activity";"2012";"2013";"2014";"2015"
"WHOLE MANUFACTURING";103.7;110.1;111.0;112.4
"Manufacture of food products";120.6;108.7;105.5;108.1
"Manufacture of beverages";94.6;112.9;106.4;106.3
"Manufacture of tobacco products";105.5;106.2;90.4;103.7
"Manufacture of textiles";102.7;118.9;106.1;102.1
"Manufacture of wearing apparel";109.0;111.3;109.0;103.8
"Manufacture of leather and related products";98.6;125.2;123.7;112.8
"Manufacture of paper and paper products";83.7;106.8;108.1;109.6
"Manufacture of chemicals and chemical products";94.8;107.2;109.0;106.7
"Manufacture of pharmaceuticals, medicinal chemical and botanical products";101.3;108.1;105.1;109.1
"Manufacture of rubber and plastics products";89.1;115.0;105.0;103.6
"Manufacture of other non-metallic mineral products";86.7;102.5;108.0;111.8
"Manufacture of basic metals";98.4;104.6;106.4;121.1
"Manufacture of fabricated metal products, (except machinery and equipment)";96.0;107.1;114.7;101.6
"Manufacture of computer, electronic and optical products";111.7;160.4;146.0;146.2
"Manufacture of electrical equipment";78.2;118.4;110.8;110.1
"Manufacture of motor vehicles; trailers and semi-trailers";86.4;131.1;116.2;125.7
"Manufacture of other transport equipment";130.7;103.4;91.2;97.3
"Manufacture of furniture";95.7;97.9;104.2;108.6
