"Main industrial products by Main industrial products and Year"

"Main industrial products";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel.2015"
"Coal(Thous. tons)";8350.0;9823.0;11388.0;11672.0;9629.0;11609.0;13397.0;16409.0;19314.0;27349.0;34093.0;38778.0;42483.0;39777.0;44078.0;44835.0;46611.0;42083.0;41064.0;41086.0;41484.0
"Crude oil(Thous. tons)";7620.0;8803.0;10090.0;12500.0;15217.0;16291.0;16833.0;16863.0;17700.0;20051.0;18519.0;16800.0;15920.0;14904.0;16360.0;15014.0;15185.0;16739.0;16705.0;17392.0;18746.0
"Natural gas (State)(Mill. m3)";..;..;..;..;..;1596.0;..;..;2712.0;6269.0;6440.0;7000.0;7080.0;7499.0;8010.0;9402.0;8480.0;9355.0;9751.0;10210.0;10660.0
"Iron ores(Thous. tons)";..;..;..;..;..;..;..;..;..;..;772.3;..;..;1371.6;1904.5;1972.1;2371.3;1506.2;2495.3;2719.0;2238.0
"Copper ores(Ton)";..;..;..;..;..;..;..;..;..;..;8001.0;..;..;46079.0;51741.0;49038.0;47552.0;50862.0;49148.0;48394.0;49304.0
"Titan ore(Thous. tons)";..;..;..;..;..;134.5;..;..;354.3;464.5;404.9;437.4;574.1;681.6;631.3;586.8;760.0;978.3;1025.8;558.0;282.2
"Antimoan ores(Ton)";..;..;..;..;..;..;..;..;..;..;333.0;..;..;540.0;664.0;608.0;714.0;1199.0;2476.0;2745.0;2489.0
"Stone of all kinds(Thous. m3)";10657.0;12465.0;15849.0;18020.0;19172.0;22169.0;30941.0;36720.0;53250.0;55138.0;70836.0;80132.0;92838.0;122088.0;136897.0;146857.0;155549.0;136635.0;134060.0;147198.0;154867.0
"Sands(Thous. m3)";..;..;..;..;..;..;..;..;..;..;63114.0;..;..;61043.0;67004.0;60161.0;55051.0;45242.0;47424.0;50073.0;51525.0
"Pebbles, Gravel(Thous. m3)";14363.0;17147.0;22395.0;25431.0;31119.0;33273.0;36888.0;50098.0;53210.0;58108.0;3329.5;65453.0;67060.0;2922.5;3157.0;2883.6;2831.6;2314.2;2407.2;2059.3;1855.4
"Apatite ore (Thous. tons)";..;613.0;581.0;599.0;..;785.0;677.0;779.0;821.0;905.0;1024.2;1232.4;1522.7;2100.7;2047.4;2324.5;2395.3;2363.8;2656.1;2470.9;2758.1
"Sea salt(Thous. tons)";689.0;709.0;743.0;867.0;653.0;590.0;669.0;974.0;909.0;906.0;897.7;842.0;857.0;717.5;679.0;975.3;862.0;776.4;718.1;905.6;991.0
"Canned meat(Ton)";..;..;..;..;..;..;..;..;..;..;3191.0;..;..;4507.0;5482.0;4677.0;5209.2;5520.0;4568.0;4086.0;3772.7
"Canned aquatic products(Thous. tons)";..;..;..;..;..;7.4;..;..;19.7;41.0;37.5;68.6;68.2;63.8;64.7;76.9;86.2;96.6;107.5;103.5;100.5
"Frozen aquatic products(Thous. tons)";..;..;..;..;..;177.7;..;..;361.6;485.6;681.7;801.0;815.6;1103.9;1177.8;1278.3;1362.9;1372.1;1463.4;1586.7;1729.1
"Fish sauce(Mill. litres)";149.0;167.0;170.0;164.0;174.2;167.1;162.3;175.6;190.8;213.0;191.5;194.1;216.8;210.1;231.7;257.1;280.2;306.0;325.8;334.4;329.9
