"Some main industrial products per capita by Industrial products and Year"

"Industrial products";"2010";"2011";"2012";"2013";"2014";" Prel. 2015"
"Beer (Litre)";27.8;29.9;33.6;33.5;36.2;38.5
"Mineral water (Litre)";5.3;6.0;6.4;7.2;8.4;9.5
"Sea salt (Kg)";11.2;9.8;8.7;8.0;10.0;10.8
"Canned aquatic products (Kg)";0.9;1.0;1.1;1.2;1.3;1.3
"Fish sauce (Litre)";3.0;3.2;3.4;3.6;3.7;3.7
"Vegetable oil (Kg)";6.5;6.5;7.1;7.5;8.1;8.8
"Sodium glutamate (Kg)";2.9;2.9;2.9;2.8;2.8;2.7
"Sugar (Kg)";13.1;14.9;18.4;20.7;20.5;20.2
"Textile fibres (Kg)";9.3;11.0;13.0;14.7;17.2;18.4
"Fabrics of all kinds (M2)";13.5;14.1;14.1;13.8;14.8;15.2
"Footwear (Pairs)";2.2;2.3;2.5;2.5;2.7;3.0
"Sport shoes (Pairs)";4.0;4.3;4.5;5.4;6.3;7.3
"Processed tea (Kg)";2.4;2.4;2.2;2.1;2.0;1.8
"Liquor (Litres)";4.0;3.8;3.7;3.5;3.4;3.5
"Electricity (Kwh)";1055.1;1155.5;1297.1;1386.5;1556.8;1722.2
"Running water (M3)";16.3;17.7;18.9;20.9;22.3;23.7
