"Direct investment oversea projects licensed by main counterparts (Accumulation of projects having effect as of 31/12/2015) by Main counterparts and Iterms"

"Main counterparts";"Number of projects";"Total registered capital (Mill. USD)(*)"
"TOTAL";873.0;19745.3
"Of which:";..;..
"Lao PDR";210.0;4949.1
"Cambodia";157.0;3483.8
"Fed. Russian";11.0;2405.2
"Venezuela";2.0;1825.4
"Peru";6.0;1336.9
"Algeria";1.0;1261.5
"Malaysia";12.0;1220.5
"United States";128.0;558.3
"Myanmar";41.0;472.1
"United Republic of Tanzania";3.0;355.6
"Mozambique";3.0;345.9
"Cameroon";3.0;231.2
"Singapore";61.0;230.9
"Burundi";2.0;170.0
"Australia";16.0;139.0
"British Virgin Islands";9.0;127.8
"Madagascar";1.0;117.4
"F.R Germany";15.0;102.3
"Iran";1.0;82.1
"Haiti";1.0;59.9
"Uzbekistan";4.0;49.7
"Thailand";9.0;25.6
"Kazakhstan";1.0;24.2
"Indonesia";7.0;16.4
