"Direct investment oversea projects licensed in period 1989 - 2015 by Year and Iterms"

"Year";"Number of projects";"Total registered capital (Mill. USD) (*)"
"Total";1049.0;20774.7
"1989";1.0;0.6
"1990";1.0;..
"1991";3.0;4.0
"1992";3.0;5.3
"1993";4.0;0.5
"1994";3.0;1.3
"1998";2.0;1.9
"1999";9.0;5.6
"2000";15.0;4.7
"2001";13.0;4.4
"2002";15.0;147.9
"2003";24.0;28.1
"2004";15.0;9.5
"2005";36.0;367.5
"2006";36.0;221.0
"2007";80.0;977.9
"2008";104.0;3147.5
"2009";91.0;2597.6
"2010";108.0;3503.0
"2011";82.0;2531.0
"2012";84.0;1546.7
"2013";93.0;3107.1
"2014";109.0;1786.8
"Prel. 2015";118.0;774.8
