"Foreign direct investment projects licensed by kinds of economic activity  (Accumulation of projects having effect as of 31/12/2015) by Kinds of economic activity and Iterms"

"Kinds of economic activity";"Number of projects";"Total registered capital (Mill. USD) (*)"
"TOTAL";20069.0;281882.5
"Agriculture, forestry and fishing";521.0;3654.9
"Mining and quarrying";97.0;4448.3
"Manufacturing";10764.0;162772.7
"Electricity, gas, stream and air conditioning supply";109.0;12567.5
"Water supply, sewerage, waste management and remediation activities";43.0;1352.7
"Construction";1264.0;10893.8
"Wholesale and retail trade; Repair of motor vehicles and motorcycles";1735.0;4602.2
"Transporation and storage";505.0;3829.3
"Accommodation and food service activities";445.0;11950.3
"Information and communication";1263.0;4223.7
"Fiancial, banking and insurance activities";82.0;1333.5
"Real estate activities";500.0;50896.4
"Professional, scientific and technical activities";1926.0;2103.0
"Administrative and support service activities";170.0;412.6
"Education and trainning";240.0;710.3
"Human health and social work activities";111.0;1767.3
"Arts, entertainment and recreation";143.0;3622.0
"Other service activities";151.0;742.0
