"Foreign direct investment projects licensed by main counterparts (Accumulation of projects having effect as of 31/12/2015) by Main counterparts and Iterms"

"Main counterparts";"Number of projects";"Total registered capital (Mill. USD) (*)"
"TOTAL";20069.0;281882.5
"Of which";..;..
"Korea Rep. of";4970.0;45191.1
"Japan";2914.0;38973.6
"Singapore";1544.0;35148.5
"Taiwan";2478.0;30997.4
"British Virgin Islands";623.0;19275.3
"Hong Kong SAR (China)";975.0;15546.8
"Malaysia";523.0;13420.1
"United States";781.0;11301.8
"China. PR";1296.0;10174.2
"Netherlands";255.0;8264.5
"Thailand";419.0;7727.9
"Cayman Islands";67.0;6392.3
"Samoa";150.0;5771.7
"Canada";147.0;5252.7
"United Kingdom";241.0;4739.3
"France";448.0;3423.0
"Fed. Russian";113.0;2080.1
"Switzerland";111.0;2045.1
"Brunei";187.0;1904.5
"Luxembourg";40.0;1857.4
"Australia";357.0;1652.7
"F.R Germany";260.0;1393.7
"British West Indies";11.0;1148.2
"Cyprus";13.0;966.6
"Turkey";13.0;729.2
"Denmark";118.0;681.9
"Belgium";63.0;551.7
"India";118.0;439.7
"Seychelles";41.0;418.1
"Indonesia";46.0;397.0
"Italy";69.0;357.3
"Mauritius";43.0;325.1
"The Philippines";72.0;324.2
"Finland";14.0;321.0
