"Foreign direct investment projects licensed in 2015 by kinds of economic activity by Kinds of economic activity and Iterms"

"Kinds of economic activity";"Number of projects";"Total registered capital (Mill. USD)(*)"
"TOTAL";2120.0;24115.0
"Agriculture. forestry and fishing";17.0;258.0
"Mining and quarrying";3.0;25.4
"Manufacturing";1012.0;16428.8
"Electricity. gas. stream and air conditioning supply";10.0;2799.4
"Water supply. sewerage. waste management and remediation activities";3.0;17.6
"Construction";115.0;738.6
"Wholesale and retail trade; Repair of motor vehicles and motorcycles";328.0;684.4
"Transporation and storage";55.0;145.0
"Accommodation and food service activities";65.0;139.4
"Information and communication";171.0;96.9
"Financial. banking and insurance activities";..;1.1
"Real estate activities";34.0;2394.7
"Professional. scientific and technical activities";215.0;250.1
"Administrative and support service activities";25.0;51.9
"Education and trainning";40.0;29.2
"Human health and social work activities";10.0;13.3
"Arts. entertainment and recreation";1.0;2.9
"Other service activities";16.0;38.3
