"Foreign direct investment projects licensed in 2015 by main counterparts by Main counterparts and Iterms"

"Main counterparts";"Number of projects";"Total registered capital (Mill. USD)(*)"
"TOTAL";2120.0;24115.0
"Of which:";..;..
"Korea Rep. of";736.0;6983.2
"Malaysia";29.0;2478.8
"Singapore";138.0;2082.5
"Japan";319.0;1803.4
"Taiwan";115.0;1468.2
"Samoa";24.0;1395.2
"United Kingdom";32.0;1288.7
"British Virgin Islands";56.0;1217.3
"Hong Kong SAR (China)";96.0;1148.1
"China. PR";175.0;744.1
"Turkey";2.0;660.3
"Netherlands";26.0;430.5
"Thailand";35.0;337.4
"Seychelles";19.0;316.2
"Cayman Islands";6.0;258.3
"United States";57.0;224.4
"Australia";36.0;200.4
"Brunei";20.0;197.6
"British West Indies";4.0;156.0
"India";24.0;141.8
"Switzerland";9.0;102.2
"France";28.0;99.0
"Denmark";8.0;76.0
"F.R Germany";18.0;74.3
"Sri Lanka";4.0;59.1
"Luxembourg";5.0;22.2
"Indonesia";5.0;21.6
"Italy";9.0;15.9
"Fed. Russian";9.0;12.0
"New Zealand";..;11.0
"Cyprus";..;6.4
"Canada";10.0;6.1
"The Philippines";4.0;5.5
"Belize";..;5.0
"Marshall Islands";1.0;5.0
"Austria";3.0;3.0
"Spain";10.0;2.6
"Belgium";4.0;2.4
"Norway";2.0;2.1
"Sweden";4.0;0.5
"Finland";4.0;0.4
"Hungary";2.0;0.1
