"Foreign direct investment projects licensed in period 1988 - 2015 by Year and Iterms"

"Year";"Number of projects";"Total registered capital (Mill. USD) (*)";"Implementation capital (Mill. USD)"
"Total";21392.0;314707.7;138692.9
"1988-1990";211.0;1603.5;..
"1991";152.0;1284.4;428.5
"1992";196.0;2077.6;574.9
"1993";274.0;2829.8;1117.5
"1994";372.0;4262.1;2240.6
"1995";415.0;7925.2;2792.0
"1996";372.0;9635.3;2938.2
"1997";349.0;5955.6;3277.1
"1998";285.0;4873.4;2372.4
"1999";327.0;2282.5;2528.3
"2000";391.0;2762.8;2398.7
"2001";555.0;3265.7;2225.6
"2002";808.0;2993.4;2884.7
"2003";791.0;3172.7;2723.3
"2004";811.0;4534.3;2708.4
"2005";970.0;6840.0;3300.5
"2006";987.0;12004.5;4100.4
"2007";1544.0;21348.8;8034.1
"2008";1171.0;71726.8;11500.2
"2009";1208.0;23107.5;10000.5
"2010";1237.0;19886.8;11000.3
"2011";1186.0;15598.1;11000.1
"2012";1287.0;16348.0;10046.6
"2013";1530.0;22352.2;11500.0
"2014";1843.0;21921.7;12500.0
"Prel. 2015";2120.0;24115.0;14500.0
