"Investment at constant 2010 prices by kinds of economic activity by Kinds of economic activity and Year"

"Kinds of economic activity";"2005";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"TOTAL";447135;762843;830278;770087;812714;872124;957630;1044976
"Agriculture, forestry and fishing";31320;47401;51062;46821;42180;50897;48456;54548
"Mining and quarrying";36401;65790;62520;57217;55996;54246;51137;57996
"Manufacturing";82026;134214;161904;156304;178087;209069;250331;272216
"Electricity, gas, stream and air conditioning supply";49238;72438;70491;61838;63473;52986;60522;73984
"Water supply, sewerage, waste management and remediation activities";11639;19872;21504;19021;19749;17355;18674;21213
"Construction";16426;27202;37362;36502;37629;47875;75748;86524
"Wholesale and retail trade; Repair of motor vehicles and motorcycles";21708;32019;40684;40430;52908;64712;58511;52771
"Transporation and storage";56565;90093;95814;86635;86229;92969;128321;148073
"Accommodation and food service activities";7777;16348;17436;17558;22675;22937;16854;16093
"Information and communication";16276;27044;30305;26799;25925;25023;18961;17869
"Fiancial, banking and insurance activities";2777;10720;15692;16095;17798;20233;14077;14003
"Real estate activities";5561;34275;39023;37349;43074;61049;44912;46606
"Professional, scientific and technical activities";4006;8101;9299;9318;11703;14640;19631;24348
"Administrative and support service activities";14979;25032;27897;24566;22837;16989;10055;9509
"Activities of Communist Party, socio-politocal organizations; public administration and defence; compulsory security";15855;27171;25157;24821;24604;25308;36868;36992
"Education and trainning";15499;24308;23580;22256;25113;21541;32751;38246
"Human health and social work activities";8414;11090;12039;12244;15523;19613;21451;25602
"Arts, entertainment and recreation";6095;11005;12537;11782;13491;12646;11932;14630
"Other activities";44574;78722;75972;62531;53720;42036;38439;33753
