"Investment by types of ownership by Iterms, Year and Types of ownership"

"Iterms";"Year";"Total";"State";"Non- State";"Foreign invested sector"
"At current prices (Bill. Dongs)";"1995";72447.0;30447.0;20000.0;22000.0
"At current prices (Bill. Dongs)";"1996";87394.0;42894.0;21800.0;22700.0
"At current prices (Bill. Dongs)";"1997";108370.0;53570.0;24500.0;30300.0
"At current prices (Bill. Dongs)";"1998";117134.0;65034.0;27800.0;24300.0
"At current prices (Bill. Dongs)";"1999";131171.0;76958.0;31542.0;22671.0
"At current prices (Bill. Dongs)";"2000";151183.0;89417.0;34594.0;27172.0
"At current prices (Bill. Dongs)";"2001";170496.0;101973.0;38512.0;30011.0
"At current prices (Bill. Dongs)";"2002";200145.0;114738.0;50612.0;34795.0
"At current prices (Bill. Dongs)";"2003";239246.0;126558.0;74388.0;38300.0
"At current prices (Bill. Dongs)";"2004";290927.0;139831.0;109754.0;41342.0
"At current prices (Bill. Dongs)";"2005";343135.0;161635.0;130398.0;51102.0
"At current prices (Bill. Dongs)";"2006";404712.0;185102.0;154006.0;65604.0
"At current prices (Bill. Dongs)";"2007";532093.0;197989.0;204705.0;129399.0
"At current prices (Bill. Dongs)";"2008";616735.0;209031.0;217034.0;190670.0
"At current prices (Bill. Dongs)";"2009";708826.0;287534.0;240109.0;181183.0
"At current prices (Bill. Dongs)";"2010";830278.0;316285.0;299487.0;214506.0
"At current prices (Bill. Dongs)";"2011";924495.0;341555.0;356049.0;226891.0
"At current prices (Bill. Dongs)";"2012";1010114.0;406514.0;385027.0;218573.0
"At current prices (Bill. Dongs)";"2013";1094542.0;441924.0;412506.0;240112.0
"At current prices (Bill. Dongs)";"2014";1220704.0;486804.0;468500.0;265400.0
"At current prices (Bill. Dongs)";"Prel. 2015";1367205.0;519505.0;529600.0;318100.0
"Structure(%)";"1995";100.0;42.0;27.6;30.4
"Structure(%)";"1996";100.0;49.1;24.9;26.0
"Structure(%)";"1997";100.0;49.4;22.6;28.0
"Structure(%)";"1998";100.0;55.5;23.7;20.8
"Structure(%)";"1999";100.0;58.7;24.0;17.3
"Structure(%)";"2000";100.0;59.1;22.9;18.0
"Structure(%)";"2001";100.0;59.8;22.6;17.6
"Structure(%)";"2002";100.0;57.3;25.3;17.4
"Structure(%)";"2003";100.0;52.9;31.1;16.0
"Structure(%)";"2004";100.0;48.1;37.7;14.2
"Structure(%)";"2005";100.0;47.1;38.0;14.9
"Structure(%)";"2006";100.0;45.7;38.1;16.2
"Structure(%)";"2007";100.0;37.2;38.5;24.3
"Structure(%)";"2008";100.0;33.9;35.2;30.9
"Structure(%)";"2009";100.0;40.5;33.9;25.6
"Structure(%)";"2010";100.0;38.1;36.1;25.8
"Structure(%)";"2011";100.0;37.0;38.5;24.5
"Structure(%)";"2012";100.0;40.3;38.1;21.6
"Structure(%)";"2013";100.0;40.4;37.7;21.9
"Structure(%)";"2014";100.0;39.9;38.4;21.7
"Structure(%)";"Prel. 2015";100.0;38.0;38.7;23.3
"At constant 2010 prices (Bill. Dongs)";"1995";..;..;..;..
"At constant 2010 prices (Bill. Dongs)";"1996";..;..;..;..
"At constant 2010 prices (Bill. Dongs)";"1997";..;..;..;..
"At constant 2010 prices (Bill. Dongs)";"1998";..;..;..;..
"At constant 2010 prices (Bill. Dongs)";"1999";..;..;..;..
"At constant 2010 prices (Bill. Dongs)";"2000";..;..;..;..
"At constant 2010 prices (Bill. Dongs)";"2001";..;..;..;..
"At constant 2010 prices (Bill. Dongs)";"2002";..;..;..;..
"At constant 2010 prices (Bill. Dongs)";"2003";..;..;..;..
"At constant 2010 prices (Bill. Dongs)";"2004";..;..;..;..
"At constant 2010 prices (Bill. Dongs)";"2005";447135.0;233948.0;137554.0;75633.0
"At constant 2010 prices (Bill. Dongs)";"2006";506454.0;255831.0;158783.0;91840.0
"At constant 2010 prices (Bill. Dongs)";"2007";649506.0;268148.0;202712.0;178646.0
"At constant 2010 prices (Bill. Dongs)";"2008";696173.0;259866.0;194549.0;241758.0
"At constant 2010 prices (Bill. Dongs)";"2009";762843.0;318498.0;249366.0;194979.0
"At constant 2010 prices (Bill. Dongs)";"2010";830278.0;316285.0;299487.0;214506.0
"At constant 2010 prices (Bill. Dongs)";"2011";770087.0;287242.0;298093.0;184752.0
"At constant 2010 prices (Bill. Dongs)";"2012";812714.0;325918.0;309321.0;177475.0
"At constant 2010 prices (Bill. Dongs)";"2013";872124.0;351005.0;328007.0;193112.0
"At constant 2010 prices (Bill. Dongs)";"2014";957630.0;379694.0;366118.0;211818.0
"At constant 2010 prices (Bill. Dongs)";"Prel. 2015";1044976.0;397040.0;404763.0;243173.0
"Index  (Previous year=100)-%";"1995";..;..;..;..
"Index  (Previous year=100)-%";"1996";..;..;..;..
"Index  (Previous year=100)-%";"1997";..;..;..;..
"Index  (Previous year=100)-%";"1998";..;..;..;..
"Index  (Previous year=100)-%";"1999";..;..;..;..
"Index  (Previous year=100)-%";"2000";..;..;..;..
"Index  (Previous year=100)-%";"2001";..;..;..;..
"Index  (Previous year=100)-%";"2002";..;..;..;..
"Index  (Previous year=100)-%";"2003";..;..;..;..
"Index  (Previous year=100)-%";"2004";..;..;..;..
"Index  (Previous year=100)-%";"2005";113.7;110.2;118.0;117.5
"Index  (Previous year=100)-%";"2006";113.3;109.4;115.4;121.4
"Index  (Previous year=100)-%";"2007";128.2;104.8;127.7;194.5
"Index  (Previous year=100)-%";"2008";107.2;96.9;96.0;135.3
"Index  (Previous year=100)-%";"2009";109.6;122.6;128.2;80.7
"Index  (Previous year=100)-%";"2010";108.8;99.3;120.1;110.0
"Index  (Previous year=100)-%";"2011";92.8;90.8;99.5;86.1
"Index  (Previous year=100)-%";"2012";105.5;113.5;103.8;96.1
"Index  (Previous year=100)-%";"2013";107.3;107.7;106.0;108.8
"Index  (Previous year=100)-%";"2014";109.8;108.2;111.6;109.7
"Index  (Previous year=100)-%";"Prel. 2015";109.1;104.6;110.6;114.8
