"State investment at current prices by kinds of economic activity by Kinds of economic activity and Year"

"Kinds of economic activity";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"TOTAL";161635;197989;209031;287534;316285;341555;406514;441924;486804;519505
"Agriculture, forestry and fishing";11545;13355;15060;16858;18534;19127;21789;29654;30669;31534
"Mining and quarrying";13624;15225;16290;19265;20590;21484;24309;26738;25314;23274
"Manufacturing";13518;24096;12284;24751;30110;33404;48985;46846;35537;32469
"Electricity, gas, stream and air conditioning supply";23598;26059;26250;48169;47462;49583;55383;56811;65913;71848
"Water supply, sewerage, waste management and remediation activities";6672;7282;7510;11156;12209;12808;12627;15468;20494;24105
"Construction";6795;8975;9966;13301;16257;18273;23659;36151;31155;29144
"Wholesale and retail trade; Repair of motor vehicles and motorcycles";2057;2444;3290;6245;7559;8641;13007;11402;6913;8364
"Transporation and storage";33431;36319;47062;52032;57216;59114;63463;71109;98919;109460
"Accommodation and food service activities";684;850;1065;3589;3859;4748;6423;6541;3408;4779
"Information and communication";9003;11028;11443;16016;17712;18546;21383;17899;14847;14754
"Fiancial, banking and insurance activities";718;1546;2061;4244;4713;5636;7846;6806;8860;11013
"Real estate activities";1615;3089;3303;6101;6863;8368;11605;13656;7789;7429
"Professional, scientific and technical activities";2126;3781;4346;5610;6009;6934;8415;7380;17135;19481
"Administrative and support service activities";2635;3027;3307;4687;5472;5738;5650;5126;2531;3221
"Activities of Communist Party, socio-politocal organizations; public administration and defence; compulsory security";10767;14606;17940;21406;25157;28844;30606;31731;46387;48262
"Education and trainning";8789;10503;10769;10202;12493;13833;21708;24930;34563;39275
"Human health and social work activities";5448;6470;6989;8238;8540;10008;11566;15114;19521;22495
"Arts, entertainment and recreation";3412;5296;5440;7240;7654;8710;8374;7734;11781;13715
"Other activities";5198;4038;4656;8424;7876;7756;9716;10828;5068;4883
