"State investment by management level by Iterms, Year and Management level"

"Iterms";"Year";"Total";"Central";"Local"
"At current prices (Bill.dongs)";"1995";30447.0;16533.0;13914.0
"At current prices (Bill.dongs)";"1996";42894.0;24772.0;18122.0
"At current prices (Bill.dongs)";"1997";53570.0;30055.0;23515.0
"At current prices (Bill.dongs)";"1998";65034.0;36750.0;28284.0
"At current prices (Bill.dongs)";"1999";76958.0;43815.0;33143.0
"At current prices (Bill.dongs)";"2000";89417.0;53503.0;35914.0
"At current prices (Bill.dongs)";"2001";101973.0;56717.0;45256.0
"At current prices (Bill.dongs)";"2002";114738.0;57031.0;57707.0
"At current prices (Bill.dongs)";"2003";126558.0;63870.0;62688.0
"At current prices (Bill.dongs)";"2004";139831.0;70613.0;69218.0
"At current prices (Bill.dongs)";"2005";161635.0;82531.0;79104.0
"At current prices (Bill.dongs)";"2006";185102.0;93902.0;91200.0
"At current prices (Bill.dongs)";"2007";197989.0;95483.0;102506.0
"At current prices (Bill.dongs)";"2008";209031.0;103328.0;105703.0
"At current prices (Bill.dongs)";"2009";287534.0;143241.0;144293.0
"At current prices (Bill.dongs)";"2010";316285.0;151817.0;164468.0
"At current prices (Bill.dongs)";"2011";341555.0;148580.0;192975.0
"At current prices (Bill.dongs)";"2012";406514.0;175004.0;231510.0
"At current prices (Bill.dongs)";"2013";441924.0;186711.0;255213.0
"At current prices (Bill.dongs)";"2014";486804.0;215101.0;271703.0
"At current prices (Bill.dongs)";"Prel. 2015";519505.0;247284.0;272221.0
"Structure(%)";"1995";100.0;54.3;45.7
"Structure(%)";"1996";100.0;57.8;42.2
"Structure(%)";"1997";100.0;56.1;43.9
"Structure(%)";"1998";100.0;56.5;43.5
"Structure(%)";"1999";100.0;56.9;43.1
"Structure(%)";"2000";100.0;59.8;40.2
"Structure(%)";"2001";100.0;55.6;44.4
"Structure(%)";"2002";100.0;49.7;50.3
"Structure(%)";"2003";100.0;50.5;49.5
"Structure(%)";"2004";100.0;50.5;49.5
"Structure(%)";"2005";100.0;51.1;48.9
"Structure(%)";"2006";100.0;50.7;49.3
"Structure(%)";"2007";100.0;48.2;51.8
"Structure(%)";"2008";100.0;49.4;50.6
"Structure(%)";"2009";100.0;49.8;50.2
"Structure(%)";"2010";100.0;48.0;52.0
"Structure(%)";"2011";100.0;43.5;56.5
"Structure(%)";"2012";100.0;43.1;56.9
"Structure(%)";"2013";100.0;42.2;57.8
"Structure(%)";"2014";100.0;44.2;55.8
"Structure(%)";"Prel. 2015";100.0;47.6;52.4
"At constant 2010 prices (Bill. Dongs)";"1995";..;..;..
"At constant 2010 prices (Bill. Dongs)";"1996";..;..;..
"At constant 2010 prices (Bill. Dongs)";"1997";..;..;..
"At constant 2010 prices (Bill. Dongs)";"1998";..;..;..
"At constant 2010 prices (Bill. Dongs)";"1999";..;..;..
"At constant 2010 prices (Bill. Dongs)";"2000";..;..;..
"At constant 2010 prices (Bill. Dongs)";"2001";..;..;..
"At constant 2010 prices (Bill. Dongs)";"2002";..;..;..
"At constant 2010 prices (Bill. Dongs)";"2003";..;..;..
"At constant 2010 prices (Bill. Dongs)";"2004";..;..;..
"At constant 2010 prices (Bill. Dongs)";"2005";233948.0;120433.0;113515.0
"At constant 2010 prices (Bill. Dongs)";"2006";255831.0;130022.0;125809.0
"At constant 2010 prices (Bill. Dongs)";"2007";268148.0;131950.0;136198.0
"At constant 2010 prices (Bill. Dongs)";"2008";259866.0;129783.0;130083.0
"At constant 2010 prices (Bill. Dongs)";"2009";318498.0;161083.0;157415.0
"At constant 2010 prices (Bill. Dongs)";"2010";316285.0;150235.0;166050.0
"At constant 2010 prices (Bill. Dongs)";"2011";287242.0;124307.0;162935.0
"At constant 2010 prices (Bill. Dongs)";"2012";325918.0;138707.0;187211.0
"At constant 2010 prices (Bill. Dongs)";"2013";351005.0;146312.0;204693.0
"At constant 2010 prices (Bill. Dongs)";"2014";379694.0;166501.0;213193.0
"At constant 2010 prices (Bill. Dongs)";"Prel. 2015";397040.0;186212.0;210828.0
"Index (Previous year=100)-%";"1995";..;..;..
"Index (Previous year=100)-%";"1996";..;..;..
"Index (Previous year=100)-%";"1997";..;..;..
"Index (Previous year=100)-%";"1998";..;..;..
"Index (Previous year=100)-%";"1999";..;..;..
"Index (Previous year=100)-%";"2000";..;..;..
"Index (Previous year=100)-%";"2001";..;..;..
"Index (Previous year=100)-%";"2002";..;..;..
"Index (Previous year=100)-%";"2003";..;..;..
"Index (Previous year=100)-%";"2004";..;..;..
"Index (Previous year=100)-%";"2005";110.2;112.2;108.1
"Index (Previous year=100)-%";"2006";109.4;108.0;110.8
"Index (Previous year=100)-%";"2007";104.8;101.5;108.3
"Index (Previous year=100)-%";"2008";96.9;98.4;95.5
"Index (Previous year=100)-%";"2009";122.6;124.1;121.0
"Index (Previous year=100)-%";"2010";99.3;93.3;105.5
"Index (Previous year=100)-%";"2011";90.8;82.7;98.1
"Index (Previous year=100)-%";"2012";113.5;111.6;114.9
"Index (Previous year=100)-%";"2013";107.7;105.5;109.3
"Index (Previous year=100)-%";"2014";108.2;113.8;104.2
"Index (Previous year=100)-%";"Prel. 2015";104.6;111.8;98.9
