"Gross domestic product at constant 2010 prices by economic sector by Year, Indicators and Economic sector"

"Year";"Total (Bill. Dongs) Total";"Total (Bill. Dongs) Agriculture, forestry and fishing";"Total (Bill. Dongs) Industry and construction";"Total (Bill. Dongs) Service";"Total (Bill. Dongs) Products taxes subsidies on production";"Index (Previous year = 100) (%) Total";"Index (Previous year = 100) (%) Agriculture, forestry and fishing";"Index (Previous year = 100) (%) Industry and construction";"Index (Previous year = 100) (%) Service";"Index (Previous year = 100) (%) Products taxes subsidies on production"
"2005";1588646.00;342811.00;605516.00;640319.00;..;107.55;104.19;108.42;108.59;..
"2006";1699501.00;355831.00;649657.00;694013.00;..;106.98;103.80;107.29;108.39;..
"2007";1820667.00;369905.00;697499.00;753263.00;..;107.13;103.96;107.36;108.54;..
"2008";1923749.00;387262.00;726329.00;810158.00;..;105.66;104.69;104.13;107.55;..
"2009";2027591.00;394658.00;769733.00;863200.00;..;105.40;101.91;105.98;106.55;..
"2010";2157828.00;396576.00;693351.00;797155.00;270746.00;106.42;103.29;107.17;107.19;..
"2011";2292483.00;413368.00;746069.00;856691.00;276355.00;106.24;104.23;107.60;107.47;102.07
"2012";2412778.00;425446.00;801217.00;914177.00;271938.00;105.25;102.92;107.39;106.71;98.40
"2013";2543596.00;436642.00;841953.00;975592.00;289409.00;105.42;102.63;105.08;106.72;106.42
"2014";2695796.00;451659.00;896042.00;1035726.00;312369.00;105.98;103.44;106.42;106.16;107.93
"Prel. 2015";2875856.00;462536.00;982411.00;1101236.00;329673.00;106.68;102.41;109.64;106.33;105.54
