"Gross domestic product at constant 2010 prices by kinds of economic activity by Economic activity, Items and Year"

"Economic activity";"Total (Bill. Dongs) 2005";"Total (Bill. Dongs) 2006";"Total (Bill. Dongs) 2007";"Total (Bill. Dongs) 2008";"Total (Bill. Dongs) 2009";"Total (Bill. Dongs) 2010";"Total (Bill. Dongs) 2011";"Total (Bill. Dongs) 2012";"Total (Bill. Dongs) 2013";"Total (Bill. Dongs) 2014";"Total (Bill. Dongs) Prel. 2015";"Index (Previous year = 100) (%) 2005";"Index (Previous year = 100) (%) 2006";"Index (Previous year = 100) (%) 2007";"Index (Previous year = 100) (%) 2008";"Index (Previous year = 100) (%) 2009";"Index (Previous year = 100) (%) 2010";"Index (Previous year = 100) (%) 2011";"Index (Previous year = 100) (%) 2012";"Index (Previous year = 100) (%) 2013";"Index (Previous year = 100) (%) 2014";"Index (Previous year = 100) (%) Prel. 2015"
"TOTAL";1588646.00;1699501.00;1820667.00;1923749.00;2027591.00;2157828.00;2292483.00;2412778.00;2543596.00;2695796.00;2875856.00;107.55;106.98;107.13;105.66;105.40;106.42;106.24;105.25;105.42;105.98;106.68
"Agriculture, forestry and fishing";342811.00;355831.00;369905.00;387262.00;394658.00;396576.00;413368.00;425446.00;436642.00;451659.00;462536.00;104.19;103.80;103.96;104.69;101.91;103.29;104.23;102.92;102.63;103.44;102.41
"Mining and quarrying";212381.00;208134.00;203555.00;195756.00;210666.00;204544.00;210482.00;221298.00;220791.00;225785.00;240462.00;101.86;98.00;97.80;96.17;107.62;102.10;102.90;105.14;99.77;102.26;106.50
"Manufacturing";248709.00;281925.00;316812.00;347808.00;357415.00;279360.00;318690.00;347523.00;372597.00;400192.00;442612.00;112.92;113.36;112.37;109.78;102.76;108.38;114.08;109.05;107.22;107.41;110.60
"Electricity, gas, stream and air conditioning supply";44794.00;49232.00;53707.00;59112.00;64446.00;65721.00;72442.00;82026.00;88985.00;99516.00;110861.00;112.30;109.91;109.09;110.06;109.02;111.27;110.23;113.23;108.48;111.83;111.40
"Water supply, sewerage, waste management and remediation activities";8108.00;8736.00;9446.00;10108.00;10765.00;11107.00;12187.00;13255.00;14457.00;15366.00;16503.00;111.08;107.75;108.13;107.01;106.50;107.39;109.72;108.76;109.07;106.29;107.40
"Construction";91523.00;101632.00;113979.00;113546.00;126441.00;132618.00;132268.00;137115.00;145123.00;155183.00;171973.00;110.87;111.05;112.15;99.62;111.36;110.06;99.74;103.66;105.84;106.93;110.82
"Wholesale and retail trade; repair of motor vehicles and motorcycles";193430.00;209969.00;228477.00;243955.00;262686.00;172608.00;190892.00;210605.00;225783.00;244040.00;266150.00;108.34;108.55;108.81;106.77;107.68;108.09;110.59;110.33;107.21;108.09;109.06
"Transportation and storage";40322.00;44406.00;49468.00;55360.00;60056.00;62064.00;66769.00;70888.00;74828.00;78776.00;82731.00;109.61;110.13;111.40;111.91;108.48;108.74;107.58;106.17;105.56;105.28;105.02
"Accommodation and food service activities";52688.00;59231.00;66822.00;72661.00;74328.00;77800.00;83876.00;90019.00;98919.00;103444.00;105813.00;117.04;112.42;112.82;108.74;102.29;108.69;107.81;107.32;109.89;104.57;102.29
"Information and communication";14624.00;16039.00;17745.00;19608.00;21014.00;19895.00;21549.00;23752.00;25827.00;28068.00;30459.00;116.24;109.68;110.64;110.50;107.17;108.18;108.31;110.23;108.73;108.68;108.52
"Financial, banking and insurance activities";77704.00;84058.00;91490.00;100780.00;109545.00;116515.00;125192.00;132178.00;141266.00;149500.00;160533.00;109.37;108.18;108.84;110.15;108.70;108.35;107.45;105.58;106.88;105.83;107.38
"Real estate activities";105410.00;112776.00;118561.00;124925.00;130333.00;131692.00;136698.00;138496.00;141503.00;145459.00;149769.00;104.76;106.99;105.13;105.37;104.33;103.41;103.80;101.32;102.17;102.80;102.96
"Professional, scientific and technical activities";22630.00;23725.00;25061.00;26096.00;27217.00;28004.00;29797.00;31978.00;34335.00;36730.00;39227.00;108.27;104.84;105.63;104.13;104.29;104.54;106.40;107.32;107.37;106.97;106.80
"Administrative and support service activities";6480.00;6816.00;7256.00;7670.00;8031.00;7881.00;8478.00;9087.00;9782.00;10465.00;11051.00;109.28;105.19;106.46;105.71;104.70;104.91;107.58;107.18;107.65;106.99;105.60
"Activities of Communist Party, socio-political organizations; public administration and defence; compulsory security";38666.00;41593.00;44973.00;47883.00;51365.00;55194.00;59124.00;63464.00;68377.00;73286.00;78357.00;107.21;107.57;108.13;106.47;107.27;107.47;107.12;107.34;107.74;107.18;106.92
"Education and training";34805.00;37735.00;41037.00;44306.00;47215.00;50237.00;53892.00;57883.00;62545.00;67176.00;71885.00;108.26;108.42;108.75;107.97;106.56;106.95;107.28;107.41;108.05;107.41;107.01
"Human health and social work activities";16422.00;17709.00;19135.00;20620.00;22008.00;23335.00;25049.00;26915.00;29040.00;31141.00;33321.00;107.75;107.84;108.05;107.76;106.73;106.98;107.34;107.45;107.90;107.23;107.00
"Arts, entertainment and recreation";10169.00;10972.00;11898.00;12907.00;13925.00;14592.00;15637.00;16765.00;18021.00;19364.00;20787.00;108.31;107.90;108.44;108.48;107.89;108.09;107.17;107.21;107.49;107.45;107.35
"Other service activities";24597.00;26436.00;28573.00;30408.00;32312.00;34396.00;36576.00;38736.00;41730.00;44422.00;47047.00;106.33;107.48;108.08;106.42;106.26;106.75;106.34;105.90;107.73;106.45;105.91
"Activities of households as employers; undifferentiated goods and services producing activities of households for own use";2374.00;2549.00;2765.00;2977.00;3164.00;2944.00;3163.00;3411.00;3638.00;3855.00;4105.00;106.02;107.37;108.47;107.67;106.28;106.81;107.43;107.85;106.64;105.97;106.48
"Products taxes less subsidies on production";..;..;..;..;..;270746.00;276355.00;271938.00;289409.00;312369.00;329673.00;..;..;..;..;..;..;102.07;98.40;106.42;107.93;105.54
