"Gross domestic product at current prices by economic sector by Year, Items and Economic sector"

"Year";"Total (Bill. Dongs) Total";"Total (Bill. Dongs) Agriculture, forestry and fishing";"Total (Bill. Dongs) Industry and construction";"Total (Bill. Dongs) Service";"Total (Bill. Dongs) Products taxes subsidies on production";"Structure (%) Total";"Structure (%) Agriculture, forestry and fishing";"Structure (%) Industry and construction";"Structure (%) Service";"Structure (%) Products taxes subsidies on production"
"1986";599.00;228.00;173.00;198.00;..;100.00;38.06;28.88;33.06;..
"1987";2870.00;1164.00;814.00;892.00;..;100.00;40.56;28.36;31.08;..
"1988";15420.00;7139.00;3695.00;4586.00;..;100.00;46.30;23.96;29.74;..
"1989";28093.00;11818.00;6444.00;9831.00;..;100.00;42.07;22.94;34.99;..
"1990";41955.00;16252.00;9513.00;16190.00;..;100.00;38.74;22.67;38.59;..
"1991";76707.00;31058.00;18252.00;27397.00;..;100.00;40.49;23.79;35.72;..
"1992";110532.00;37513.00;30135.00;42884.00;..;100.00;33.94;27.26;38.80;..
"1993";140258.00;41895.00;40535.00;57828.00;..;100.00;29.87;28.90;41.23;..
"1994";178534.00;48968.00;51540.00;78026.00;..;100.00;27.43;28.87;43.70;..
"1995";228892.00;62219.00;65820.00;100853.00;..;100.00;27.18;28.76;44.06;..
"1996";272036.00;75514.00;80876.00;115646.00;..;100.00;27.76;29.73;42.51;..
"1997";313623.00;80826.00;100595.00;132202.00;..;100.00;25.77;32.08;42.15;..
"1998";361017.00;93073.00;117299.00;150645.00;..;100.00;25.78;32.49;41.73;..
"1999";399942.00;101723.00;137959.00;160260.00;..;100.00;25.43;34.50;40.07;..
"2000";441646.00;108356.00;162220.00;171070.00;..;100.00;24.53;36.73;38.74;..
"2001";481295.00;111858.00;183515.00;185922.00;..;100.00;23.24;38.13;38.63;..
"2002";535762.00;123383.00;206197.00;206182.00;..;100.00;23.03;38.49;38.48;..
"2003";613443.00;138285.00;242126.00;233032.00;..;100.00;22.54;39.47;37.99;..
"2004";715307.00;155992.00;287616.00;271699.00;..;100.00;21.81;40.21;37.98;..
"2005";914001.00;176402.00;348519.00;389080.00;..;100.00;19.30;38.13;42.57;..
"2006";1061565.00;198797.00;409602.00;453166.00;..;100.00;18.73;38.58;42.69;..
"2007";1246769.00;232586.00;480151.00;534032.00;..;100.00;18.66;38.51;42.83;..
"2008";1616047.00;329886.00;599193.00;686968.00;..;100.00;20.41;37.08;42.51;..
"2009";1809149.00;346786.00;676408.00;785955.00;..;100.00;19.17;37.39;43.44;..
"2010";2157828.00;396576.00;693351.00;797155.00;270746.00;100.00;18.38;32.13;36.94;12.55
"2011";2779880.00;543960.00;896356.00;1021126.00;318438.00;100.00;19.57;32.24;36.73;11.46
"2012";3245419.00;623815.00;1089091.00;1209464.00;323049.00;100.00;19.22;33.56;37.27;9.95
"2013";3584262.00;643862.00;1189618.00;1388407.00;362375.00;100.00;17.96;33.19;38.74;10.11
"2014";3937856.00;696969.00;1307935.00;1537197.00;395755.00;100.00;17.70;33.21;39.04;10.05
"Prel. 2015";4192862.00;712460.00;1394130.00;1665962.00;420310.00;100.00;17.00;33.25;39.73;10.02
