"Gross domestic product at current prices by kinds of economic activity by Economic activity, Items and Year"

"Economic activity";"Total (Bill.dongs) 2005";"Total (Bill.dongs) 2006";"Total (Bill.dongs) 2007";"Total (Bill.dongs) 2008";"Total (Bill.dongs) 2009";"Total (Bill.dongs) 2010";"Total (Bill.dongs) 2011";"Total (Bill.dongs) 2012";"Total (Bill.dongs) 2013";"Total (Bill.dongs) 2014";"Total (Bill.dongs) Prel. 2015";"Structure (%) 2005";"Structure (%) 2006";"Structure (%) 2007";"Structure (%) 2008";"Structure (%) 2009";"Structure (%) 2010";"Structure (%) 2011";"Structure (%) 2012";"Structure (%) 2013";"Structure (%) 2014";"Structure (%) Prel. 2015"
"TOTAL";914000.84;1061564.52;1246769.29;1616047.13;1809148.95;2157828.00;2779880.00;3245419.00;3584262.00;3937856.00;4192862.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
"Agriculture, forestry and fishing";176402.00;198797.00;232586.00;329886.00;346786.00;396576.00;543960.00;623815.00;643862.00;696969.00;712460.00;19.30;18.73;18.66;20.42;19.17;18.38;19.57;19.22;17.96;17.70;17.00
"Mining and quarrying";88897.00;99702.00;111700.00;146607.00;165310.00;204544.00;274321.00;370617.00;394468.00;426184.00;402869.00;9.73;9.39;8.96;9.07;9.14;9.48;9.87;11.42;11.01;10.82;9.61
"Manufacturing";172045.00;205739.00;241629.00;300256.00;331093.00;279360.00;371242.00;431144.00;477968.00;518962.00;574201.00;18.82;19.38;19.39;18.59;18.30;12.95;13.35;13.28;13.34;13.18;13.69
"Electricity, gas, stream and air conditioning supply";29785.00;33857.00;40187.00;49136.00;61665.00;65721.00;81077.00;97311.00;115280.00;142060.00;167402.00;3.26;3.19;3.22;3.04;3.41;3.05;2.92;3.00;3.22;3.61;3.99
"Water supply, sewerage, waste management and remediation activities";4516.00;5801.00;6922.00;7497.00;8085.00;11107.00;13640.00;15280.00;17883.00;19526.00;21556.00;0.49;0.55;0.56;0.46;0.45;0.51;0.49;0.47;0.50;0.50;0.52
"Construction";53276.00;64503.00;79712.00;95696.00;110255.00;132618.00;156077.00;174739.00;184020.00;201203.00;228102.00;5.83;6.08;6.39;5.92;6.09;6.15;5.61;5.38;5.13;5.11;5.44
"Wholesale and retail trade; repair of motor vehicles and motorcycles";111745.00;130432.00;153660.00;208366.00;240577.00;172608.00;235024.00;299536.00;339275.00;387749.00;425543.00;12.23;12.29;12.32;12.89;13.30;8.00;8.45;9.23;9.47;9.85;10.15
"Transportation and storage";28013.00;33516.00;39093.00;50749.00;55378.00;62064.00;79135.00;93258.00;102596.00;112351.00;114558.00;3.06;3.16;3.14;3.14;3.06;2.88;2.85;2.87;2.86;2.85;2.73
"Accommodation and food service activities";29329.00;35861.00;44992.00;57067.00;67394.00;77800.00;101943.00;118140.00;134454.00;147720.00;155590.00;3.21;3.38;3.61;3.53;3.73;3.61;3.67;3.64;3.75;3.75;3.71
"Information and communication";9998.00;11812.00;13778.00;17593.00;19349.00;19895.00;21090.00;22781.00;24652.00;26974.00;29392.00;1.09;1.11;1.11;1.09;1.07;0.92;0.76;0.70;0.69;0.68;0.70
