"Gross domestic product by expenditure category at constant 2010 prices by Items, Expenditure category and Year"

"Items";"Expenditure category";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Total (Bill. Dongs)";"TOTAL";1588646.00;1699501.00;1820667.00;1923749.00;2027591.00;2157828.00;2292483.00;2412778.00;2543596.00;2695796.00;2875856.00
"Total (Bill. Dongs)";"Gross capital formation";443761.00;496274.00;629267.00;668774.00;697614.00;770211.00;717544.00;734577.00;774611.00;843552.00;919809.00
"Total (Bill. Dongs)";"Gross capital formation- Gross  fixed capital formation";412327.00;453157.00;562627.00;584225.00;635201.00;704401.00;649365.00;661526.00;696578.00;761052.00;832235.00
"Total (Bill. Dongs)";"Gross capital formation- Changes in stocks";31434.00;43116.00;66640.00;84549.00;62413.00;65810.00;68179.00;73051.00;78033.00;82500.00;87574.00
"Total (Bill. Dongs)";"Final consumption";1106408.00;1189879.00;1305445.00;1405404.00;1442775.00;1565602.00;1633657.00;1716565.00;1808572.00;1920658.00;2095817.00
"Total (Bill. Dongs)";"Final consumption- State";84251.00;91410.00;99549.00;107036.00;115167.00;129313.00;138524.00;148481.00;159261.00;170409.00;182270.00
"Total (Bill. Dongs)";"Final consumption- Private";1022157.00;1098469.00;1205895.00;1298368.00;1327608.00;1436289.00;1495133.00;1568084.00;1649311.00;1750249.00;1913547.00
"Total (Bill. Dongs)";"Trade balance (goods & services)";11253.00;4234.00;-164920.00;-207083.00;-166757.00;-177215.00;-80563.00;25959.00;31050.00;5933.00;-135699.00
"Total (Bill. Dongs)";"Statistical discrepancy";27224.00;9114.00;50875.00;56654.00;53959.00;-770.00;21845.00;-64323.00;-70637.00;-74347.00;-4071.00
"Index (Previous year = 100) (%)";"TOTAL";107.55;106.98;107.13;105.66;105.40;106.42;106.24;105.25;105.42;105.98;106.68
"Index (Previous year = 100) (%)";"Gross capital formation";111.15;111.83;126.80;106.28;104.31;110.41;93.16;102.37;105.45;108.90;109.04
"Index (Previous year = 100) (%)";"Gross capital formation- Gross  fixed capital formation";109.75;109.90;124.16;103.84;108.73;110.89;92.19;101.87;105.30;109.26;109.35
"Index (Previous year = 100) (%)";"Gross capital formation- Changes in stocks";133.48;137.17;154.56;126.88;73.82;105.44;103.60;107.15;106.82;105.72;106.15
"Index (Previous year = 100) (%)";"Final consumption";106.01;107.54;109.71;107.66;102.66;108.51;104.35;105.08;105.36;106.20;109.12
"Index (Previous year = 100) (%)";"Final consumption- State";108.20;108.50;108.90;107.52;107.60;112.28;107.12;107.19;107.26;107.00;106.96
"Index (Previous year = 100) (%)";"Final consumption- Private";105.84;107.47;109.78;107.67;102.25;108.19;104.10;104.88;105.18;106.12;109.33
"Index (Previous year = 100) (%)";"Trade balance (goods & services)";..;..;..;..;..;..;..;..;..;..;..
"Index (Previous year = 100) (%)";"Statistical discrepancy";..;..;..;..;..;..;..;..;..;..;..
