"Gross domestic product by expenditure category at current prices by Items, Expenditure category and Year"

"Items";"Expenditure category";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Total (Bill. Dongs)";"TOTAL";228892.00;272036.00;313623.00;361016.00;399942.00;441646.00;481295.00;535762.00;613443.00;715307.00;914001.00;1061565.00;1246769.00;1616047.00;1809149.00;2157828.00;2779880.00;3245419.00;3584262.00;3937856.00;4192862.00
"Total (Bill. Dongs)";"Gross capital formation";62131.00;76450.00;88754.00;104875.00;110503.00;130771.00;150033.00;177983.00;217434.00;253686.00;308543.00;366629.00;493300.00;589746.00;672326.00;770211.00;827032.00;884160.00;956124.00;1056632.00;1160447.00
"Total (Bill. Dongs)";"Gross capital formation- Gross  fixed capital formation";58187.00;71597.00;83734.00;97551.00;102799.00;122101.00;140301.00;166828.00;204608.00;237868.00;285841.00;332949.00;437702.00;513987.00;612526.00;704401.00;745494.00;785337.00;847475.00;938452.00;1033780.00
"Total (Bill. Dongs)";"Gross capital formation- Changes in stocks";3944.00;4853.00;5020.00;7324.00;7704.00;8670.00;9732.00;11155.00;12826.00;15818.00;22702.00;33680.00;55598.00;75759.00;59800.00;65810.00;81538.00;98823.00;108649.00;118180.00;126667.00
"Total (Bill. Dongs)";"Final consumption";187233.00;225231.00;250584.00;283444.00;301690.00;321853.00;342607.00;382137.00;445221.00;511221.00;648519.00;749688.00;918388.00;1236265.00;1343691.00;1565602.00;2008700.00;2285623.00;2566803.00;2838048.00;3115085.00
"Total (Bill. Dongs)";"Final consumption- State";18741.00;22722.00;25500.00;27523.00;27137.00;28346.00;30463.00;33390.00;38770.00;45715.00;49952.00;58734.00;69247.00;90904.00;104540.00;129313.00;164323.00;192362.00;220642.00;246711.00;265545.00
"Total (Bill. Dongs)";"Final consumption- Private";168492.00;202509.00;225084.00;255921.00;274553.00;293507.00;312144.00;348747.00;406451.00;465506.00;598567.00;690954.00;849141.00;1145361.00;1239151.00;1436289.00;1844377.00;2093261.00;2346161.00;2591337.00;2849540.00
"Total (Bill. Dongs)";"Trade balance (goods & services)";-20819.00;-29839.00;-25526.00;-26371.00;-11418.00;-10878.00;-10982.00;-27684.00;-51288.00;-54000.00;-30307.00;-30873.00;-169182.00;-220495.00;-187557.00;-177215.00;-114887.00;113697.00;77350.00;128965.00;33169.00
"Total (Bill. Dongs)";"Statistical discrepancy";347.00;194.00;-189.00;-932.00;-833.00;-100.00;-363.00;3326.00;2076.00;4400.00;-12755.00;-23880.00;4263.00;10531.00;-19310.00;-770.00;59036.00;-38061.00;-16015.00;-85789.00;-115839.00
"Structure (%)";"TOTAL";100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
"Structure (%)";"Gross capital formation";27.14;28.10;28.30;29.05;27.63;29.61;31.17;33.22;35.44;35.47;33.76;34.54;39.57;36.49;37.17;35.69;29.75;27.24;26.68;26.83;27.68
"Structure (%)";"Gross capital formation- Gross  fixed capital formation";25.42;26.32;26.70;27.02;25.70;27.65;29.15;31.14;33.35;33.26;31.27;31.36;35.11;31.81;33.86;32.64;26.82;24.20;23.65;23.83;24.66
"Structure (%)";"Gross capital formation- Changes in stocks";1.72;1.78;1.60;2.03;1.93;1.96;2.02;2.08;2.09;2.21;2.49;3.17;4.46;4.69;3.31;3.05;2.93;3.04;3.03;3.00;3.02
"Structure (%)";"Final consumption";81.80;82.79;79.90;78.51;75.43;72.87;71.19;71.33;72.58;71.47;70.96;70.62;73.66;76.50;74.27;72.55;72.26;70.43;71.61;72.07;74.29
"Structure (%)";"Final consumption- State";8.19;8.35;8.13;7.62;6.79;6.42;6.33;6.23;6.32;6.39;5.47;5.53;5.55;5.63;5.78;5.99;5.91;5.93;6.15;6.26;6.33
"Structure (%)";"Final consumption- Private";73.61;74.44;71.77;70.89;68.65;66.45;64.86;65.10;66.26;65.08;65.49;65.09;68.11;70.87;68.49;66.56;66.35;64.50;65.46;65.81;67.96
"Structure (%)";"Trade balance (goods & services)";-9.10;-10.97;-8.14;-7.30;-2.85;-2.46;-2.28;-5.17;-8.36;-7.55;-3.32;-2.91;-13.57;-13.64;-10.37;-8.21;-4.13;3.50;2.16;3.28;0.79
"Structure (%)";"Statistical discrepancy";0.16;0.08;-0.06;-0.26;-0.21;-0.02;-0.08;0.62;0.34;0.61;-1.40;-2.25;0.34;0.65;-1.07;-0.03;2.12;-1.17;-0.45;-2.18;-2.76
