"Gross national income at current prices by Year and Items"

"Year";"Gross national income (GNI) (Bill. dongs)";"Gross domestic product (GDP) (Bill. dongs)";"Net income from abroad (Bill. dongs)";"GNI over GDP (%)"
"1990";39284.00;41955.00;-2671.00;93.60
"1991";72620.00;76707.00;-4087.00;94.70
"1992";106757.00;110532.00;-3775.00;96.60
"1993";134913.00;140258.00;-5345.00;96.20
"1994";174017.00;178534.00;-4517.00;97.50
"1995";228677.00;228892.00;-215.00;99.90
"1996";269654.00;272036.00;-2382.00;99.10
"1997";308600.00;313623.00;-5023.00;98.40
"1998";352836.00;361017.00;-8181.00;97.70
"1999";392693.00;399942.00;-7249.00;98.20
"2000";435319.00;441646.00;-6327.00;98.60
"2001";474855.00;481295.00;-6440.00;98.70
"2002";527056.00;535762.00;-8706.00;98.40
"2003";603688.00;613443.00;-9755.00;98.40
"2004";701906.00;715307.00;-13401.00;98.10
"2005";897222.00;914001.00;-16779.00;98.16
"2006";1038755.00;1061565.00;-22810.00;97.85
"2007";1211806.00;1246769.00;-34963.00;97.20
"2008";1567964.00;1616047.00;-48083.00;97.02
"2009";1731221.00;1809149.00;-77928.00;95.69
"2010";2075578.00;2157828.00;-82250.00;96.19
"2011";2660076.00;2779880.00;-119804.00;95.69
"2012";3115227.00;3245419.00;-130192.00;95.99
"2013";3430668.00;3584262.00;-153594.00;95.71
"2014";3750823.00;3937856.00;-187033.00;95.25
"Prel. 2015";3977609.00;4192862.00;-215253.00;94.87
