"State budget revenue final accounts by State budget revenue, Items and Year"

"State budget revenue";"Total (Bill. Dongs) 2000";"Total (Bill. Dongs) 2002";"Total (Bill. Dongs) 2003";"Total (Bill. Dongs) 2004";"Total (Bill. Dongs) 2005";"Total (Bill. Dongs) 2006";"Total (Bill. Dongs) 2007";"Total (Bill. Dongs) 2008";"Total (Bill. Dongs) 2009";"Total (Bill. Dongs) 2010";"Total (Bill. Dongs) 2011";"Total (Bill. Dongs) 2012";"Total (Bill. Dongs) 2013";"Total (Bill. Dongs) 2014";"Structure (%) 2000";"Structure (%) 2002";"Structure (%) 2003";"Structure (%) 2004";"Structure (%) 2005";"Structure (%) 2006";"Structure (%) 2007";"Structure (%) 2008";"Structure (%) 2009";"Structure (%) 2010";"Structure (%) 2011";"Structure (%) 2012";"Structure (%) 2013";"Structure (%) 2014"
"TOTAL";90749.00;123860.00;152274.00;190928.00;228287.00;279472.00;315915.00;430549.00;454786.00;588428.00;721804.00;734883.00;828348.00;877697.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
"Domestic revenue (Exc. oil revenue)";46233.00;63530.00;78687.00;104576.00;119826.00;145404.00;174298.00;240076.00;280112.00;377030.00;443731.00;477106.00;567403.00;593560.00;50.95;51.29;51.67;54.77;52.50;52.03;55.17;55.76;61.59;64.07;61.47;64.92;68.50;67.63
"Revenue from state owned enterprises";19692.00;25066.00;28748.00;32177.00;39079.00;46344.00;50371.00;71835.00;84049.00;112143.00;126418.00;142838.00;189076.00;188062.00;21.70;20.24;18.88;16.85;17.12;16.58;15.94;16.68;18.48;19.06;17.51;19.43;22.83;21.43
"Revenue from foreign invested enterprises";4735.00;7276.00;9942.00;15109.00;19081.00;25838.00;31388.00;43953.00;50785.00;64915.00;77076.00;82546.00;111241.00;123802.00;5.22;5.87;6.53;7.91;8.36;9.25;9.94;10.21;11.17;11.03;10.68;11.23;13.43;14.11
"Revenue from non state sector";5802.00;7764.00;10361.00;13261.00;16938.00;22091.00;31178.00;43527.00;47903.00;70023.00;84503.00;92086.00;105456.00;112196.00;6.39;6.27;6.80;6.95;7.42;7.90;9.87;10.11;10.53;11.90;11.71;12.53;12.73;12.78
"Agricultural land use tax";1776.00;772.00;151.00;130.00;132.00;111.00;113.00;97.00;67.00;56.00;72.00;69.00;69.00;61.00;1.96;0.62;0.10;0.07;0.06;0.04;0.04;0.02;0.01;0.01;0.01;0.01;0.01;0.01
"Tax on high income earners";1831.00;2338.00;2951.00;3521.00;4234.00;5179.00;7422.00;12940.00;14318.00;26276.00;38458.00;44959.00;46548.00;47844.00;2.02;1.89;1.94;1.84;1.85;1.85;2.35;3.01;3.15;4.47;5.33;6.12;5.62;5.45
"License tax";934.00;1332.00;1817.00;2607.00;2797.00;3363.00;5690.00;7363.00;9670.00;12611.00;15700.00;11816.00;13595.00;16090.00;1.03;1.07;1.19;1.37;1.23;1.20;1.80;1.71;2.13;2.14;2.18;1.61;1.64;1.83
"Revenue from lottery";1969.00;3029.00;3657.00;4570.00;..;6142.00;..;..;..;..;..;..;..;..;2.17;2.45;2.40;2.39;..;2.20;..;..;..;..;..;..;..;..
"Gasoline fee";2192.00;2995.00;3204.00;3583.00;3943.00;3969.00;4457.00;4517.00;8962.00;10521.00;..;..;..;..;2.41;2.42;2.10;1.88;1.73;1.42;1.41;1.05;1.97;1.79;..;..;..;..
"Environmental protection tax";..;..;..;..;..;..;..;..;..;..;11201.00;12676.00;11849.00;12087.00;..;..;..;..;..;..;..;..;..;..;1.55;1.72;1.43;1.38
"Fees";2713.00;3021.00;3279.00;4182.00;4192.00;4986.00;4059.00;7773.00;9363.00;10021.00;10341.00;11281.00;14283.00;16038.00;2.99;2.44;2.15;2.19;1.84;1.78;1.28;1.81;2.06;1.70;1.43;1.54;1.72;1.83
"Revenue from land and houses";2823.00;5486.00;10546.00;17463.00;17757.00;20536.00;33925.00;39072.00;43677.00;55849.00;60633.00;54236.00;54313.00;55563.00;3.11;4.43;6.93;9.15;7.78;7.35;10.74;9.07;9.60;9.49;8.40;7.38;6.56;6.33
"Other revenue";1766.00;4451.00;4031.00;7973.00;11673.00;6845.00;5695.00;8999.00;11318.00;14615.00;19329.00;24599.00;20973.00;21817.00;1.95;3.59;2.65;4.18;5.11;2.45;1.80;2.09;2.49;2.48;2.67;3.35;2.53;2.48
"Oil revenue";23534.00;26510.00;36773.00;48562.00;66558.00;83346.00;76980.00;89603.00;61137.00;69179.00;110205.00;140106.00;120436.00;100082.00;25.93;21.40;24.15;25.43;29.16;29.82;24.37;20.81;13.44;11.76;15.27;19.07;14.54;11.40
"Custom duty revenue";18954.00;31571.00;33845.00;34913.00;38114.00;42825.00;60381.00;91457.00;105629.00;130351.00;155765.00;107404.00;129385.00;173005.00;20.89;25.49;22.23;18.29;16.69;15.32;19.11;21.24;23.23;22.15;21.58;14.61;15.62;19.71
"Export and import duties, special consumption tax; Surtax on import";13568.00;22083.00;21507.00;21654.00;23660.00;26280.00;38385.00;60474.00;76996.00;74068.00;81405.00;71276.00;78253.00;95603.00;14.95;17.83;14.12;11.34;10.36;9.40;12.15;14.04;16.93;12.59;11.28;9.70;9.45;10.89
"VAT on imports";5386.00;9488.00;12338.00;13259.00;14454.00;16545.00;21996.00;30983.00;28633.00;56283.00;74360.00;36128.00;51132.00;77402.00;5.94;7.66;8.10;6.94;6.33;5.92;6.96;7.20;6.30;9.56;10.30;4.92;6.17;8.82
"Grants";2028.00;2249.00;2969.00;2877.00;3789.00;7897.00;4256.00;9413.00;7908.00;11868.00;12103.00;10267.00;11124.00;11050.00;2.23;1.82;1.95;1.51;1.65;2.83;1.35;2.19;1.74;2.02;1.68;1.40;1.34;1.26
