"Annual employed population at 15 years of age and above by occupation by Occupation and Year"

"Occupation";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"TOTAL";47743.6;49048.5;50352.0;51422.4;52207.8;52744.5;52840.0
"Leaders/managers";460.0;463.7;537.5;532.0;551.0;573.4;570.1
"High level professionals";2218.9;2498.6;2675.8;2817.7;2968.4;3221.7;3447.8
"Mid-level professionals";1818.3;1786.4;1773.8;1745.0;1698.6;1640.1;1668.0
"Clerks";783.2;707.8;763.7;839.3;881.5;911.1;960.9
"Personal services, protective workers  and sales worker";7432.0;7140.9;7543.7;8213.8;8461.8;8492.7;8735.4
"Skilled agricultural, forestry and fishery workers";7051.3;7589.8;7070.9;6533.2;6280.4;6444.6;5456.6
"Craft and related trade workers";5983.3;6189.2;6064.3;6055.7;6274.5;6312.2;6349.1
"Plant and machine operators and assemblers";3188.1;3433.9;3509.6;3728.5;3637.4;3888.8;4493.8
"Unskilled occupations";18808.6;19130.8;20305.5;20828.9;21326.5;21124.2;21035.1
"Others";..;107.4;107.3;128.3;127.7;135.7;123.2
