"Annual employed population at 15 years of age and above by sex and by residence by Indicators, Year and Iterms"

"Indicators";"Year";"Total";"Male";"Female";"Urban";"Rural"
"Total - Thous. persons";"2005";42774.9;21926.4;20848.5;10689.1;32085.8
"Total - Thous. persons";"2006";43980.3;23339.8;20640.5;11432.0;32548.3
"Total - Thous. persons";"2007";45208.0;22940.8;22267.2;11698.8;33509.2
"Total - Thous. persons";"2008";46460.8;23898.6;22562.2;12499.0;33961.8
"Total - Thous. persons";"2009";47743.6;24800.7;22942.9;12624.5;35119.1
"Total - Thous. persons";"2010";49048.5;25305.9;23742.6;13531.4;35517.1
"Total - Thous. persons";"2011";50352.0;26024.7;24327.3;14732.5;35619.5
"Total - Thous. persons";"2012";51422.4;26499.2;24923.2;15412.0;36010.4
"Total - Thous. persons";"2013";52207.8;26830.2;25377.6;15509.0;36698.8
"Total - Thous. persons";"2014";52744.5;27025.8;25718.7;16009.0;36735.5
"Total - Thous. persons";"Prel. 2015";52840.0;27216.7;25623.3;16374.8;36465.2
"Proportion of total population (%)";"2005";51.9;54.1;49.8;47.9;53.4
"Proportion of total population (%)";"2006";52.8;56.9;48.8;48.5;54.4
"Proportion of total population (%)";"2007";53.7;55.3;52.1;46.9;56.3
"Proportion of total population (%)";"2008";54.6;57.0;52.3;48.7;57.0
"Proportion of total population (%)";"2009";55.5;58.3;52.7;49.6;58.0
"Proportion of total population (%)";"2010";56.4;58.9;54.0;51.0;58.8
"Proportion of total population (%)";"2011";57.3;59.9;54.8;52.8;59.4
"Proportion of total population (%)";"2012";57.9;60.3;55.6;54.5;59.5
"Proportion of total population (%)";"2013";58.2;60.4;56.1;53.7;60.3
"Proportion of total population (%)";"2014";58.1;60.4;55.9;53.3;60.5
"Proportion of total population (%)";"Prel. 2015";57.6;60.2;55.1;52.6;60.2
