"Annual employed population at 15 years of age and above by types of ownership by Items, Year and Types of ownership"

"Items";"Year";"Total";"State";"Non-state";"Foreign investment sector"
"Total (Thous. Persons)";"2000";37075.3;4358.2;32358.6;358.5
"Total (Thous. Persons)";"2001";38180.1;4474.4;33356.6;349.1
"Total (Thous. Persons)";"2002";39275.9;4633.5;34216.5;425.9
"Total (Thous. Persons)";"2003";40403.9;4919.1;34731.5;753.3
"Total (Thous. Persons)";"2004";41578.8;5031.0;35633.0;914.8
"Total (Thous. Persons)";"2005";42774.9;4967.4;36694.7;1112.8
"Total (Thous. Persons)";"2006";43980.3;4916.0;37742.3;1322.0
"Total (Thous. Persons)";"2007";45208.0;4988.4;38657.4;1562.2
"Total (Thous. Persons)";"2008";46460.8;5059.3;39707.1;1694.4
"Total (Thous. Persons)";"2009";47743.6;5040.6;41178.4;1524.6
"Total (Thous. Persons)";"2010";49048.5;5107.4;42214.6;1726.5
"Total (Thous. Persons)";"2011";50352.0;5250.6;43401.3;1700.1
"Total (Thous. Persons)";"2012";51422.4;5353.7;44365.4;1703.3
"Total (Thous. Persons)";"2013";52207.8;5330.4;45091.7;1785.7
"Total (Thous. Persons)";"2014";52744.5;5473.5;45214.4;2056.6
"Total (Thous. Persons)";"Prel. 2015";52840.0;5185.9;45450.9;2203.2
"Structure (%)";"2000";100.0;11.7;87.3;1.0
"Structure (%)";"2001";100.0;11.7;87.4;0.9
"Structure (%)";"2002";100.0;11.8;87.1;1.1
"Structure (%)";"2003";100.0;12.1;86.0;1.9
"Structure (%)";"2004";100.0;12.1;85.7;2.2
"Structure (%)";"2005";100.0;11.6;85.8;2.6
"Structure (%)";"2006";100.0;11.2;85.8;3.0
"Structure (%)";"2007";100.0;11.0;85.5;3.5
"Structure (%)";"2008";100.0;10.9;85.5;3.6
"Structure (%)";"2009";100.0;10.6;86.2;3.2
"Structure (%)";"2010";100.0;10.4;86.1;3.5
"Structure (%)";"2011";100.0;10.4;86.2;3.4
"Structure (%)";"2012";100.0;10.4;86.3;3.3
"Structure (%)";"2013";100.0;10.2;86.4;3.4
"Structure (%)";"2014";100.0;10.4;85.7;3.9
"Structure (%)";"Prel. 2015";100.0;9.8;86.0;4.2
