"Crude birth rate, crude death rate and natural increase rate of population by residence by Residence, Year and Indicators"

"Residence";"Year";"Crude birth rate";"Crude death rate";"Natural increase rate"
"TOTAL";"2001";18.6;5.1;13.5
"TOTAL";"2002";19.0;5.8;13.2
"TOTAL";"2003";17.5;5.8;11.7
"TOTAL";"2004";19.2;5.4;13.8
"TOTAL";"2005";18.6;5.3;13.3
"TOTAL";"2006";17.4;5.3;12.1
"TOTAL";"2007";16.9;5.3;11.6
"TOTAL";"2008";16.7;5.3;11.4
"TOTAL";"2009";17.6;6.8;10.8
"TOTAL";"2010";17.1;6.8;10.3
"TOTAL";"2011";16.6;6.9;9.7
"TOTAL";"2012";16.9;7.0;9.9
"TOTAL";"2013";17.0;7.1;9.9
"TOTAL";"2014";17.2;6.9;10.3
"TOTAL";"Prel. 2015";16.2;6.8;9.4
"Urban";"2001";15.4;3.9;11.6
"Urban";"2002";16.9;4.5;12.4
"Urban";"2003";15.0;4.7;10.3
"Urban";"2004";16.7;4.5;12.2
"Urban";"2005";15.6;4.2;11.4
"Urban";"2006";15.3;4.8;10.5
"Urban";"2007";15.9;4.7;11.2
"Urban";"2008";15.8;4.8;11.0
"Urban";"2009";17.3;5.5;11.8
"Urban";"2010";16.4;5.5;10.9
"Urban";"2011";15.3;5.8;9.5
"Urban";"2012";16.0;5.9;10.1
"Urban";"2013";16.2;6.2;10.0
"Urban";"2014";16.7;6.0;10.7
"Urban";"Prel. 2015";15.3;5.8;9.5
"Rural";"2001";19.7;5.4;14.2
"Rural";"2002";19.6;6.3;13.3
"Rural";"2003";18.9;6.0;12.9
"Rural";"2004";19.9;5.8;14.1
"Rural";"2005";19.9;5.8;14.1
"Rural";"2006";18.2;5.5;12.7
"Rural";"2007";17.4;5.6;11.8
"Rural";"2008";17.3;5.5;11.8
"Rural";"2009";17.8;7.4;10.4
"Rural";"2010";17.4;7.3;10.1
"Rural";"2011";17.2;7.4;9.8
"Rural";"2012";17.4;7.5;9.9
"Rural";"2013";17.5;7.5;10.0
"Rural";"2014";17.5;7.2;10.3
"Rural";"Prel. 2015";16.7;7.3;9.4
