"In-migration rate, out-migration rate and net-migration rate by province by Cities, provincies, Migration rate and Year"

"Cities, provincies";"In-migration rate 2005";"In-migration rate 2007";"In-migration rate 2008";"In-migration rate 2009";"In-migration rate 2010";"In-migration rate 2011";"In-migration rate 2012";"In-migration rate 2013";"In-migration rate 2014";"In-migration rate Prel. 2015";"Out-migration rate 2005";"Out-migration rate 2007";"Out-migration rate 2008";"Out-migration rate 2009";"Out-migration rate 2010";"Out-migration rate 2011";"Out-migration rate 2012";"Out-migration rate 2013";"Out-migration rate 2014";"Out-migration rate Prel. 2015";"Net-migration rate 2005";"Net-migration rate 2007";"Net-migration rate 2008";"Net-migration rate 2009";"Net-migration rate 2010";"Net-migration rate 2011";"Net-migration rate 2012";"Net-migration rate 2013";"Net-migration rate 2014";"Net-migration rate Prel. 2015"
" WHOLE COUNTRY";5.0;7.5;6.0;8.7;9.7;10.4;7.2;8.8;9.2;5.5;5.0;7.5;6.0;8.7;9.7;10.4;7.2;8.8;9.2;5.5;..;..;..;..;..;..;..;..;..;..
"Red River Delta";2.5;3.4;2.5;3.2;3.5;4.5;2.7;3.6;3.1;1.8;3.1;3.9;3.1;3.7;3.0;3.6;2.5;3.9;3.6;1.8;-0.6;-0.4;-0.6;-0.5;0.5;0.9;0.2;-0.3;-0.5;0.0
"Ha Noi";13.8;14.8;10.7;13.1;10.8;11.0;6.1;7.7;7.5;4.7;5.2;10.5;6.8;3.2;4.9;6.4;3.3;7.4;7.8;4.1;8.7;4.3;3.9;9.9;5.9;4.7;2.8;0.3;-0.3;0.6
"Ha Tay";2.2;2.8;..;..;..;..;..;..;..;..;4.3;7.1;..;..;..;..;..;..;..;..;-2.1;-4.3;..;..;..;..;..;..;..;..
"Vinh Phuc";2.5;2.4;3.8;4.5;4.8;4.3;2.9;6.4;4.9;2.8;3.8;6.3;7.2;10.2;7.2;16.0;4.0;6.8;4.5;4.3;-1.3;-3.9;-3.4;-5.7;-2.4;-11.7;-1.1;-0.4;0.4;-1.5
"Bac Ninh";5.3;12.4;6.2;6.4;9.8;13.4;12.7;19.4;15.4;16.0;7.7;7.3;8.3;8.9;7.6;6.5;5.5;6.1;5.4;3.2;-2.5;5.1;-2.1;-2.5;2.2;7.0;7.2;13.4;10.0;12.8
"Quang Ninh";3.6;3.5;2.6;5.7;3.7;3.6;2.0;4.5;3.8;1.7;5.3;8.5;6.6;4.9;5.4;5.5;4.8;10.4;7.8;3.6;-1.8;-5.0;-4.1;0.8;-1.7;-1.9;-2.8;-5.9;-4.0;-1.9
"Hai Duong";3.1;3.1;4.5;4.3;5.0;7.8;5.6;5.6;4.0;1.4;7.3;5.9;5.3;8.6;7.2;5.5;4.8;8.5;5.6;2.4;-4.3;-2.8;-0.8;-4.3;-2.2;2.3;0.8;-2.9;-1.6;-1.0
"Hai Phong";4.1;4.5;3.9;5.6;7.0;7.1;6.0;6.6;4.0;2.9;2.9;2.7;2.1;3.8;3.8;5.0;2.1;4.0;3.4;1.4;1.3;1.8;1.8;1.8;3.2;2.1;3.9;2.6;0.6;1.5
"Hung Yen";6.8;6.7;3.9;5.4;6.5;8.0;7.0;10.9;7.4;3.5;5.8;4.9;5.1;9.4;6.7;6.1;9.6;6.5;5.2;4.6;1.0;1.8;-1.2;-4.0;-0.2;1.8;-2.6;4.4;2.2;-1.1
