"Labour force at 15 years of age and above by age group by Indicators, Year and Age group"

"Indicators";"Year";"Total";"15 - 24";"25 - 49";"50+"
"Total (Thous. Persons)";"2000";38545.4;8289.1;25474.1;4782.2
"Total (Thous. Persons)";"2001";39615.8;8757.7;26216.7;4641.4
"Total (Thous. Persons)";"2002";40716.0;8776.8;26783.9;5155.3
"Total (Thous. Persons)";"2003";41846.7;9361.8;26598.3;5886.6
"Total (Thous. Persons)";"2004";43008.9;9060.6;27236.0;6712.3
"Total (Thous. Persons)";"2005";44904.5;9168.0;28432.5;7304.0
"Total (Thous. Persons)";"2006";46238.7;9727.4;29447.7;7063.6
"Total (Thous. Persons)";"2007";47160.3;8561.8;29392.1;9206.4
"Total (Thous. Persons)";"2008";48209.6;8734.3;29973.4;9501.9
"Total (Thous. Persons)";"2009";49322.0;9184.7;30285.1;9852.2
"Total (Thous. Persons)";"2010";50392.9;9245.4;30939.2;10208.3
"Total (Thous. Persons)";"2011";51398.4;8465.2;31503.4;11429.8
"Total (Thous. Persons)";"2012";52348.0;7887.8;32014.5;12445.7
"Total (Thous. Persons)";"2013";53245.6;7916.1;31904.5;13425.0
"Total (Thous. Persons)";"2014";53748.0;7585.2;32081.0;14081.8
"Total (Thous. Persons)";"Prel. 2015";53984.2;8012.4;31970.3;14001.5
"Structure (%)";"2000";100.0;21.5;66.1;12.4
"Structure (%)";"2001";100.0;22.1;66.2;11.7
"Structure (%)";"2002";100.0;21.6;65.7;12.7
"Structure (%)";"2003";100.0;22.4;63.5;14.1
"Structure (%)";"2004";100.0;21.1;63.3;15.6
"Structure (%)";"2005";100.0;20.4;63.3;16.3
"Structure (%)";"2006";100.0;21.0;63.7;15.3
"Structure (%)";"2007";100.0;18.2;62.3;19.5
"Structure (%)";"2008";100.0;18.1;62.2;19.7
"Structure (%)";"2009";100.0;18.6;61.4;20.0
"Structure (%)";"2010";100.0;18.3;61.4;20.3
"Structure (%)";"2011";100.0;16.5;61.3;22.2
"Structure (%)";"2012";100.0;15.1;61.1;23.8
"Structure (%)";"2013";100.0;14.9;59.9;25.2
"Structure (%)";"2014";100.0;14.1;59.7;26.2
"Structure (%)";"Prel. 2015";100.0;14.8;59.3;25.9
