"Number of divorce cases cleared up in 2015 by province and by level by Cities, provinces and Level"

"Cities, provinces";"Total";"Provincial level";"District level"
"WHOLE COUNTRY";24101;1440;22661
"Red River Delta";3686;287;3399
"Ha Noi";875;45;830
"Vinh Phuc";253;4;249
"Bac Ninh";133;1;132
"Quang Ninh";284;15;269
"Hai Duong";338;66;272
"Hai Phong";606;80;526
"Hung Yen";194;11;183
"Thai Binh";463;46;417
"Ha Nam";76;3;73
"Nam Dinh";357;14;343
"Ninh Binh";107;2;105
"Northern midlands and mountain areas";2057;49;2008
"Ha Giang";76;0;76
"Cao Bang";74;0;74
"Bac Kan";48;1;47
"Tuyen Quang";128;1;127
"Lao Cai";108;0;108
"Yen Bai";198;4;194
"Thai  Nguyen";239;16;223
"Lang Son";90;1;89
"Bac Giang";429;16;413
"Phu Tho";351;9;342
"Dien Bien";83;0;83
"Lai Chau";18;0;18
"Son La";104;0;104
"Hoa Binh";111;1;110
"Northern Central area and Central coastal area";3595;229;3366
"Thanh Hoa";437;2;435
"Nghe An";360;44;316
"Ha Tinh";126;13;113
"Quang Binh";158;11;147
"Quang Tri";62;3;59
"Thua Thien-Hue";177;43;134
"Da Nang";300;38;262
"Quang  Nam";233;1;232
"Quang  Ngai";203;0;203
"Binh Dinh";243;8;235
"Phu Yen";259;14;245
"Khanh  Hoa";497;34;463
"Ninh  Thuan";145;5;140
"Binh Thuan";395;13;382
"Central Highlands";1129;28;1101
"Kon Tum";63;0;63
"Gia Lai";240;0;240
"Dak Lak";316;5;311
"Dak Nong";77;0;77
"Lam Dong";433;23;410
"South East";5286;456;4830
"Binh Phuoc";363;4;359
"Tay Ninh";721;19;702
"Binh  Duong";480;11;469
"Dong Nai";1037;75;962
"Ba Ria - Vung Tau";440;40;400
"Ho Chi Minh city";2245;307;1938
"Mekong River Delta";8348;391;7957
"Long An";907;11;896
"Tien Giang";1146;7;1139
"Ben Tre";743;21;722
"Tra Vinh";322;39;283
"Vinh Long";529;54;475
"Dong Thap";494;3;491
"An Giang";753;25;728
"Kien  Giang";574;35;539
"Can Tho";575;38;537
"Hau Giang";502;65;437
"Soc Trang";385;41;344
"Bac Lieu";342;27;315
"Ca Mau";1076;25;1051
